title,Intro to Implants Exam 1 (Spring 2020),implants,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
What was the legacy of P.I. Branemark?,discovered titanium,coined the term dental implants,discovered concept of osseointegration,was an oral surgeon,,,C,
Which of the following is a catagory of implants?,mucosal implants,endosteal implants,teeth implants,screw implants,,,B,
Which type of implants are endosteal implants?,blade,bar implants,Root implants,A and C,,,D,
Which is the second stage of wound healing?,clot formation,cellular response,growth,cellular activation,,,D,
How long after an extraction do we start to see some osteiod tissue?,7days,4 days,21 days,14 days,,,A,
"According to Berglundh, after how many weeks did the experimental chamber appear to be filled with bone?",1 week,3 weeks,6 weeks,10 weeks,,,C,
When was the first successful experiment in regard to osseointegration in humans,1980's,1970's,1990's,1960's,,,D,
"According to Branemark, which arch had a higher success rate in regard to integration?",maxilla,mandible,,,,,B,
"On an implant supported overdenture, the retention for the denture comes from?",The denture,The implants,Neither A nor B,Both A and B,,,D,
Which of the following is not one of the components of a dental implant restoration?,The implant body,The abutment,The healing abutment,The restoration,,,C,
Which of the following is not one the ways an implant supports a denture,locator attachments,A bar,An Abutment,,,,C,
"By placing 4-6 implants into the maxilla, it allows one to place what type of prosthesis?",standard denture,U shaped denture,Cement remained denture,Denture adhesive supported denture,,,B,
The percentage of bone to implant contact area varies on?,the shape of the implant,Design of the implant,The surface of the implant,None of the above,,,C,
"HA coated implants have fallen out of favor since there was a higher long term failure rate, this was due to the?",shape of implant,The HA was plaque retentive,The HA surface separating from the fixture,B and C,,,D,
The biologic width of dental implants is?,non existent,Subcrestal,Supracrestal,Less then 2mm,,,B,
Polished implants show greater stability and less bone loss then machined roughened surface implant?,True,False,,,,,B,
What is the average depth of the palate?,12mm,7mm,17mm,10mm,,,A,
"If the incisive canal is greater then ____mm, it is likely a nasopalatine canal cyst?",5mm,6mm,7mm,8mm,,,B,
Nasal bleeding following implant placement is likely due to?,placement of implant out of there alveolar housing,Placing an implant in a class 3 site,Placing implant into incisive canal,Placing an immediate implant,,,C,
"According to Kan, A class 4 sagittal root position is a indication for an immediate implant?",True,False,,,,,B,
The prevalence of the anterior loop range from?,5-25%,28-90%,60-75%,30-50%,,,B,
"According to Seibert, a ridge with both decreased buccal-lingual dimensions and a decreased apical-coronal height falls into which category?",Class 1,Class 2,Class 3,,,,C,
How much of a safety zone should one have when placing an implant in the posterior mandible?,1mm,2mm,3mm,4mm,,,B,
One of the potential complications of having a short vestibular depth is?,less bone to place implant,Narrow ridge,Lack of keratinized tissue,Easier retention of a prosthesis,,,C,
Patients taking the following types of drugs have a lower implant success rate?,Anti-coagulants,Cardiovascular drugs,Anti-depressives,Anti-histamines,,,C,
"Compared to controlled diabetics, uncontrolled diabetics have?",higher success rate of implant Integration,Similar success rate of implant Integration,Lower success rate of implant Integration,Lower failure rate of implant Integration,,,C,
Patients with a history of periodontal disease have a?,higher complication rate,Similar success rate,Lower complication rate,Lower failure rate,,,A,
The difference between warfarin (Coumadin) and the new generation blood thinners such as Eliquis is:,Eliquis has a reversal agent,Warfarin has an antagonist,Eliquis has an antagonist,Warfarin doesn't need to be stopped prior to Surgery,,,B,
Vitamin K is?,Reversal Agent for plavix,Antagonist for Plavix,Antagonist for Warfarin,None of the Above,,,C,
"According to Tarnow, if one has 6mm distance between the Crest of bone and tooth contact point, one is guaranteed to always have a papilla?",True,False,,,,,B,
Soft issue analysis is important while doing the patients clinical exam because?,Patients with a high smile line are more likely to not care,Lack of keratinized tissue increases the risk for implant complications,Patients with thin biotype are more forgiving,Its not important,,,B,
Patients without posterior support are more likely to?,have less complications,Fracture an implant,Have stable teeth,Have less joint pain,,,B,
"According to Albreksson, what is the temperature threshold at which one risks causing bone necrosis from overhearting the bone while drilling the osteotomy?",30 degrees C,34 degrees C,41 degrees C,47 degrees C,,,D,
patients wearing a removable prosthesis should have the implant placed with a trans mucosal healing abutment?,True,False,,,,,B,
One of the advantages of using a computer designed guide when placing an implant is?,Allows one to place the implant without any worries of the patient anatomy,Give the correct 3D position of the implant,Allows one to place an immediate implant,Can place an implant inside the safety zone,,,B,
Swelling peaks at?,immediate post operatively,24 hours,72 hours,96 hours,,,C,
Digital implant surgical planning is prosthetically driven to ensure proper placement of an implant based on what the lab thinks is the right position.,True,False,,,,,B,
What team members can complete the initial digital surgical implant position(s)?,The surgeon,The restorative dentist,An implant planning service,The lab,A and B,"A, B, C, and D",F,
What are the benefits of Implant Studio software?,The entire process can be totally outsourced,It allows for fabrication of presurgical prosthetics,It's a closed system that can't be messed with,"A, B, and C",,,B,
What design considerations need to be defined when fabricating an implant surgical guide?,Whether the surgical plan will be pilot vs. fully-guided,Making the guide as thin as possible so it can fit in the patient's mouth,Limiting the number of implants per guide,A and B,,,A,
