title,Oral Radiology Midterm Exam (Fall 2016),oralrad,midterm
question,option_a,option_b,option_c,option_d,correct,image
Which of the following is the most widely accepted theory of the relationship between dose and the probability of getting cancer?,Linear no-threshold model,Hormetic model (Hormesis),Threshold model,Steinberg model,A,
Which of the following statements is NOT true regarding leaded aprons in dental radiography?,The NCRP and ADA have concluded that leaded aprons are unnecessary.,Many patients feel more comfortable wearing a leaded apron.,"Leaded aprons, if used incorrectly, can get in the way of the radiograph.",Leaded aprons are usually placed in direct path of the x-rays.,D,
"According to the ADA guidelines, children and adolescents require radiographic examinations _________ than adults.",More frequently,Less frequently,There is no correlation between age and frequency of radiographic examination,Just as frequently as,A,
"A 27-year-old male patient presents to your clinic for an initial examination. He reports he just moved to New York from Washington, so he needs a new dentist. The patient reports he had radiographs taken 6 months ago at his previous dentist, but he is not sure which ones were taken. You call the patient’s previous dental office, and the previous office says they will mail you all of his radiographs. On intraoral examination, the patient’s dentition appears within normal limits. What radiographs should you take at today’s dental appointment?",Bitewing radiographs only,Full mouth series,No radiographs today; wait for the previous radiographs to arrive by mail to make a decision,Cone-beam CT of the skull,C,
"A 30-year-old female patient, 6 months pregnant, presents to your clinic in significant pain. The patient reports she was not able to sleep last night due to her tooth pain. When asked where the pain is coming from, she points to tooth #19. On intraoral examination, you see that tooth #19 has gross carious decay. The patient reports she has never had dental radiographs taken. Which of the following is the most appropriate radiographic prescription?",Take a single periapical radiograph of the area.,Take a full mouth series of radiographs.,Take a panoramic radiograph.,Defer taking any radiographs until the patient is no longer pregnant.,A,
Which one of the following choices best describes a principle of prescribing radiographs?,Radiographs should be prescribed to every single patient.,Radiographs are an excellent substitute for a clinical exam.,Radiographs aid in evaluating structures which cannot be directly visualized.,Radiographs will always cause developmental defects in a fetus.,C,
Which of the following errors is depicted in this radiograph?,Overexposure,Vertical misangulation,Double image,Cone cut,D,images/oralrad-midterm-fall-2016/fig7.jpeg
Which of the following errors is depicted in this radiograph?,Overexposure,Vertical misangulation,Double image,Cone cut,B,images/oralrad-midterm-fall-2016/fig8.jpeg
Which of the following errors is depicted in this radiograph?,Horizontal misangulation,Vertical misangulation,Double image,Cone cut,C,images/oralrad-midterm-fall-2016/fig9.jpeg
___________________ will minimize loss of image clarity and improve the quality of radiographs.,Increasing the distance between the object and image receptor,Increasing the distance between the focal spot and object,Decreasing the distance between the focal spot and object,Decreasing the distance between the focal spot and image receptor,B,
Which of the following is NOT a technique to inhibit gagging during an intraoral radiographic examination?,Have the patient keep his/her eyes wide open,Use anesthetic spray,Use a slightly larger image receptor,Distract the patient (ex: elevate a foot),C,
Which of the following is the best indication for an occlusal radiograph?,Localize an object in the buccal-lingual dimension,Evaluation of periapical pathology,Interproximal caries detection,Evaluation of periodontal bone height,A,
The premolar bitewing projection should include the _________ half of the __________.,Distal; canines,Mesial; canines,Distal; lateral incisors,Mesial; lateral incisors,A,
Which of the following types of projections is particularly valuable for detecting interproximal caries in the early stages before it becomes clinically apparent?,Occlusal,Periapical,Bitewing,Panoramic,C,
"At Touro, we prefer the ____________ technique for periapical radiography because it provides a less distorted view of the dentition.",Bisecting,Paralleling,Occlusal,Bitewing,B,
"When the bisecting technique is used, the receptor is positioned:",At the midline of the palate for a maxillary projection,As close as possible to the lingual surface of the teeth,Parallel to the long axis of the tooth,Perpendicular to the long axis of the tooth,B,
A full-mouth series of radiographs consists of _________________ projections.,Periapical and occlusal,Bitewing and periapical,Occlusal and bitewing,Panoramic and occlusal,B,
"Which of the following intraoral projections should show all of a tooth, including the crown, root, and surrounding bone?",Periapical projection,Bitewing projection,CBCT projection,Panoramic projection,A,
Which of the following is NOT a guiding principle of radiation protection,Justification,Optimization,Dose limitation,Irradiation,D,
ALARA stands for:,As long as radiation applies,As low as reasonably accountable,As low as reasonably achievable,As low as Roentgen allows,C,
Background radiation from space and various terrestrial sources yields an average annual effective dose of about ___ mSv in the United States.,0.31,3.1,31,310,B,
For deterministic effects:,The severity of the clinical effect is independent of dose.,They are the same as stochastic effects.,Individuals may show the effect when the dose is above a threshold.,The frequency of the effect is proportional to the dose.,C,
Gastrointestinal symptoms will be seen as a component of acute radiation syndrome when the dose is _________ Gy.,2 to 4,4 to 7,7 to 15,50,C,
Osteoradionecrosis is:,Caused by taking bisphosphonates,Primarily caused by radiation-induced damage to the vasculature of the trabecular bone,The most serious clinical complication that occurs in bone after irradiation,Less likely to occur the higher the radiation dose that is absorbed by the bone,B,
Which of the following type of cells has the greatest radiosensitivity?,Muscle tissue,Basal cells of oral mucous membranes,All of the answer choices have the same radiosensitivity,Nerve tissue,B,
"The primary cause of radiation-induced cell death, heritable (genetic) mutations, and cancer formation (carcinogenesis) is damage to a cell’s:",Protein,Lipid,Carbohydrate,DNA,D,
Film has a larger detector latitude than a PSP,True,False,,,B,
Spatial resolution can be measured in:,Line pairs per millimeter (lp/mm),Bit depth,Pixel value,Height,A,
"If the object being imaged is not parallel with the image receptor, you should expect:",Foreshortening,Elongation,Eggshell effect,Upside-down image,A,
If an extremely obese or extremely petite patient presents to your clinic for a radiographic examination:,Consider modifying the collimation,Consider taking fewer radiographs,Consider modifying the focal spot size,Consider modifying the kVp,D,
"If you were to replace a circular collimator with a rectangular collimator, the dose to the patient ________.",Increases,Decreases,Remains the same,There is no correlation between collimation and patient dose,B,
"As the contrast resolution (bit depth) increases, the number of available gray levels:",Increases,Decreases,Remains the same,There is no correlation between contrast resolution (bit depth) and grey levels,A,
The “B” in the acronym SLOB stands for:,Behind,Basic,Buccal,Below,C,
Image sharpness is improved by ____________ the distance between the focal spot and object and __________ the distance between the object and image receptor.,Increasing; increasing,Increasing; decreasing,Decreasing; increasing,Decreasing; decreasing,B,
Which of the following statements is true regarding digital image processing?,Most digital images are processed or enhanced in some way before you even see the image.,Digital systems are incapable of image enhancements or image processing.,Image enhancements are much more commonly utilized with film systems than with digital systems.,The goal of digital image processing is to introduce a large amount of noise to the image.,A,
Which of the following is the name of an actual digital enhancement?,Tearing,Sharpen,Pixelize,Noise,B,
Each pixel is isolated from its neighboring pixels and is directly connected to a transistor when the ______________ is used as a digital image receptor.,Charge-coupled device (CCD),Complementary metal oxide semiconductor (CMOS),Flat panel detector,Photostimulable phosphor (PSP),B,
"A radiographic image contains dark, or ____________, areas that were struck by many ___________",Radiolucent; electrons,Radiolucent; photons,Radiopaque; electrons,Radiopaque; photons,B,
The photostimulable material used for radiographic imaging with the _________________ is “europium-doped” barium fluorohalide.,Charge-coupled devices (CCD),Flat panel detectors,Complementary metal oxide semiconductors (CMOS),Photostimulable phosphor (PSP),D,
One advantage of digital imaging versus film imaging is that digital:,Imaging has a lower initial setup expense.,Imaging eliminates chemical processing.,Components are inexpensive to replace.,Systems will not become obsolete over time.,B,
"The tungsten target, the anode, is _________. The filament, the cathode, is __________.",Positive; positive,Negative; negative,Positive; negative,Negative; positive,C,
More than __% of the kinetic energy of electrons produced at the filament is converted to heat at the target.,10,50,90,99,D,
"Carbon normally has 6 protons and 6 neutrons. However, a radioactive _________ of carbon has 6 protons and 8 neutrons, called carbon-14.",Organ,Isotope,Polymer,Enantiomer,B,
Increasing the kVp will:,"Increase the number of photons generated, but not their mean energy nor their maximal energy","Increase the number of photons generated and their mean energy, but not their maximal energy","Increase the number of photons generated, their mean energy, and their maximal energy",Decrease the number of photons generated but increase their mean energy and their maximal energy,C,
"When exposure time is doubled, the number of photons generated at all energies in the x-ray emission spectrum is:","The same, and the range of photon energies is unchanged","The same, but the range of photon energies doubles","Doubled, but the range of photon energies is unchanged","Doubled, and the range of photon energies doubles as well",C,
The size of the x-ray beam may be modified by altering the:,Exposure duration,Exposure rate,Collimation,Intensity,C,
"When an x-ray machine is set to 70 kVp, the peak energy of electrons passing through the x-ray tube is:",Boosted by the high-voltage transformer to 70 volts,"Boosted by the high-voltage transformer to up to 70,000 volts (70 kilovolts)",Reduced by the filament transformer to 70 volts,Reduced by the filament transformer to 70 milliamps (0.07 amps),B,
Within the x-ray tube:,Electrons stream from a filament in the anode to a target in the cathode.,Electrons stream from a filament in the cathode to a target in the anode.,Photons stream from a filament in the anode to a target in the cathode.,Photons stream from a filament in the cathode to a target in the anode.,B,
Bremsstrahlung (breaking) radiation is a type of interaction of _____ with ______.,Photons; matter,Electrons; photons,Electrons; tunsten target,Photons; tunsten target,C,
Which of the following is NOT a source of radiation?,Radon,The Earth (terrestrial),CT scans,MRI scans,D,
