title,Oral Radiology Final Exam (Fall 2016),oralrad,final
question,option_a,option_b,option_c,option_d,correct,image
The mental foramen is usually closest to the apex of the mandibular:,incisors,canines,premolars,molars,C,
The zygomatic process of the maxilla arises in the region of the apices of the _________ on periapical images.,incisors,canines,premolars,molars,D,
The intermaxillary suture appears on intraoral periapical radiographs as a:,radiolucent line between the first and second maxillary molar teeth,radiolucent line in the midline between the two portions of the premaxilla,radiopaque line between the first and second maxillary molar teeth,radiopaque line in the midline between the two portions of the premaxilla,B,
Which of the following structures is radiographically indistinguishable from dentin?,Pulp,Cementum,Air,Enamel,B,
Which of the following structures is indicated by the black arrows?,Periapical cyst,Incisive foramen,Intermaxillary suture,Alveolar crest,B,images/oralrad-final-fall-2016/fig5.jpeg
Which of the following structures is indicated by the white arrows?,Mandibular canal,Mental Foramen,Mylohyoid ridge,Inferior mandibular cortex,A,images/oralrad-final-fall-2016/fig6.jpeg
Which of the following does NOT belong in a Radiology Log?,Reject analysis,Issues encountered and actions taken,Plates or sensors which need to be replaced,Dose administered to each patient,D,
How frequently should the Radiology Log be updated?,Daily,Weekly,Monthly,Yearly,A,
Which of the following is a TRUE statement regarding lead aprons?,Lead aprons should not get in the way of the primary beam of radiation,Lead aprons must be worn for every radiographic exposure,Lead aprons do not need to be cleaned since they do not touch the patient’s mouth,Lead aprons should be folded in half and stored in a drawer,A,
Which of the following is NOT a type of testing phantom?,Stepwedge to measure radiographic contrast,Ghost image to measure transparency,Alternating lines of metal to measure line pairs per millimeter,Wells of varying depth and diameter to measure contrast detail,B,
Apical periodontitis and periodontal disease are the same thing.,True,False,,,B,
"A patient has the periapical radiograph below taken to evaluate mandibular incisors. The patient is in no pain, and the teeth are tested as vital. Which of the following is the most likely diagnosis?",Caries,Apical periodontitis,Cemento-osseous dysplasia,Osteomyelitis,C,images/oralrad-final-fall-2016/fig12.jpeg
"In a panoramic radiograph, if the patient’s teeth are positioned behind (lingual to) the focal trough, the incisors will appear:",Enlarged in size,Reduced in size,Flipped upside down,Normal but will also have a ghost image,A,
Which is the anatomical structure outlined by red?,Mandibular condyle,Hyoid,Necklace,Clavicle,B,images/oralrad-final-fall-2016/fig14.jpeg
Which is the anatomical structure outlined by red?,Mandibular condyle,Maxillary sinus,Pterygomaxillary fissure,Zygomatic process of the maxilla,C,images/oralrad-final-fall-2016/fig15.jpeg
Ghost images normally project on the film as:,"Reduced in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the same side of the image","Reduced in size, superior, and on the same side of the image",B,
"When taking a panoramic radiograph, if the patient's head is tilted to the patient’s right side:","The right side is projected inferiorly, and the left side is projected superiorly","The left side is projected inferiorly, and the right side is projected superiorly","The right side is enlarged in size, and the left side is reduced in size","The left side is enlarged in size, and the right side is reduced in size",A,
Which of the following statements is FALSE?,A panoramic radiograph is a curvilinear tomogram.,A panoramic image is acquired from the patient’s left to the patient’s right.,A panoramic radiograph is an excellent overview of the teeth and jaws.,A panoramic radiograph has no overlapping structures.,D,
Teeth appear _____ in CBCT. Teeth appear _____ in MRI.,bright; dark,dark; bright,dark; dark,bright; bright,A,
Which of the following is FALSE regarding MRI?,MRI does not expose the patient to ionizing radiation.,Certain things that are bright on MRI may be dark on traditional radiographs (and vice versa).,Air appears black in MRI –just like in radiographs.,Cortical bone appears white in MRI –just like in radiographs.,D,
The following radiograph is best described as a:,PA (Posterior-anterior) radiograph,Waters view radiograph,Lateral cephalometric radiograph,Lateral oblique radiograph,C,images/oralrad-final-fall-2016/fig21.jpeg
"In a submentovertex radiograph, which part of the head is closest to the x-ray source?",Chin,Ear,Scalp,Nose,A,
Which of the following is NOT a good use of CBCT?,To evaluate the position of wisdom teeth relative to the mandibular canal,To evaluate alveolar bone prior to implant placement,To evaluate a lesion on the gingiva,To evaluate the maxillary sinuses,C,
The black (hypodense) line indicated by the red arrows would be best described as:,Beam-hardening artifact,A fracture,Osteomyelitis,Mandibular canal,A,images/oralrad-final-fall-2016/fig24.jpeg
Cracking of leaded aprons and collars is usually caused by:,using the incorrect cleaners.,degradation from exposure to radiation,folding the shields when not in use,expansion and contraction caused by temperature fluctuations.,C,
It is recommended to use ____________ to prevent contamination of digital sensors when imaging patients.,sterilization,plastic barrier sheaths,"a registered, low-level, hospital disinfectant",ultraviolet (UV) curing light,B,
"When treating a patient, you should always assume the patient’s blood and bodily fluids are infectious.",True,False,,,A,
Which of the following is TRUE regarding portable x-ray generators?,Portable x-ray generators should be used whenever possible since they are easier to use.,Portable x-ray generators may be necessary to work on moderately sedated patients in a hospital setting.,Portable x-ray generators can be used to take panoramic radiographs.,All of the answer choices are true statements.,B,
Which of the following is the best answer regarding pediatric radiography?,Pediatric patients may have trouble sitting still for the exposure.,Pediatric patients may respond well to “tell-show-do”.,Pediatric patients may require firm guidance to help them through the procedure.,All of the answer choices are true statements.,D,
Which of the following is a FALSE statement about different patient populations in radiography?,Patients have the right to refuse a radiographic examination.,Elderly patients generally have poorer neuromuscular control.,Pediatric patients generally have trouble sitting still for long periods of time.,Patients with motor dysfunction always have an intellectual disability (ID),D,
Which of the following projections is the most useful radiologic examination for detecting caries?,Occlusal,Bitewing,Periapical,Panoramic,B,
One finding useful in distinguishing a carious lesion from cervical burnout is that a carious lesion:,Typically starts below the gingival margin,Typically starts at the contact point,"Is radiolucent, whereas cervical burnout is radiopaque.","Is radiopaque, whereas cervical burnout is radiolucent.",B,
A Mach band effect occurs in radiographic images of teeth when there is:,a sharply defined difference in radiographic density,occlusal decay,defective enamel formation,a large crack or fissure,A,
"For normal anatomy, the height of the crest of alveolar bone lies at a level approximately __________ mm below the level of the cementoenamel junctions of adjacent teeth.",0.01 to 0.05,0.5 to 2.0,3.0 to 5.0,6.0 to 7.0,B,
The following image demonstrates:,Periodontal bone loss only,Calculus only,Both periodontal bone loss and calculus,Neither periodontal bone loss nor calculus,C,images/oralrad-final-fall-2016/fig35.jpeg
Periodontal bone loss found between the roots of multi-rooted teeth is referred to as:,Furcation involvement,Apical periodontitis,Widened PDL space,Aggressive periodontitis,A,
"When an extra cusp has formed outside of the tooth, as depicted in the picture, the diagnosis is most likely:",Dens Invaginatus,Dens Evaginatus,Amelogenesis imperfecta,Dentinogenesis imperfecta,B,images/oralrad-final-fall-2016/fig37.jpeg
"A patient with cleidocranial dysplasia presents to your office. You notice that the patient has many, many extra teeth. This condition is known as:",Hyperdontia,Hypodontia,Microdontia,Macrodontia,A,
The dental terminology for a bent root is:,Gemination,Transposition,Fusion,Dilaceration,D,
Hutchinson’s incisors and Mulberry Molars are associated with which of the following condition:,Amelogenesis imperfecta,Dentinogenesis imperfecta,Syphilis,Gonorrhea,C,
Which of the following conditions describes teeth joined by cementum only?,Fusion,Gemination,Concrescence,Touro-dontism,C,
Which of the following conditions is depicted in the radiograph below?,Pulp stone,Pulpal sclerosis,Turner’s tooth,Hypercementosis,D,images/oralrad-final-fall-2016/fig42.jpeg
Which of the following statements is TRUE concerning fractures?,LeFort classification describes mandibular fractures.,Jaw fractures often come in pairs.,A fractured tooth always coincides with an alveolar bone fracture.,Fractures can always be seen radiographically.,B,
"For which type of dental injury may there be no radiographically detectable changes, except perhaps a widened PDL space?",Concussion,Intrusion,Extrusion,Lateral luxation,A,
Which statement is TRUE concerning beam-hardening artifacts?,Beam-hardening artifacts can occur in intraoral radiographs and in CBCT.,Beam-hardening artifacts cause a ghost image to appear in a panoramic radiograph.,Beam-hardening artifacts occur next to radiopaque materials such as crowns and gutta percha.,Beam-hardening artifacts strengthen the support beam holding the x-ray source upright.,C,
Osteonecrosis can result from all of the following EXCEPT:,Pericoronitis,High dose of radiation,"Certain medications, such as IV bisphosphonates",Severe trauma,A,
Osteomyelitis:,Can appear mixed radiolucent/radiopaque,Often causes a periosteal bone reaction,Can look similar to cancer,All of the answer choices are TRUE,D,
Which of the following does NOT refer to the path of drainage of pus (neutrophils)?,Apical tract,Sinus tract,Fistula,Fistulous tract,A,
The bony aspects of the TMJ are best evaluated by ______. The disc is best evaluated with a ________.,CBCT / MRI,MRI / CBCT,Panoramic / CBCT,MRI / Panoramic,A,
Most students will be much happier when all of the final exams are over!,Absolutely!,Nah….,,,B,
