title,PCOD I Midterm Exam (Fall 2016),pcod1,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
The parts of the carbide bur include:,"the shank, blade and neck","the handle, neck and blade","the handle, cutting head and blade","the cutting blade, shank and mandrel",none of the above,E,
The pear shaped bur is designated as:,56,8,330,669,none of the above,C,
The difference between a standard carbide bur and a finishing bur is:,the shape of the bur,the amount of flutes on the bur,the rake angle of the bur,all of the above,none of the above,B,
The shape of the cut surface of a tooth is determined by:,the shape of the bur used,the angle that the handpiece is held relative to the tooth,the rake angle of the bur relative to the tooth surface,a and c,a and b,E,
Examination instruments include:,"mirror, excavator, and probe","mirror, probe and binangle chisel","elevator, mirror and probe","probe, Hollenback, mirror",none of the above,E,
Which depth demarcations are not present on the standard perio probe?,"3, 6 and 12 mm","4, 6 and 15 mm","5, 8 and 10 mm","3, 8 and 12 mm",none of the above,B,
Which of the following is true for a classic Class I preparation?,The mesial and distal walls are convergent,The buccal and lingual walls are convergent,The mesial and lingual walls are divergent,a and b,none of the above,B,
The hand instrument that is used to remove soft carious dentin is:,elevator,spade,rasp,binangle,none of the above,E,
Proper ergonomic positions for an operative procedure on a maxillary anterior tooth include:,operator sits with thighs parallel to the floor and forearms at a 45 degree angle to the chair,patient is in a complete supine position with head tilted back as far as is comfortable,operator sits at the 7 o'clock position (if right handed),the patient's maxillary arch is at a 45 degree angle relative to the floor,b and c,B,
What is the correct focal distance for improved posture of the operator?,8 - 10 inches,12 - 14 inches,18 - 24 inches,14 - 18 inches,none of the above,D,
"When performing a Class I operative procedure on a tooth in the mandible, the patient should be seated so that with the mouth open the occlusal plane is",almost 90 degrees to the floor,almost parallel to the floor,almost 45 degrees to the floor,almost 180 degrees to the floor,none of the above,B,
The cavosurface margin is defined as:,the junction of the internal walls of the preparation with the external surface of the tooth,the junction of any two walls of the preparation,the margin closest to the pulpal floor of the preparation,the margin in closest proximity to the pulp,none of the above,A,
The shape of the tooth preparation that prevents dislodgement of the restoration during function is referred to as:,resistance form,retention form,convenience form,outline form,none of the above,B,
The removal unsupported enamel during the preparation of a tooth is an example of:,resistance form,retention form,convenience form,outline form,none of the above,D,
Etching and bonding procedures are considered to be:,primary retention form,secondary retention and resistance form,primary convenience form,secondary convenience form,a and c,B,
The refinement and smoothing of the internal walls of a cavity preparation is best achieved by:,using the bevel edge of the blade of a chisel hand instrument,using the side of the blade of a chisel hand instrument,using a high speed carbide bur,a and b,all of the above,D,
The depth of the pulpal floor for a classic Class I cavity preparation on a natural tooth is ______ into dentin beyond the DEJ.,2.0 mm,2.5 mm,0.5 mm,1.0 mm,none of the above,C,
The depth of the pulpal floor for a classic Class I preparation of a typodont molar as measured from the cavosurface margin is:,3.0 mm,2.0 mm,1.0 mm,0.5 mm,none of the above,B,
Which of the following is (are) true for a classic Class I preparation for a mandibular first molar?,The mesial and distal walls are convergent.,The buccal and lingual walls are divergent,The pulpal floor is 2.0 mm deep from the cavosurface margin throughout the preparation,all of the above,none of the above,E,
Which of the following is (are) true for a Class V preparation?,The axial wall is convex.,The mesial wall is convergent.,The gingival wall is divergent.,all of the above,none of the above,A,
Unsupported enamel is most frequently found:,at the gingival cavosurface margin of a Class V preparation,at the buccal cavosurface margin of a Class I preparation,at the mesial and distal cavosurface margins of a Class V preparation,"at the facial external bevel of a Class IV preparatione, at the lingual-pulpal line angle of a class I preparation",,C,
"For a Class V preparation, retention grooves are placed:",at the mesial and distal cavosurface margins,at the incisal and gingival cavosurface margins,at the mesial-gingival and distal-gingival line angles,at the mesial-incisal and distal-incisal line angles,none of the above,E,
"For a Class IV preparation, internal retention is placed at:",the pulpal-gingival line angle,the facial- pulpal line angle,the facial-lingual-pulpal point angle,a and b,a and c,E,
"When using a light cured composite, to insure that the composite restoration is completely cured:",check the hardness of the surface of the restoration with an explorer.,check the translucency of the restoration,"place the composite in the preparation in thin layers, curing each layer",a and c,all of the above,C,
"In general, as the filler volume percent increases for the various types of composite restorative materials:",the strength of the composite increases b the wear resistance increases,the polymerization shrinkage decreases.,all of the above,none of the above,,D,
