title,Preclinical Pediatric Dentistry Final Exam (Spring 2021),pedo,final
question,option_a,option_b,option_c,option_d,correct,image
"A child who refuses treatment, distrusts the dentist and hits/ screams would receive which score?",F1,F2,F3,F4,A,
All of the following are considered vulnerable populations except:,Immigrants,Military connected youth,Adopted youth,Youth with mental health disorders,C,
A possible complication(s) of Acute Lymphocytic Leukemia (ALL) is:,Mucositis,Candidiasis,Trismus,All of the answers,D,
Nitrous oxide is written as:,NO,N2O,NO2,N2O2,B,
Interim Therapeutic Restoration (ITR) is intended as definitive treatment. Atraumatic Restorative Treatment (ART) is intended as definitive treatment.,Both statements are true,Both statements are false,The first statement is true and the second statement is false,The first statement is false and the second statement is true.,D,
All of the following patients are at higher risk for pain except:,Patients who have been physically abused,Patients born prematurely,Patients with a history of frequent interventions,Teenagers who are angry at their parents,D,
When administering nitrous oxide:,Fasting is required 12 hours before,Fasting is required 6 hours before,Patient may have light meal 2 hours before,No restrictions on eating or drinking,C,
"A typical patient, whose dental age is 5 years old, and their 6-year molars have not yet erupted, with an abscessed tooth K, should have the following procedure performed:",Pulpotomy and stainless steel crown,Extraction and lower lingual holding arch,Extraction and distal shoe,Apexogeness,C,
Which primary teeth are the first to erupt in the mouth in a typical child?,Central incisor,Lateral incisor,First molar,Canine,A,
"In the permanent dentition, one can expect the premolars to erupt before the canine in the maxilla.  In the permanent dentition, one can expect the premolars to erupt after the canine in the mandible.",Both statements are true,Both statements are false,The first statement is true and the second statement is false,The first statement is false and the second statement us false.,A,
Which of the following occlusal relationships in the primary dentition lead to a Class I permanent occlusal relationship?,Distal step and flush terminal plane,Mesial step and flush terminal plane,Mesial step and distal step,Flush terminal plane only,B,
"When predicting available space according to Moyers, what teeth are measured?",Maxillary incisors,Maxillary canines and premolars,Mandibular incisors,Mandibular canines and premolars,C,
The leeway space is:,Located between the canine and molar in the maxilla and the lateral incisor and canine in the mandible,Located between the lateral incisor and canine in the maxilla and the canine and molar in the mandible,The difference in combined width between the primary canine and primary molars and the permanent canine and permanent molars,The difference in combined width between the primary canine and primary molars and the permanent canine and permanent premolars,D,
An 8 year old who had tooth A and J extracted would benefit from:,A lower lingual holding arch,A Nance appliance,A band and loop,A distal shoe,B,
"By the age of 19 months, infants typically have the following primary teeth:","Central incisors, lateral incisors, canines","Central incisors, lateral incisors, second molars","Central incisors, lateral incisors, first molars","Central incisors, Lateral incisors, canines, first molars",C,
By what age should a dental home be established?,6 months,12 months,18 months,24 months,B,
A nursing patient born with primary teeth may develop the following condition:,Bohn's nodules,Mucocele,Candidiasis,Riga fede,D,images/pedo-final-spring-2021/fig17.jpeg
Fluoride toxicity in children can occur with a dose equal to or greater than,5 mg/kg,1.8 mg/kg,10 mg/kg,2.2 mg/kg,A,
"Teeth 3, 14, 19, 30:",Begin to calcify at birth,Are considered succedaneous teeth,Erupt at 4 years old,Begin to develop at birth,A,
A 4 year old male who lives in an area with well water that is not fluoridated would receive what dose of fluoride vitamin?,Depends on weight,0.25 mg/day,0.5 mg/day,1 mg/day,C,
A patient who has penicillin allergy but requires oral antibiotics for an infection should be prescribed:,Clindamycin 25-45 mg/kg/ day divided into 2 doses,Clindamycin 8-20 mg/kg/day divided into 3-4 doses,Amoxicillin 25-45 mg/kg/day divided into 2 doses,Amoxicillin 8-20 mg/kg/day divided into 3-4 doses,B,
Which of the following is not used to treat ADHD?,Ritalin,Abilify,Vynase,Focalin,B,
"In the pictures below, which tooth is abscessed and what is the treatment indicated:",I; extraction,B; extraction,I; pulpotomy and crown,B; pulpotomy and crown,A,images/pedo-final-spring-2021/fig23.jpeg
The X-rays depicted below are of a typically developing 8 year old male who weighs 70 pounds and presents to your office in pain. Which teeth need to be extracted?,S and T,K and L,K and T,I and L,A,images/pedo-final-spring-2021/fig24.jpeg
The X-rays depicted below are of a typically developing 8 year old male who weighs 70 pounds and presents to your office in pain. What space maintainer does the patient need?,Nance appliance,None,Lower lingual holding arch,Band and loop,C,images/pedo-final-spring-2021/fig25.jpeg
The X-rays depicted below are of a typically developing 8 year old male who weighs 70 pounds and presents to your office in pain. If the extraction was not able to be performed right away- what should be done at the time of the appointment?,Nothing,Prescribe amoxicillin 400mg/ 5ml take 8.5ml bid for 10d,Prescribe amoxicillin 400mg/ 5ml take 10 ml bid for 10d,Prescribe amoxicillin 250 mg/ 5ml take 5 ml prn,B,images/pedo-final-spring-2021/fig26.jpeg
"Which of the following teeth, pictured in the X-ray below is the best candidate for vital pulp therapy?",B,S,T,19,C,images/pedo-final-spring-2021/fig27.jpeg
An important distinction between permanent and primary teeth is that:,"Permanent teeth have broader, flatter proximal contacts",Permanent teeth are whiter,Permanent teeth have thinner enamel and dentin,Permanent teeth have less constriction of the crown and a less prominent cervical contour,D,
"When placing dental sealants, we must consider all of the locations where pit and fissure caries can occur. Which of the following are examples of such locations?",Occlusal surfaces of maxillary and mandibular molars,Lingual surfaces of maxillary molars,Buccal surfaces of mandibular molars,All of the answers,D,
