title,Periodontics I Midterm Exam (Fall 2020),perio1,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
An increased periodontal probing depth that is due to enlargement of the gingiva without apical migration of the Junctional Epithelium is a:,Periodontal Pocket,Infrabony Pocket,Psuedopocket,None of the answer choices,,C,
Which of the following are contents of a periodontal pocket?,PMN’s (Neutrophils),GCF (Gingival Crevicular Fluid),Desquamated Epithelial Cells,All of the answer choices,,D,
Which statement is correct regarding a healthy gingival sulcus?,There is no bleeding on gentle probing,There is ulceration of the sulcular epithelium,The marginal gingiva is red,None of the answer choices,,A,
Plaque accumulation has a direct effect on:,The severity of gingivitis,The degree of tooth mobility,The degree of attachment loss,All of the answer choices,,A,
What is true with respect to tooth mobility?,Mobility is never related to hormonal changes,Single rooted teeth often have greater mobility than multi-rooted teeth,A tooth that is depressible is Classified as Miller’s Class II,Mobility can not be due to a periapical abscess,,B,
Which of the following statements is characteristic of the PDL?,Increases in width with increasing age,It is narrower at the crest of bone,It has an average width of 1/4mm,None of the answer choices,,C,
A Fenestration bone defect includes marginal bone:,True,False,,,,B,
What is true regarding the Width of Attached Gingiva?,The maxillary anterior facial has 3.5-4.5mm of attached gingiva,The anterior palate has the least amount of attached gingiva,The mandibular anterior facial aspect has the largest average width of attached gingiva,The least amount of attached gingiva is in the mandibular anterior sextant,,A,
Which of the following is first to form on a recently polished tooth?,Bacterial Plaque,Food Debris,Materia Alba,Acquired Pellicle,,D,
Which of the following are characteristics of Subginigival Plaques?,They are mostly Gram (+),They are mainly aerobic,They must be attached to the tooth surface,None of the answer choices,,D,
"The statement, “Materia Alba is easily displaced with water spray” is:",True,False,,,,A,
Which of the following is/are biologic risk factors for periodontal disease?,Oral Hygiene,Systemic Diseases,Specific Bacteria,All of the answer choices,,B,
Which is true regarding denudation of alveolar bone?,A Dehiscence defect includes marginal bone loss,A thick facial cortical plate is a cause of denudation of alveolar bone,A Fenestration defect is likely when there is a thick cortical plate of bone,All of the answer choices,,A,
The prevalence of a disease is the number of affected persons in a population:,True,False,,,,A,
Which of the following is/are a clinical sign of Gingivitis and not Periodontitis?,Exudate,Mobility,Bleeding on gentle probing,All of the answer choices,,C,
According to Loe and Silness (1963) what is the Gingival Index score for a site which has marked change in color with a tendency toward spontaneous bleeding?,0,1,2,3,,D,
According to Silness and Loe (1964) what is the Plaque Index score for a site which has a gingival area that is covered with a thin layer of plaque that is visible to the naked eye?,0,1,2,3,,C,
According to Russell (1956) what is the Periodontal Index score for a site where the epithelial attachment has been broken and there is a pocket?,0,1,2,6,8,D,
What is false regarding Epidemiologic Indices?,They must be reproducible,They overestimate the true clinical condition,They are used for statistical analysis,They need to define clinical conditions objectively,,B,
What is true regarding Junctional Epithelium?,Develops from enamel organ,Attaches to tooth via hemi-desmosomes and internal basal lamina,It is not a permeability barrier,It is a pathway for transmigration of PMN’s (Neutrophils) to the gingival sulcus,All of the answer choices,E,
Gingivitis always progresses to Periodontitis.,True,False,,,,B,
What is/are true regarding dental radiographs?,They are the primary way to diagnose periodontal disease,They reveal current disease activity,They show minor changes in bone loss,None of the answer choices are true,,D,
Which of the following are features of Gingivitis?,It usually comes on slowly,It is typically accompanied by tooth mobility,It is never acute,All of the answer choices,,A,
A patient has 3mm of Gingival Overgrowth from the CEJ and a probing depth of 3mm from the Gingival Margin.  This patient has the following amount of attachment loss?,2mm,6mm,3mm,None of the answer choices,,D,
Which of the following has a sufficient Zone of Attached Ginigva,When the total gingival width is 3mm with a sulcus depth of 2mm,When the total gingival width is 5mm with a sulcus depth of 5mm,When the total gingival width is 6mm with a sulcus depth of 3mm,When the total gingival width is 3mm with a sulcus depth of 4mm,,C,
What is true regarding Pathologic Tooth Migration?,It is never an early sign of periodontal disease,It usually affects posterior teeth,Can be the result of normal opposing forces,All of the answer choices,,C,
Increased mobility can be caused by:,A periapical abscess,Hormonal Changes,Bone Loss,A periapical abscess and bone loss,"A periapical abscess, hormonal changes, and bone loss",E,
What is true regarding the nature of Periodontal Disease?,Periodontal disease causes constant bone loss over time,For a patient with periodontal disease every periodontal site is involved,Every patient with periodontal disease has the same rate of progression of disease,None of the answer choices,,D,
What is true regarding purulent exudate?,Purulence is material that has escaped from blood vessels,Purulence is an indication of severity of disease,Purulence is an indication of pocket depth,None of the answer choices,,A,
What is not true regarding Supragingival Calculus?,It is located coronal to the gingival margin,It acquires stain from gingival crevicular fluid,It is commonly associated with teeth that are adjacent to major salivary gland ducts,It absorbs pigments and tobacco stains,,B,
Which of the following is not a sign of Gingivitis?,Redness,Tooth mobility,Bleeding on gently probing,All of the answer choices are signs of Gingivitis,,B,
What is true regarding the etiologic significance of calculus?,It prevents plaque from being in close contact with the gingival tissues,It is not a contributing factor to disease progression,It creates areas where plaque removal is impossible,It is the main etiologic factors in the development of periodontal diseases,,C,
The anatomic root is covered by Cementum while the clinical root is covered by periodontal tissues:,True,False,,,,A,
The blood supply to the gingival tissues comes from the following:,Supraperiosteal Arterioles,PDL Arterioles,Interdental Arterioles,All of the answer choices,,D,
、 What is false regarding Epidemiologic Indices?,They overestimate the true clinical condition,They are used for statistical analysis,They need to define clinical conditions objectively,They must be reproducible,,A,
