title,Endodontics Final Exam (Spring 2019),endo,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
What factor should not be considered a part of the problem solving loop?,identifying the problem,group think,explore information and create ideas,select the best idea,build and test the idea,evaluate the results,B,
The most relevant information in decision making is based on:,best research evidence,clinical experience,patient's values,where the above three intersect,,,D,
In the hierarchy of evidence the highest standard is:,cohort studies,case control studies,meta-analysis and systematic reviews,case series and case reports,,,C,
What is not a goal of endodontic treatment?,shaping and obturating a canal space that is wide and tapered in the mesio-distal plane,maintaining a coronal and apical seal of the root canal treatment,protecting and preserving the remaining tooth structure,providing a supportive and retentive foundation for the placement of a final restoration,restore the function and esthetics,,A,
Evidence and clinical experience suggests that greater tapered rotary instrumentation has\have the following potential disadvantage(s):,removes too much tooth structure in at least the mesio-distal plane,"inadequate debridement in the thinner, but broader bucco-lingual plane",weakens roots,increases the incidence of instrument separation reinforcing procedures that further weaken the roots,all the above,,E,
The advantages of engine-driven 30º oscillating instrumentation include:,removal of dentin related to the original pulpal anatomy preserving far more tooth structure,minimal production of dentinal defects,virtual elimination of separated instruments,three-dimensional cleansing and debridement via internal routing,all the above,,E,
What would not be a clear indication of an iatrogenic event?,extruding cement beyond the apex into the alveolar nerve space,extrusion of NaOCl into the periapical tissues,identifying a necrotic pulp after crown preparation,the separation of an instrument within the canal space during canal preparation,,,C,
Treatment for the extrusion of NaOCl beyond the apex does not include,the application of anesthesia and analgesics immediately after the incident,the immediate application of cold compresses,the immediate application of hot compresses,the injection of saline beyond the apex to dilute toxicity of NaOCl,the use of negative pressure to remove as much NaOCl as possible,the administration of antibiotics,C,
Steps in avoiding the extrusion of NaOCl over the apex include:,establish an accurate working length and avoid overinstrumentation of the radicular foramen.,use of a side-vented needle for irrigation no closer than 2 mm from the working length expressing the fluid slowly,assess the canal integrity for signs of perforation or other portals of fluid egress,avoid wedging the irrigating needle in the canal,confirm the identity of the solution prior to irrigation,all the above,F,
Torsional stress is induced in rotating instruments when they negotiate curved canals.,True,False,,,,,B,
Cyclic fatigue is induced in rotating instruments when they negotiate curved canals.,True,False,,,,,A,
