title,Oral Radiology Final Exam (Fall 2017),oralrad,final
question,option_a,option_b,option_c,option_d,correct,image
Which of the following is NOT a purpose of Quality Assurance?,Optimize diagnostic yield,Minimize radiation dose,Ensure radiographic procedures are checked and corrected if problematic,Involve the patient in their radiographic examination,D,
How frequently should the Radiology Log be updated?,Daily,Weekly,Monthly,Yearly,A,
"Statement 1. Lead aprons must be used for every radiographic examination. Statement 2. Afterwards, the apron should be folded in half and stored in a drawer.",The first statement is true. The second statement is true.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,The first statement is false. The second statement is false.,D,
"A phantom with alternating metal lines, measured in line pairs per millimeter, is used to measure what?",Spatial resolution,Contrast resolution,Field of view,Patient dose,A,
"Statement 1. Apical periodontitis usually presents as radiopaque. Statement 2. Dense, reactive bone formation usually presents as radiopaque.",The first statement is true. The second statement is true.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,The first statement is false. The second statement is false.,C,
"A patient has a periapical radiograph below taken to evaluate his maxillary lateral incisor. The patient suffers from throbbing pain, and tooth #7 tests as non-vital. Which of the following is the most likely diagnosis?",Calculus,Apical periodontitis,Cemento-osseous dysplasia,Periodontal disease,B,images/oralrad-final-fall-2017/fig6.jpeg
Which of the following can mimic apical periodontitis of a premolar but is in fact a normal radiolucent structure?,Mandibular canal,Mandibular condyle,Mental foramen,Lingual foramen,C,
"In a panoramic radiograph, if the patient's teeth are positioned in front of (buccal to) the focal trough, the incisors will appear:",Enlarged in size,Reduced in size,Flipped upside down,Normal but will also have a ghost image,B,
Which is the anatomical structure outlined by red?,Mandibular condyle,Hyoid,Epiglottis,Thyroid,C,images/oralrad-final-fall-2017/fig9.jpeg
Which is the anatomical structure outlined by red?,Inferior nasal concha,Maxillary sinus,Pterygomaxillary fissure,Zygomatic process of the maxilla,A,images/oralrad-final-fall-2017/fig10.jpeg
Ghost images normally project on the film as:,"Reduced in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the same side of the image","Reduced in size, superior, and on the same side of the image",B,
"When taking a panoramic radiograph, if the patient's head is rotated to the patient's right side:","The right side is projected inferiorly, and the left side is projected superiorly","The left side is projected inferiorly, and the right side is projected superiorly","The right side is enlarged in size, and the left side is reduced in size","The left side is enlarged in size, and the right side is reduced in size",C,
Which of the following statements is TRUE?,A panoramic radiograph is acquired in approximately 1 second.,A panoramic image is acquired from the patient's right to the patient's left.,A panoramic radiograph is an excellent overview of the teeth and jaws but not the maxillary sinuses.,A panoramic radiograph has many overlapping structures.,D,
Which of the following statements is TRUE regarding the radiograph below?,This is a Water's view radiograph,The patient moved throughout the X-ray exposure,The patient is probably less than 10 years of age,The teeth are well-visualized.,B,images/oralrad-final-fall-2017/fig14.jpeg
Air appears _____ in CBCT. Air appears _____ in MRI.,bright; dark,dark; bright,dark; dark,bright; bright,C,
Which of the following examinations delivers the least amount of radiation to the patient,MRI,CBCT,Panoramic radiograph,Sigle Intra-oral radiograph,A,
Which type of extra-oral radiograph is taken with the patient's mouth open?,PA (Posterior-anterior) radiograph,Waters view radiograph,Reverse Towne,Lateral oblique radiograph,C,
"In a lateral cephalometric radiograph, which part of the head is towards the image receptor?",Chin,Left side,Right side,Nose,B,
Which of the following is the best use of CBCT?,Evaluate for incipient carious decay,Evaluate the disc of the TMJ,To evaluate a lesion on the gingiva,To evaluate the bone height and width prior to implant placement,D,
The black (hypodense) line indicated by the red arrows would be best described as:,Beam-hardening artifact,A fracture,Osteomyelitis,Mandibular canal,A,images/oralrad-final-fall-2017/fig20.jpeg
Periodontal bone loss can be visualized on a CBCT.,True,False,,,A,
"For non-disposable, non-sterilizable dental equipment, such as the dental chair itself, which of the following is the most appropriate infection control treatment?",Clean surfaces with a “Sani-Cloth” or similar product,Use a plastic barrier/sheath,Use a plastic barrier/sheath AND afterwards clean surfaces with a “Sani-Cloth” or similar product,None of the other answer choices are correct.,C,
Universal precautions describe how to handle only patients of known HIV status.,The above statement is true.,The above statement is false.,,,B,
Which of the following is TRUE regarding waste management of film?,The chemicals used for development can be safely discarded in the sink or toilet.,Film does not require special waste management since its components are simpler than digital sensors.,Film requires the same disposal procedures as batteries.,The lead foil found in film packets should be collected and sold to a scrap metal dealer.,D,
"Which of the following is critical when taking dental radiographs on patients with motor dysfunction, such as Parkinson's disease?",Speak slowly and clearly,Utilize short exposure times,Coordinate with an anesthesiologist to sedate the patient prior to taking radiographs,"Utilize the “tell, show do” technique",B,
Which of the following is FALSE regarding portable x-ray generators?,Portable x-ray generators may be necessary for patients who move around a lot.,Portable x-ray generators may be necessary to work on moderately sedated patients in a hospital setting.,Portable x-ray generators carry a greater occupational risk to the operator.,None of the answer choices are false.,D,
Which of the following is the best answer regarding pediatric radiography?,Pediatric patients may have trouble sitting still for the exposure.,Pediatric patients may respond well to “tell-show-do”.,Pediatric patients may require firm guidance to help them through the procedure.,All of the answer choices are true statements.,D,
Which of the following is a TRUE statement about patients with intellectual disability?,These patients may not comprehend what a radiograph is.,This group of patients is unlikely to fear the dentist and is usually very cooperative.,The currently-accepted term for this the condition of these patients is mental retardation (MR).,Patients with motor dysfunction always have an intellectual disability (ID),A,
"In cariology (the study of caries and caries formation), which of the following occurs before cavitation?",Apical periodontitis,Periodontal disease,Demineralization,Root fracture,C,
Which of the following projections is the most useful radiologic examination for detecting caries?,Occlusal,Bitewing,Periapical,Panoramic,B,
Cervical burnout:,Is indicative of root caries.,Typically extends from the contact point to the alveolar crest,Is a complex procedure that occurs in patients with xerostomia,"Is radiopaque, whereas dental caries is radiolucent.",B,
Untreated dental caries is most likely to lead to:,Periodontal disease,Cervical burnout,Mach band,Apical periodontitis,D,
"For normal anatomy, the height of the crest of alveolar bone lies at a level approximately __________ mm below the level of the cementoenamel junctions of adjacent teeth.",0.01 to 0.05,1.0 to 2.0,3.0 to 5.0,6.0 to 7.0,B,
The following image demonstrates:,Periodontal bone loss only,Calculus only,Both periodontal bone loss and calculus,Neither periodontal bone loss nor calculus,D,images/oralrad-final-fall-2017/fig34.jpeg
Periodontal bone loss extending down the root of a tooth referred to as:,Gingivitis,Horizontal bone loss,Vertical bone loss,Aggressive periodontitis,C,
"In the radiograph below, the small wisdom tooth, is best described as a:",Microdont,Macrodont,Hyperdont,Hypodont,A,images/oralrad-final-fall-2017/fig36.jpeg
"A patient with complete edentulism presents to your office. Upon taking the patient's history, you learn that the patient has not had any teeth since birth. The most accurate term for this condition is:",Oligodontia,Hypodontia,Microdontia,Anodontia,D,
The dental terminology for teeth which have changed places is:,Gemination,Transposition,Fusion,Dilaceration,B,
Hutchinson's incisors and Mulberry Molars are associated with which of the following condition:,Amelogenesis imperfecta,HIV,Syphilis,Gonorrhea,C,
Which of the following conditions describes one tooth splitting into two?,Fusion,Gemination,Concrescence,Touro-dontism,B,
Which of the following conditions is depicted in the radiograph below?,Taurodontism,Pulpal sclerosis,Turner's tooth,Hypercementosis,A,images/oralrad-final-fall-2017/fig41.jpeg
"Teeth that appear largely radiolucent, as is seen below, are often referred to as “ghost teeth.” The proper terminology for this condition is:",Spooky dysplasia,Regional Odontodysplasia,Macrodentasia,Dental translucency,B,images/oralrad-final-fall-2017/fig42.jpeg
Which of the following dental injuries has the poorest prognosis for the tooth?,Concussion,Luxation,Extrusion,Intrusion,D,
"If you find a mandibular fracture during a radiographic examination, you should always look for a second mandibular fracture.",The above statement is true.,The above statement is false.,,,A,
The “trap door” finding is noted in which type of fracture?,Mandibular,Maxillary,Orbital Blowout,LeFort I,C,
"For which type of dental injury may there be no radiographically detectable changes, except perhaps a widened PDL space?",Concussion,Intrusion,Extrusion,Lateral luxation,A,
Which tooth very commonly suffers from pericoronitis due to incomplete eruption or partial impaction?,3rd Molar,2nd Premolar,Maxillary lateral incisor,Mandibular canine,A,
Osteomyelitis and cancer can look very similar radiographically due to all of the following EXCEPT:,Both can have poorly-defined margins,Both can be wide-spread,Both can look irregular,Both can look completely radiopaque,D,
Which of the following refers to the path of drainage of pus (neutrophils)?,Leakage,Carious train,Fistula,Osteomyelitis,C,
Most students will be much happier when this exam is over! (Note: Don't overthink this - Just answering this question will grant you the points. Happy holidays!),Absolutely!,"No way, don't you know how many other exams we have?",No because radiology is over :(,"Let's have a party, we'll all dance the horah!",D,
