title,PCOD I Final Exam (Fall 2018),pcod1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following is not true for a Class V preparation?,The axial wall is concave.,The mesial wall is convergent.,The gingival wall is divergent.,all of the above,none of the above,D,
The type of caries always evident in direct clinical examination are Class __________.,"I, IV, V","I, II, V","I, II, III","I, III, IV","I, III, V",A,
Contact areas of teeth are usually found in the gingival 1/3 of the proximal surface. It is imperative to break contact into all embrasures for both Class II and Class III cavity preparations.,"The first statement is true, the second is false","The first statement is false, the second is true",Both statements are true,Both statements are false,,D,
The reason for placing a reverse curve in a Class II preparation is:,to produce a 90° angle with the external surface,to avoid creating unsupported enamel rods at the cavosurface margin,to avoid falling off the chair,a and b,all of the above,D,
Which tooth needs special attention when it comes to access form?,#21,#11,#8,#14,#7,A,
Changes in enamel rod orientation as seen by polarized light on tooth sections are called:,Hunter-Shreger bands,Perikymata,Striae of Retzius,Enamel Spindles,,A,
"Sclerotic dentin creates a ""walling off ""effect between the dentinal tubules and the pulp to insulate the pulp from dentin fluid disturbances caused by a stimulus such as dental caries?",True,False,,,,B,
A pH below _____ is known to cause enamel demineralization.,3.0-3.7,4.0-4.7,5.0-5.7,6.0-6.7,,C,
_____ communicate with the pulp.,Odontoblasts,Tomes' fibers,Dentinal tubules,none of the above,,B,
The smear layer _____.,helps protect the cementum and dentin,covers the openings of the dentinal tubules,reduces the risk that a stimulus for hypersensitivity reaches the dentinal tubules,all of the above,,D,
Pathologies that can exhibit similar signs and symptoms of dentinal hypersensitivity include:,Fractured tooth,Dental caries,Pulpal pathology,Failing restorations,All of the above,E,
You are about to do a composite restoration. The steps are as follows:,"Acid etch, rinse, prime and bond, cure, composite","Acid etch, rinse, dry, prime and bond, cure, composite","Prime and bone, rinse, dry, acid etch, composite","Prime and bond, rinse, dry, acid etch, cure, composite",,B,
The C- factor is highest in a:,Class I,Class II,Class III,,,A,
The following cells make enamel:,Ameloblasts,Enamelblasts,Odontoblasts,Cementoblasts,,A,
"Abrasion, abfraction and erosion are all caused by carious lesions.",True,False,,,,B,
What is NOT a difference between a class 2 preparation for an amalgam vs composite restoration?,Breaking contact,Presence of reverse curve,Direction of internal walls,,,B,
Which is of the following is NOT one of the reasons that we condense the amalgam restoration into the cavity preparation?,Remove excess amalgam,Compact the mass and prevent voids within restoration,Reduce the mercury,Adapt amalgam into the walls,,A,
The best protection against damaging the adjacent teeth during preparation of a class 2 proximal box is,Leaving an enamel shell,Placing a wedge,Using a rubber dam,A &B,B &C,D,
