title,Practice Management II Exam 1 (Fall 2021),pmgmt2,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
The repository of reports containing information regarding adverse actions related to healthcare providers including dentists is called?,National Malpractice Network,National Practitioner Data Bank,National Healthcare Network,National Board of Compliance,None of these answer choices,B,
Assignment of benefits signed by the patient allows the fee:,To be paid directly to the patient,To be paid directly to the dentist,Will cover the patients deductible,Will represent a capitation payment,,B,
The term used to describe when a dentist fails to collect a full fee represented on a dental insurance claim form:,Misdemeanor,Waive,Misrepresentation,Network fee,,B,
The code used to provide uniformity and efficiency in the processing of dental claims is called?,CPR code,DEA code,CDT code,ADA code,None of the answer choices,C,
The NPI Number on a dental insurance claim form is used to identify:,the services rendered,the date of the procedure,the subscriber,provider of the service,none of these,D,
The DEA number is used,used to indicate the employer of the subscriber,identify the provider authorizing a prescription,to identify services rendered,a Parental Conscious Sedation Permit number,none of these choices,B,
The most accurate method of assessing a patients' dental benefits is,reviewing the patients' previous claims experience,contacting the patients' human resources department,submitting for a pre-determination of benefits,asking the patient directly,examine information printed on the insurance card,C,
Laws enacted by the legislative branch of government such as the Dental Practice Act are an example of:,schedules,rules,statutes,regulations,none of the answer choices,C,
Which of the followings code(s) is used to identify the services rendered for a submitted procedure :,CDT code,DEA code,NPI code,CDS number,None of the answer choices,A,
"The permit issued by a State Board of Dentistry that allows the administration of medications via intravenous, intramuscular, subcutaneous, submucosal, and / or inhalation routes is called a:",Local anesthesia permit,Nitrous Oxide Permit,Parental Conscious Sedation Permit,Oral Topical Permit,None of these choices,C,
When offering a discount to a patient and submitting an insurance claim form:,the regular fee for services should be submitted,the UCR fee should be submitted,the PPO fee should be submitted,the reduced fee must be submitted,None of the answer choices,D,
Insurance companies allow a Dentist to submit for payment of completed services on the date of the final impression?,True,False,,,,B,
Mr. and Mrs. Smith both have dental insurance coverage through their respective employers. How would you submit for services rendered on their daughter?,Submit claims to both insurance companies at the same time.,Submit to only one insurance carrier since it is illegal to have two or more insurance benefit plans,Submit to the primary carrier then bill the parent for the balance.,Determine which carrier is primary and submit the claim to that carrier only.,None of these answer choices,E,
Capitation Insurance Plans pay the Dentist only after services are rendered.,True.,False,,,,B,
The Dentist gets compensated a set amount per patient or family per month in which type of insurance plan?,PPO,Fee for Service,Sliding Scale plan,Capitation plan,None of the answer choices,D,
Indemnity Insurance Plans are considered Capitation Plans.,True.,False,,,,B,
Which of the following is not true regarding a deductible?,Many times an annual fee,A fee that must be collected,Occurs in many indemnity plans,Paid by the insurance company,None of the answer choices,D,
Which type of Dental Insurance Plan does not reimburse a Dentist based on services rendered?,PPO Plans,Indemnity Plans,DHMO Plans,Direct Reimbursement plans,None of the answer choices,C,
Managed Care Dental Insurance Plans generally have,Annual maximum,Annual deductible,Pre-set co-payment schedules,All of the above,None of these answer choices,C,
The chief law office of a State that holds the law-executing power to protect the citizen of that state is the:,Board of Dentistry,Chief Prosecutors office,Office of the Attorney General,Department of Human Services,None of the answer choices,C,
The following State Agencies have an impact on the practice of Dentistry except:,Department of Labor,Department of Taxation,Workers Compensation and Disability,Department of Environmental Protection,None of the answer choices,E,
What is a rule or order issued by an executive authority of a government used to interpret an existing law?,statute,by-law,regulation,violation,none of the answer choices,C,
A law enacted by the legislative branch of a government (i.e. state legislature) is called a:,rule,regulation,statute,by-law,none of these answer choices,C,
The agency that is responsible for monitoring the disposal of Regulated Medical Waste generated in a Dental Office is?,Board of Dentistry,Department of Environmental Protection,OSHA,Office of the Attorney General,None of the answer choices,B,
The CDS number on a dental claim form is used to identify:,the services rendered,the date of the procedure,the subscriber,provider of the service,none of the answer choices,E,
