title,Fixed Prosthodontics Midterm Exam 2 (Fall 2017),fixedpros,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following margin designs involves the least reduction of tooth structure?,Shoulder,Chamfer,Shoulder/Bevel,Knife-Edge,,D,
Ante's Law is used to help determine:,Number of roots,Pontic shape,Margin design,Number of abutments and pontics,,D,
Which elastomeric impression material has the best ElasticRecovery?,Polysulfide rubber,Reversible hydrocolloid,Polyvinylsiloxane,Irreversible hydrocolloid,,C,
"Where A equals Abutment and P equals Pontic, which fixed prosthesis design would have the least successful long term prognosis?",APA,APPPPA,AAPPAA,AAPP,,B,
Which viscosity is used ONLY as a tray material when taking impressions?,Light body,Medium body,Putty body,Heavy body,,C,
The characteristic of an impression material that describes changing it's form from one to another is:,Syneresis,Imbibition,Hydrophobic,Thixotropic,Hydrophilic,D,
You are fabricating a fixed prosthesis on a patient who upon examination presents with: • a deep bony undercut torus • wide interproximal spaces and • tooth mobility due to periodontal disease. In selecting an appropriate impression material the characteristic MOST important in selectin would be:,Setting time,Tear strength,Dimensional stability,Flexibility,,D,
The higher the contact angle the better the “wetting” abilityof an impression material.,True,False,,,,B,
"The dental sales rep comes to your office, buys everyone lunch and offers you theater tickets if you buy his/her new product. You are told it is the MOST accurate material ever made. The question you should ask relates to what qualities of this great, new material?",Setting time,Elastic recovery,Mixing time,Permanent deformation,b and d,E,
Which of the following is NOT an elastomeric impressionmaterial?,Polysulfide rubber,Agar,Polyether,PVS,,B,
"When describing the classification of ridge deformities, LEAST common deformity is:",Class I,Class II,Class III,Class IV,,B,
The winner of the Baseball World Series last week was:,The New York Yankees,The Boston Red Sox,The Los Angeles Dodgers,The Pittsburgh Pirates,None of the above,E,
Which of the following pontic designs has the LEAST mucosal contact?,Saddle,Modified ridge lap,Bullet,Ovate,Ridge Lap,C,
"When mixing die stone, if you alter the water/powder ratio,more water will result in INCREASED compressive strength.",True,False,,,,B,
Contact angle is used to measure what quality of an impression material?,Dimensional stability,Flexibility,Wettability of a tooth surface,Setting time,,C,
Moisture control is very important in impression making. The elastomeric impression material that is most hydrophilic is:,Polysulfide rubber,Polyether,Polyvinylsiloxane,None of the above,,B,
Permanent Deformation is the same as Elastic Recovery:,True,False,,,,B,
The retention and resistance form of a short abutment can be improved by:,Grooves,Boxes,Pin Holes,All of the above,,D,
Which of these is NOT an important physical property of an impression material?,Viscosity,Dimensional Stability,Tear Strength,Permanent Deformation,All of the above are important,E,
"When selecting an impression material viscosity to be usedin an impression syringe, it should be:",Medium body,Heavy body,Putty body,Light body,,D,
Which of the following Beatles are still alive?,George Harrison,Ringo Starr,Paul McCartney,John Lennon,b and c,E,
The finish line MOST commonly used when preparingan all metal crown is:,Chamfer,Shoulder,Knife-edge or bevel,Shoulder/bevel,,C,
Hydrophobic impression materials will “wet” intraoral surfaces better than a hydrophilic impression material.,True,False,,,,B,
Polyvinylsiloxane is a condensation silicone impression material.,True,False,,,,B,
The lower the contact angle of an impression materialthe higher the “wetting” property of that material.,True,False,,,,A,
"When discussing the molecular structure of an impression material, “brush heap structure” refers to what material:",Polysulfide,Plaster,Polyether,Alginate,None of the above,D,
Which of these impression materials comes in only one viscosity?,Polysulfide rubber,Polyether,Reversible hydrocolloid,Polyvinylsiloxane,None of the above,B,
Syneresis is used to describe the “brush heap” structureof an impression material.,True,False,,,,B,
Your patient is missing tooth #4. Upon examination you discover that the ridge has lost both width and height. this would be classified as a Class ridge deformity:,Class II,Class I,Class III,None of the above,,C,
"When discussing the classification of ridge deformities in pontic design, the least common ridge deformity is",Class I,Class III,Class II,None of the above,,C,
Which of the following pontic designs does NOT have tissuecontact?,Saddle pontic,Ovate pontic,Ridge lap pontic,Hygienic pontic,,D,
"When selecting an impression material, ideally the Permanent Distortion should be less than:",5%,10%,1.5%,7%,,C,
Permanent Deformation is the same as Elastic Recovery?,True,False,,,,B,
The MOST important variable in determining the settingtime of hydrocolloid impression materials is:,Water temperature,Water-Powder ratio,Ambient humidity,Mixing time,,A,
The distortion of an alginate impression is close to:,5%,0%,3-3.5%,1%,,C,
Imbibition refers to the loss of liquid and shrinkage of analginate impression.,True,False,,,,B,
Condensation silicones are very stable:,True,False,,,,B,
The main difference between addition silicone elastomers and condensation silicone elastomers is:,Dimensional stability,Working time,Tear strength,Ease of mixing,,A,
Flexibility in impression materials is a measure of:,Temperature,Mixing time,Strain in compression,Viscosity,,C,
The term tear strength in an impression material occurs when that material is subjected to:,Moisture,Tensile Force,Syneresis,Face-bow transfer,,B,
Which of these is NOT a source of dimensional change in an impression material,Polymerization strain,Loss of by-product ( water or alcohol).,Thermal contraction,"Imbibition due to water, disinfectant or humidity",All of the above ARE sources of dimensional change,E,
