title,PCOD II Quiz 3 (Spring 2018),pcod2,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
An ceramic inlay is an example of:,a direct restoration,a provisional restoration,a cast restoration,an indirect restoration,none of the above,D,
The major difference between a direct and indirect restoration is:,the direct restoration requires an impression,"the indirect restoration is fabricated, finished and polished in the mouth",the indirect restoration is cemented in place for retention,the indirect restoration is placed immediately after tooth preparation,none of the above,C,
Which of the following statements is true?,An onlay replaces tooth structure only within the cusp tips of the tooth,An onlay replaces one or more cusps of the tooth,A veneer covers only the facial surface of a tooth,all of the above,none of the above,B,
Which of the following is a contra-indication for the use of a ceramic onlay?,Gingival floor of the preparation terminates above the free gingival margin,Heavy occlusal stresses,Large defects due to caries or fracture of tooth structure,Replacement of large previous restorations,all of the above,B,
The advantage of using a ceramic onlay restoration vs. a cast gold onlay restoration is:,the ceramic onlay can be used in high stress areas,the ceramic onlay cementation is not technique sensitive,the ceramic onlay is softer than the opposing natural enamel,the ceramic onlay will not fatigue over a period of time,none of the above,E,
A patient states that the ceramic onlay that you placed several years ago fractured yesterday when he was chewing a piece of bread. The most probable cause of this fracture might have been:,fatigue of the ceramic,biting stresses exceeding the compressive strength of the ceramic,biting stresses exceeding the percent elongation of the ceramic,absorption of saliva by the ceramic,inadequate hardness of the ceramic,A,
How much muscular force can an average adult exert on his/her posterior teeth?,125 - 150 Mpa,125 - 150 kgs.,125 - 150 PSI,125 - 150 lbs.,125 - 150 grams,D,
In order to achieve a bond between a ceramic onlay and the natural tooth structure during cementation:,the onlay is etched with sulfuric acid and the tooth is etched with phosphoric acid,the onlay is etched with phosphoric acid and the tooth is etched with hydrofluoric acid,both the onlay and tooth are etched with phosphoric acid,both the onlay and tooth are etched with hydrofluoric acid,none of the above,E,
Contra-indications for cast gold onlays include:,high caries rate,areas of the mouth where esthetics are important,small restorations,all of the above,none of the above,D,
The major difference between a cast gold onlay preparation and a ceramic onlay preparation is:,"the internal line angles of the cast gold onlay prep are rounded, and for the ceramic they are sharp",the axio-pulpal line angle of the cast gold onlay prep is sharp,"the cavosurface margin of the cast gold onlay is a butt joint, and the ceramic cavosuface margin is beveled",the internal walls of the cast gold onlay prep are convergent,none of the above,E,
"In preparing a tooth for an onlay, the cusps are reduced by:",holding the bur horizontally,holding the bur vertically,holding the bur at the same angle as the inner and outer slopes of the cusps,using the flat end of the 847.31.18 diamond,using the pear shaped carbide bur,C,
The non-working side shelf is a characteristic of which type of preparation?,the ceramic inlay prep,the ceramic onlay prep,the cast gold inlay prep,the cast gold onlay prep,all of the above,B,
A provisional restoration is fabricated in order to:,provide for protection of the pulp,prevent tooth movement,maintain occlusion,prevent food impaction,all of the above,E,
Retention of a ceramic inlay or onlay restoration is derived from:,parallelism of the internal walls of the preparation,convergence of the axial wall of the preparation,slots and grooves in the pulpal and gingival floor of the preparation,the cementation procedure,all of the above,D,
A patient comes to your office with a large area of decay on the occlusal and interproximal surfaces of tooth #31. Upon further examination you notice that the patient grinds his teeth causing a significant amount of occlusal wear on all the posterior teeth. The patient also has a high caries rate (many untreated areas of decay). What would be the best permanent restoration for tooth #31?,composite,amalgam,gold onlay,ceramic onlay,glass ionomer,B,
