title,Oral Radiology Final Exam (Fall 2020),oralrad,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Each of the following is a purpose of quality assurance EXCEPT for one. Which is the EXCEPTION?,Minimize radiation dose,Optimize image quality,Optimize diagnostic yield,Patient education,,D,
How frequently should the x-ray machines be calibrated?,Weekly,Monthly,Annually,Semi-annually,,C,
Monitors used for viewing radiographs should ideally NOT face a window or bright light source.,True,False,,,,A,
A patient has the bitewing radiograph below taken to evaluate his molars. Which of the following is the BEST description of the radiolucent entity pointed to by the black arrow?,Incipient caries,Dental caries,Root caries,Cervical burnout,,B,images/oralrad-final-fall-2020/fig4.jpeg
The RADIOLUCENT border surrounding tooth #20 is known as the ________?,PDL space,Lamina dura,Enamel,Dentin,,A,images/oralrad-final-fall-2020/fig5.jpeg
Teeth #24 and #25 are asymptomatic and vital. Which of the following is the MOST LIKELY diagnosis?,Mental foramen,Periapical lesion,Cemento-osseous dysplasia,Cervical burnout,,C,images/oralrad-final-fall-2020/fig6.jpeg
Which of the following is the MOST LIKELY diagnosis of the radiolucency apical to #7?,Incipient caries,Lateral radicular cyst,Apical periodontitis,Periapical scar,,C,images/oralrad-final-fall-2020/fig7.jpeg
Which of the following is the most significant error in technique is present in the panoramic radiograph below?,Head rotated left,Head rotated right,Chin up,Chin down,,D,images/oralrad-final-fall-2020/fig8.jpeg
Which of the following is the most significant error in technique is present in the panoramic radiograph below?,Motion artifact,Head rotated right,Beam-hardening artifacts,Overexposure,,A,images/oralrad-final-fall-2020/fig9.jpeg
Which is the anatomical structure outlined by red?,Right Mandibular condyle,Right maxillary sinus,Right Pterygomaxillary fissure,Right Inferior nasal concha,,D,images/oralrad-final-fall-2020/fig10.jpeg
Ghost images normally project on the film as:,"Reduced in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the same side of the image","Reduced in size, superior, and on the same side of the image",,B,
"When taking a panoramic radiograph, which part of the patient’s head is imaged first?",Right,Left,Superior,Inferior,,B,
Which of the following is an ADVANTAGE of panoramic radiography?,Many overlapping structures,Low spatial resolution,Low patient dose,All of the answer choices are advantages,,C,
Which of the following is the most significant error in technique is present in the panoramic radiograph below?,Head rotated left,Head tilted right,Chin up,Patient movement,,A,images/oralrad-final-fall-2020/fig14.jpeg
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral cephalometric radiograph,Posterior-anterior radiograph,,C,images/oralrad-final-fall-2020/fig15.jpeg
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral oblique radiograph,Reverse-Towne radiograph,,D,images/oralrad-final-fall-2020/fig16.jpeg
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral cephalometric radiograph,Posterior-anterior radiograph,,B,images/oralrad-final-fall-2020/fig17.jpeg
Which of the following radiographs would be BEST to evaluate the maxillary sinuses?,Bitewing radiograph,Reverse-Towne radiograph,Lateral oblique radiograph,Waters view radiograph,,D,
CBCTs are better at evaluating hard tissues than soft tissues.,True,False,,,,A,
The dark/hypodense area on this CBCT deep to the restoration on tooth #3 does NOT show on a bitewing radiograph. This dark/hypodense area is most likely:,Beam-hardening artifact,Dental caries,Osteomyelitis,Periodontal bone loss,,A,images/oralrad-final-fall-2020/fig20.jpeg
Which of the following is NOT a typical use of a CBCT?,3D Implant planning,Routine screening for interproximal caries,Evaluation of a tooth for a fracture,Evaluation of the temporomandibular joints,,B,
The keyboard and mouse should be covered with plastic barriers when taking intraoral radiographs.,True,False,,,,A,
The lead apron should NOT be wiped down since the chemicals will erode the protective layer.,True,False,,,,B,
Which of the following is NOT a material in radiology that requires special waste management?,Silver from the fixer solution,Lead foil found in film packets,Barriers covering the chair,,,C,
Universal precautions dictate that we should:,Treat all human blood and certain human body fluids as if they were known to be infectious,Use extra barriers when treating patients with known infectious diseases,Treat saliva but not blood as potentially infectious,Treat blood but not saliva as potentially infectious,,A,
Which is the following statements is FALSE?,Many pediatric patients experience less discomfort than adult patients,Many pediatric patients have trouble sitting still,Many pediatric patients need to be yelled at to make them behave properly,Many pediatric patients require behavior management,,C,
Patients have the right to refuse a radiographic examination.,True,False,,,,A,
Which of the following is NOT a technique in our arsenal to deal with a misbehaving/fearful/anxious patient?,Papoose board,Ignore their fears and complete the procedure quickly,Tell-show-do,Anti-anxiety medication,,B,
What is the typical shape of interproximal dental caries in the enamel layer?,"Triangular, with a point at the DEJ","Triangular, with a point at the surface of the enamel","Rectangular, with the long side towards the DEJ","Crescent-shaped, following the CEJ",,A,
"Once dental caries has penetrated the DEJ and entered the dentin, the caries spreads:",in a narrow line,back through the enamel,straight towards to pulp,in all directions throughout the dentin,,D,
Which of the following clinical situations is MOST like to result in in root caries?,Xerostomia,Periapical lucency / apical periodontitis,Generalized calculus,Mesiodens,,A,
Which of the following is the BEST definition of osteomyelitis?,Infection of the bone,A fractured bone,Damaged muscle tissue,Large dose of radiation to the bone,,A,
Periodontal bone loss can be noted on BOTH intraoral radiographs and CBCT:,True,False,,,,A,
"When evaluating for alveolar bone loss, one should look to see if the bone level is more than 1.0 to 2.0 apical to the ___________.",dentinoenamel junction,cementoenamel junction,root apex,interproximal height of contours,,B,
Incipient periodontal bone loss can be detected by noting:,Loss of crestal cortication,Horizontal bone loss,Vertical bone loss,Calculus formation,,A,
"The presence of a mesiodens, an extra tooth near the patient’s midline, is considered a form of:",Hyperdontia,Transposition,Microdontia,Dilaceration,,A,
You notice that the patient’s wisdom tooth is much smaller than expected. This is an example of:,Hyperdontia,Transposition,Microdontia,Dilaceration,,C,images/oralrad-final-fall-2020/fig37.jpeg
"When examining a patient, you notice that tooth #6 is distal to tooth #5. This is an example of:",Hyperdontia,Transposition,Microdontia,Dilaceration,,B,
"When counting a patient’s teeth, you notice that there are only three mandibular central incisors. However, one of the incisors has a clinical crown that looks like two crowns in one. Which of the following BEST explains this situation?",Fusion,Gemination,Concrescence,Macrodontia,,A,
Which of the following appears bright on radiographs and CBCT but dark on MRI?,Air,Mandibular canal,Saliva,Teeth,,D,
MRI images can allow you to visualize the location of the TMJ disc.,True,False,,,,A,
The MAIN physical property that MRI imaging relies on to produce an image is:,Gravity,Magnetism,Radiation,Fluid dynamics,,B,
"After suffering a dental concussion, the pulp chamber of the tooth may:",Increase in size,Decrease in size,Either increase in size or decrease in size,,,C,
A horizontal root fracture in the apical third of the root has a worse prognosis than a vertical root fracture.,True,False,,,,B,
Which LeFort classification indicates a separation of the face from the cranium (craniofacial disjunction)?,I,II,III,IV,,C,
What is the BEST name for an injury in which the tooth gets pushed further into its socket?,Luxation,Avulsion,Concussion,Intrusion,,D,
"Sometimes, an infection due to osteomyelitis forms a drainage pathway for pus (neutrophils). Which of the following is a proper term to describe this drainage pathway?",Fistula,Sinus Tract,Abscess,All of the answer choices are proper terms to describe the drainage pathway,,D,
Which of the following best describes the radiographic appearance of osteomyelitis?,Radiolucent,Radiopaque,Mixed radiolucent/radiopaque,Neither radiolucent nor radiopaque,,C,
It’s almost time for 2021! Your first fall semester is just about over! Feel free to choose the statement that resonates with you the most! (Note: Any answer choice to this question will give you full credit. They are all “ correct answers.”),Thank you!,I’m sick of wearing masks!,Remote learning is fun!,Good riddance to 2020!,I will miss the cats!,E,
