title,Preclinical Pediatric Dentistry Exam 2 (Spring 2022),pedo,exam2
question,option_a,option_b,option_c,option_d,correct,image
What medicament used for pulpotomies in primary teeth is known for potentially causing internal resorption?,Formocresol,Ferric sulfate,MTA,Gutta Percha,B,
Statement 1: A protective liner such as limelight is used as a thinly applied material placed on dentin in proximity to the pulp. Statement 2: A protective liner such as limelight is used as a pulpotomy medicament.,Both statements are true.,Both statements are false.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,C,
How many pulp horns are typically found in tooth J? How many pulp horns are typically found in tooth K?,3;2,3;3,2;2,2:3,A,
Which of the following materials used for pulpal therapy can cause discoloration making it a poor choice for esthetic zones?,Formocresol,Ferric Sulfate,Vitapex,MTA,D,
"Which material used for primary tooth pulpotomy has the following characteristics: Bactericidal, causes tissue fixation, exfoliation is accelerated?",Formocresol,Ferric Sulfate,MTA,Vitapex,A,
All of the following are true about apexogenesis except:,Performed on young permanent teeth,Continued root formation occurs,Root end closure is accomplished with an apical barrier such as MTA,A final restoration should be placed to avoid microleakage,C,
Tooth pain caused by eating candy that goes away quickly upon brushing has which pulpal diagnosis?,Irreversible pulpitis,Reversible pulpitis,Necrosis,Normal pulp,B,
"Which of the following are the medicaments of choice for primary teeth that are treated with a pulpotomy, that need to be maintained for more than 24 months?",MTA and limelight,Formocresol and ferric sulfate,Electrosurgical cauterization and ferric sulfate,MTA and formocresol,D,
The restoration of choice for a primary tooth with a pulpotomy is:,Stainless steel crown,Composite,Amalgam,Glass Ionomer,A,
What material are primary tooth pulpectomies often filled with?,Gutta percha,IRM,Ca(OH)2 iodoform paste (vitapex),Formocresol,C,
Statement 1: The primate space is located between teeth G and H on the maxilla. Statement 2:The primate space is located between teeth R and S on the mandible.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,C,
A flush terminal plane in the primary dentition is likely to develop into which permanent dentition occlusion?,Class II or End to End,End to End or Class I,Class I or Class III,Class II or Class III,B,
Which of the following describes the leeway space?,The space between C and D in the primary dentition,When tooth 19 tips mesially,"The difference in the combined width between K,L and M and 20, 21 and 22",The natural spacing of the primary dentition,C,
An Angle Class I occlusion in the permanent dentition is defined as:,The mesial buccal cusp of the maxillary first molar in the buccal groove of the mandibular first molar,The mesial buccal cusp of the maxillary first molar anterior to the buccal groove of the mandibular first molar,The mesial buccal cusp of the maxillary first molar posterior to the buccal groove of the mandibular first molar,The mesial buccal cusp of the mandibular first molar in the buccal groove of the maxillary first molar,A,
"If tooth J is extracted on a patient who is dental age 4, what would be the proper space maintainer?",No space maintainer is needed,Band and loop,Nance,Distal shoe,D,
What is the appropriate diagnosis for #14?,Caries,Ectopic Eruption,Root Fracture,Normal eruption,B,images/pedo-exam2-spring-2022/fig16.jpeg
Thumb or digit sucking can cause which orthodontic malformation?,Anterior open bite,Class III malocclusion,Ectopic eruption,Anterior crossbite,A,
Statement 1: Overbite is measured in millimeters. Statement 2: Overjet is measured in millimeters.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,B,
"Which type of space maintenance should an 8 year old child who prematurely loses teeth A, B and J have?",Band and loop,Lower lingual holding arch,Distal shoe,Nance,D,
Which of the following teeth would be candidates for lesion sterilization tissue repair (LSTR)?,A 7 year old with a mechanical pulp exposure on tooth K,A 6 year old with incipient caries on tooth C,A 5 year old with a necrotic tooth T,A 9 year old with a carious/ vital pulp exposure on tooth I,C,
All of the following can be used to correct a posterior cross bite except:,Quad helix,W arch,Tongue crib,Rapid palatal expander,C,
Which is the treatment of choice for tooth S on a healthy 8 year old patient with the following X-ray?,Extraction and band and loop,Extraction with no space maintenance,Pulpotomy and stainless steel crown,No treatment needed,B,images/pedo-exam2-spring-2022/fig22.jpeg
Statement 1: The nance is an example of a unilateral space maintainer. Statement 2: The nance is a space maintainer that is cemented on to the permanent maxillary molars.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,B,
The following is an example of a:,Distal shoe,Band and loop,Nance,Lower lingual holding arch,D,images/pedo-exam2-spring-2022/fig24.jpeg
The image of fingers below depicts which viral illness?,Hand foot mouth disease,Herpetic Whitlow,Herpangina,Candidiasis,B,images/pedo-exam2-spring-2022/fig25.jpeg
What common childhood illness is depicted in the photo below?,Hand foot mouth disease,Koplik spots,Herpangina,Primary herpetic gingivostomatits,C,images/pedo-exam2-spring-2022/fig26.jpeg
Statement 1: A patient with a cellulitis will always have an airway obstruction. Statement 2: A patient with a cellulitis can be given a prescription for oral antibiotics and be sent home with an ice pop.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,D,
What is the treatment of choice for tooth S and tooth T in the following X-ray?,"S- extraction, T- pulpotomy and stainless steel crown","S- pulpotomy and stainless steel crown, T- extraction",S and T- pulpotomy and stainless steel crowns,S and T- extractions,A,images/pedo-exam2-spring-2022/fig28.jpeg
What is the treatment for a 3 year old child with primary herpetic gingivostomatitis?,"Hydration, acetaminophen, magic mouthwash","Hydration, antibiotic, magic mouthwash","Hydration, nystatin, magic mouthwash","Hydration, clobetasol, magic mouthwash",A,
All of the following systemic diseases are associated with recurrent aphthous ulcers except:,Neutropenia,Gastro Esophageal Reflux Disease,Crohn's,Measles,D,
All of the following are true of candidiasis except:,It is a fungal infection,Immunosuppression and appliances can be a cause,It is treated with antibiotics,It is considered an opportunistic infection,C,
Upon seeing which of the following should you suspect sexual abuse?,Primary herpetic gingivostomatitis,Recurrent herpes lesion,Palatal hemorrhage,Koplik spots,C,
All of the following are true about mucoceles except:,They tend to recur,They require excisional biopsy of the sublingual gland,Can be tender,Is the most common lip swelling in children,B,
What drug can be prescribed for patients with recurrent herpes?,Valtrex,Amoxicillin,Nystatin,Clobetasol,A,
A patient who often gets recurrent aphtous ulcers might benefit from which amino acid supplement?,Histidine,Valine,Lysine,Arginine,C,
All of the following are examples of an appropriate retainer/ matrix band used to restore a Class II preparation in a primary molar except:,Sectional Matrix,T- band,Tofflemire,Denovo Band,C,
Which of the following statements is true regarding slot preparations?,They are indicated for small Class II lesions in primary molars,The access should include the entire occlusal surface,They should be restored with amalgam,Should always be restored with a stainless steel crown,A,
Which statement best describes the pulpal floor of an ideal Class I preparation in a primary molar?,"Convex, 1.5mm deep and parallel to the occlusal plane","Flat, 1.5mm deep and parallel to the occlusal plane","Flat, 1.25mm deep and parallel to the occlusal plane","Convex, 1.25mm deep and parallel to the occlusal plane",B,
The ideal outline form of the occlusal table of a Class I preparation of a primary molar is:,½the occlusal table,¼the occlusal table,1/3 the occlusal table,2/3 the occlusal table,C,
Statement 1: The gingival floor in an ideal Class II preparation in a primary molar is 1.5mm wide in a mesiodistal direction. Statement 2: The gingival floor in an ideal Class II preparation in a primary molar is parallel to the pulpal floor.,"The first statement is true, the second statement is false.",Both statements are true.,"The first statement is false, the second statement is true.",Both statements are false.,C,
