title,Oral Radiology Midterm Exam (Fall 2019),oralrad,midterm
question,option_a,option_b,option_c,option_d,correct,image
Decreasing the exposure time (s) will:,"Increase the number of photons generated, but not their mean energy nor their maximal energy","Increase the number of photons generated and their mean energy, but not their maximal energy","Increase the number of photons generated, their mean energy, and their maximal energy","Decrease the number of photons generated, but not their mean energy nor their maximal energy",D,
"When the distance between the anode and the patient is doubled, the amount of radiation received by the patient is:",Increased by a factor of 4,Decreased by a factor of 4,Increased by a factor of 2,Decreased by a factor of 2,B,
"Inside the X-ray generator, electrons travel from the _______ to the _______ where x-rays are created.",Cathode; anode,Anode; cathode,Focusing cup; transformer,Current selector; power supply,A,
Which of the following describes a type of interaction where an x-ray photon is absorbed and then re-released with the same energy at a new angle?,Coherent scatter,Photoelectric absorption,Compton scatter,Characteristic radiation,A,
The high voltage transformer is used to create a buildup of _______ at the cathode. These are then shot at the anode to produce _______.,X-rays; radiographs,X-rays; electrons,Electrons; x-rays,Electrons; radiographs,C,
Which of the following describes a type of interaction of electrons with the tungsten target?,Coherent scatter,Photoelectric absorption,Compton scatter,Characteristic radiation,D,
The type of radiation we utilize in dentistry is:,Particulate radiation,Electromagnetic radiation,Infrared radiation,Alpha particle radiation,B,
"As contrast decreases, the bright shades of grey become ________ and the dark shades of grey become ________.",Brighter; darker,Darker; brighter,Brighter; brighter,Darker; darker,B,
Spatial resolution is:,The physical size of a radiograph,Capacity to distinguish shades of grey,Measured in line pairs per millimeter,The file size of a digital radiograph in Mb,C,
"If the x-ray source is aimed straight at the image receptor, and the object being imaged is at an angle (not parallel to the image receptor), you should expect:",Foreshortening,Elongation,Mirrored image,Upside-down image,A,
Filtration:,Removes x-rays from all energy levels equally,Preferentially removes high energy level x-rays,Enhances the number of x-rays emitted,Preferentially removes low energy level x-rays,D,
"If you were to replace a long collimator with a short collimator (and thereby decrease the distance between the x-ray source and the patient) and kept all other exposure factors the same, the dose to the patient ________.",Increases,Decreases,Remains the same,There is no correlation between distance and patient dose,A,
"With film, as the exposure time increase, the resulting radiograph:",Becomes brighter,Becomes darker,Becomes more noisy,Becomes more quiet,B,
Image sharpness is improved by ____________ the distance between the focal spot and object and __________ the distance between the object and image receptor.,Increasing; increasing,Increasing; decreasing,Decreasing; increasing,Decreasing; decreasing,B,
One advantage of digital imaging versus film imaging is that digital:,Imaging does not require computers to process,Systems can usually adjust brightness and contrast,Components are inexpensive to replace,Systems look the same on any monitor/screen,B,
Which of the following statements is TRUE regarding digital images?,Most digital images are processed or enhanced in some way before you even see the image.,The sensors / phosphor plates must be thrown out after use.,Image enhancements are much more commonly utilized with film systems than with digital systems.,Digital image processing involves 3 different chemicals.,A,
Which of the following is an irreversible digital image enhancement?,Brighten/darken (adjust brightness),Sharpen,Pixelize,Colorize,B,
Each pixel is isolated from its neighboring pixels and is directly connected to a transistor when the ______________ is used as a digital image receptor.,Charge-coupled device (CCD),Complementary metal oxide semiconductor (CMOS),Flat panel detector,Photostimulable phosphor (PSP),B,
"The more x-rays hit the image receptor, the _______ the image is.",Brighter,Darker,More pixelated,More elongated,B,
The image receptor type that involves silver halide crystals is:,Charge-coupled device (CCD),Film,Complementary metal oxide semiconductor (CMOS),Photostimulable phosphor (PSP) plate,B,
Contrast:,Describes how bright an image is.,Is a reversible digital image enhancement.,Describes how dark an image is.,Is an irreversible image enhancement.,B,
Which of the following is NOT a guiding principle of radiation protection?,Justification,Optimization,Dose limitation,Utilize hazmat suits,D,
Which of the following theories of stochastic effects do we assume is correct to ensure the protection of our patients? This theory states that every small bit of radiation has the potential to be harmful.,Linear no-threshold model,Carcinostochastic model,Threshold model,Hormetic model,A,
Why are we typically NOT worried about deterministic effects in dental radiology?,Deterministic effects always have a probability to occur at any dose,They are the same as stochastic effects,It has already been determined whether or not they will occur,Dental doses are below any known deterministic threshold,D,
Which of the following type of cells has the least radiosensitivity?,Stem cells,Basal cells of oral mucous membranes,Salivary gland cells,Nerve tissue,D,
The cardiovascular and central nervous system symptoms after receiving a dose of greater than 50Gy will most likely result in:,Nausea and vomiting,Prodromal period,Death in less than a week,Headache,C,
Direct effects of x-rays to biological molecules typically cause the formation of ___________.,Free radicals,Alpha particles,Stable enantiomers,Water molecules,A,
The principle of ALARA means that we should:,Expose every patient to the same amount of radiation,Expose each patient to as little radiation as is reasonably achievable,Never expose a pregnant patient to x-rays,Never expose a child to x-rays,B,
The “O” in the acronym SLOB stands for:,Occlusal,On,Opposite,Over,C,
The x-ray tube head should be brought close to the patient before placing the image receptor in the patient's mouth.,This statement is always true.,This statement is sometimes true.,This statement is never true,,A,
Which of the following is NOT an indication for an occlusal radiograph?,Localize supernumerary teeth in the buccal-lingual dimension,Localize foreign bodies and salivary gland stones,Interproximal caries detection,Evaluate patients with trismus (limited jaw opening),C,
The premolar periapical projection should include the _________ half of the __________.,Distal; canine,Mesial; canine,Distal; second premolar,Mesial; second premolar,A,
"At Touro, we use the XCP instruments to hold the image receptor parallel to the tooth and directly facing the x-ray source. This technique is known as the _________ technique.",Bisecting angle,Paralleling,Occlusal,Panoramic,B,
"A full-mouth series (FMS, FMX) of radiographs does not contain _________________ radiographs.",Anterior periapical,Posterior bitewing,Anterior bitewing,Posterior periapical,C,
Which of the following intraoral projections should show both maxillary and mandibular crowns as well as the alveolar crest?,Periapical projection,Bitewing projection,CBCT projection,Panoramic projection,B,
Which of the following is the MAJOR error depicted in this radiograph?,Overexposure,Vertical misangulation,Double image,Cone cut,D,images/oralrad-midterm-fall-2019/fig36.jpeg
Which of the following is the MAJOR error depicted in this radiograph?,Horizontal misangulation,Vertical misangulation,Double image,Cone cut,C,images/oralrad-midterm-fall-2019/fig37.jpeg
Which of the following is the MAJOR error depicted in this radiograph?,Noise,Artifacting,Backwards image receptor,Cone cut,C,images/oralrad-midterm-fall-2019/fig38.jpeg
A patient with a high caries risk should have radiographs taken _____________ a patient with a low caries risk.,less often than,more often than,just as often as,not as often as,B,
"For all dental patients, radiographs must be taken at each 6-month recall.",True,False,,,B,
"A 27-year-old male patient presents to your clinic for an initial examination. The patient is a recent refugee and does not have access to his previous dental records. The patient thinks he had a “root canal” and a “filling” done four years ago at his previous dentist but does not remember which teeth. On intraoral examination, the patient's dentition appears to be in good shape. Some plaque is present, and the gingiva is mildly inflamed. What radiographs should you take at today's dental appointment?",Bitewing radiographs only,[Full mouth series] or [panoramic + selected intraoral radiographs],No radiographs today,Selected periapical radiographs only,B,
"A 72-year-old female patient presents to your clinic for comprehensive dental care. The patient denies any pain or discomfort. On intraoral examination, you see that her gingiva is a bit swollen throughout her mouth. The patient cannot remember the last time that she had dental radiographs taken, and she cannot remember the name of her previous dentist. Which of the following is the most appropriate radiographic prescription?",Take a single periapical radiograph of the tooth that hurts the most.,Take a full mouth series of radiographs.,Take only bitewing radiographs,Defer taking any radiographs until she has a pregnancy test,B,
Enamel is radiographically indistinguishable from dentin.,True,False,,,B,
The intermaxillary suture appears on intraoral periapical radiographs as a:,radiolucent line between the first and second maxillary molars,radiolucent line in the midline between the left and right maxilla,radiopaque line between the first and second maxillary molars,radiopaque line in the midline between the left and right maxilla,B,
The diagonal line indicated by the white arrows refers to what structure?,Incisive foramen,Lateral fossa,Floor of the nose,Nasolabial fold,D,images/oralrad-midterm-fall-2019/fig45.jpeg
The white arrows are pointing to which radiopaque structure?,Lamina dura,PDL space,Neurovascular bundle,Lingual canal,A,images/oralrad-midterm-fall-2019/fig46.jpeg
Which of the following structures is indicated by the black arrows?,Nasal septum,Floor of nose / hard palate,Nasal concha,Incisive foramen,B,images/oralrad-midterm-fall-2019/fig47.jpeg
Which of the following structures is indicated by the white arrows?,Mandibular canal,Mental Foramen,Mylohyoid ridge,Inferior mandibular cortex,A,images/oralrad-midterm-fall-2019/fig48.jpeg
Which of the following structures is indicated by the white arrows?,Zygomatic process of the maxilla,Floor of the orbit,Floor of the maxillary sinus,Ala of the nose,A,images/oralrad-midterm-fall-2019/fig49.jpeg
How do you feel about the ungraded clicker quizzes? Note: Full credit will be awarded for this question as long as it is answered.,I wish they were graded.,I am glad they are ungraded.,I am indifferent whether or not they are graded.,I would prefer no quizzes.,D,
