title,Orthodontics Final Exam (Spring 2018),ortho,final
question,option_a,option_b,option_c,option_d,correct,image
Which is NOT a typical approach to deal with crowding?,Extraction of bicuspids,Slenderization (IPR) of teeth,Utilization of e-space,Extraction of molars,D,
Which of the following statements regarding facial balance is false?,Extraction of bicuspids can reduce facial fullness,Race or ethnicity has no bearing on extraction of teeth for facial fullness,Incisor proclination can increase facial fullness,Slenderization of teeth alone may not improve facial fullness,B,
Which of the following is true of the curve of Spee?,Adds to crowding,Can affect the Overbite,is Levelled to achieve a flatter occlusal plane,all of the above,D,
"In spacing cases, an orthodontist should:",Close spaces anterior and posterior to the bicuspids,Never extract bicuspids,Always extract bicuspids,Leave spaces distal to the bicuspids,A,
Which of the following applies to class II div 2?,Overjet is moderate to severe,Frequently presents with an openbite,Upper lateral incisors are flared,Upper central incisors are flared,C,
A Class 2 subdivision right case will have?,"class 2 on the left, class 1 on the right","class 2 on the right, class 1 on the left",class 2 on both sides,"Class 2 on the right, class 3 on the left",B,
Which of the following is not a possible class 2 skeletal pattern?,"Maxilla protrusive, mandible retrusive","Maxilla protrusive, mandible in good position","Maxilla retrusive, mandible protrusive","Maxilla in good position, mandible retrusive",C,
Which of the following is a typical class 3 skeletal pattern?,"Maxilla Protrusive, mandible retrusive","Maxilla protrusive, mandible in good position","Maxilla retrusive, mandible protrusive","Maxilla in good position, mandible retrusive",C,
Which is not true of class 2 division 1?,Overjet is more than 2.5-3 mm,Upper central incisors are retroclined,The mesio-buccal cusp of the upper first molar is anterior (mesial) to the buccal groove ofthe lower first molar bilaterally,Class 2 division 1 cases can vary in overbite,B,
"In a typical class 2 subdivision left case, one would find the mandibular midline:",Coincident with maxillary midline,To the right of the maxillary midline,To the left of the maxillary midline,Both upper and lower midlines will be to the left,C,
An adult non -grower will respond to typical orthodontic forces,True,False,,,B,
"In a class 2 case with maxillary protrusion and the mandible in good position, extraction of upper bicuspids will:",not affect lip fullness,reduce lip fullness,increase lip incompetence,have no effect on lip incompetence,B,
Adaptive growth response in class II correction pertains to:,Maxillary changes,Mandibular symphysis changes,Condylar changes,Sutural changes,C,
which is true of pseudo Class III,patient cannot bite edge to edge,Patient can bite edge to edge,Is related to significant mandibular bone apposition,Does not have a CO/CR shift,B,
Which of the following is false?,Growth of the mandible can continue beyond maxillary growth,Genetics plays a role in growth of the mandible,Growth of the mandible stops sooner in boys than in girls,Growth of the mandible can continue into the twenties,C,
Camouflage treatment in a class III malocclusion involves,upper and lower incisor retroclination,upper and lower incisor proclination,upper incisor proclination; lower incisor retroclination,upper incisor retroclination; lower incisor proclination,C,
"The concept of ""meet to eat"" suggests that",There is a natural dental compensation for a skeletal discrepancy,Dental compensations occur only in class I cases,Class III cases will show proclination of lower incisors,Class II cases will show retroclination of lower incisors,A,
Why is it important to determine if a patient is a pseudo or true class III,Pseudo class III is a skeletal problem,True class III must be treated early because it will not relapse,True class III is a basic dental problem,none of the above,D,
Anterior crossbite of one tooth,Is a rare occurence,Should be observed and followed,Should be treated as soon as possible,Has no effect on the opposing dentition,C,
Which of the following is not an etiological factor in the development of an anterior crossbite,over-retained upper deciduous anterior tooth,early loss of an upper deciduous anterior tooth,crowded upper anterior teeth/spaced lower anterior teeth,Retroclined lower anteriors,D,
Anterior crossbite of one or more teeth can cause lower incisors to move labially off the bone,True,False,,,A,
Periodontal therapy is an important adjunct when treating an anterior crossbite of one or two teeth,True,False,,,B,
Crossbites usually appear as,anterior only,posterior only,anterior and posterior,all of the above,D,
"Posterior crossbite ""with a shift"" refers to a shift of ?",The Mandible forward,The mandibular midline to the side of the crossbite,The mandibular midline to the opposite side of the crossbite,The Maxillary midline,B,
Posterior crossbite causes a true facial asymmetry,True,False,,,B,
Posterior crossbite correction is usually done,As the first step in treatment,Midway through treatment,After braces placed and teeth aligned,Just Prior to braces removal,A,
Which of the following is true of a rapid palatal expander,Bands are placed only on the bicuspids,Palate expander is turned once per week,palate expander is turned 1-2 times per day,palate expansion is rarely ovecorrected,C,
Palate expansion occurs at the midpalatal suture,True,False,,,A,
Which of the following situations does not always require palatal expansion?,posterior crosbite with a shift,posterior crossbite without a shift,Bilateral posterior crossbite,Posterior crossbite related to a habit,B,
Surgically assisted Rapid palatal expansion is indicated in,Adolescent boys,Pre-teens,Adults,children under 9,C,
The malocclusion is best classified as:,class I division2,class 2 division 2,class 3,class 2 subdivision right,D,images/ortho-final-spring-2018/fig31.jpeg
"The overjet, at 3 , is considered:",normal,mild,moderate,severe,A,images/ortho-final-spring-2018/fig32.jpeg
The overbite would be described as :,Openbite,Shallow,Moderate,Very deep,C,images/ortho-final-spring-2018/fig33.jpeg
The crossbite present would be described as:,no crossbite,posterior crossbite with a shift,posterior crossbite without a shift,bilateral posterior crossbite,A,images/ortho-final-spring-2018/fig34.jpeg
The Incisor inclination would be described as:,"Upper incisors proclined, lower incisors retroclined",Upper and lower incisors proclined,Upper and lower incisors retroclined,"upper incisors retroclined, lower incisors proclined",C,images/ortho-final-spring-2018/fig35.jpeg
The best description of crowding in this case would be:,"Severe upper crowding, moderate lower crowding, available e-space","Mild upper crowding, mild lower crowding, no available e-space","Severe upper crowding, mild lower crowding, no available e-space","No upper crowding, moderate lower crowding, available e-space",A,images/ortho-final-spring-2018/fig36.jpeg
An e-line drawn on this patient would indicate that the lip area is,Normal for caucasian,Full for caucasian,Flat for caucasian,bimaxillary protrusive,C,images/ortho-final-spring-2018/fig37.jpeg
Which of the following is not a consideration in the treatment plan of this patient?,bicuspid extraction risks facial flattening,there is too much crowding for slenderization,Incisors should not be flared,there is e-space available,C,images/ortho-final-spring-2018/fig38.jpeg
Extraction of bicuspids to deal with crowding in this case:,risks facial flattening,is a viable treatment consideration,would be better than slenderization,all of the above,D,images/ortho-final-spring-2018/fig39.jpeg
"Expansion mesially, distally or sagitally is not a viable treatment option in this case",True,False,,,B,images/ortho-final-spring-2018/fig40.jpeg
