title,Pathomedicine Exam 1 (Fall 2017),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,correct,image
Cells respond to stress by adaptive mechanisms. All of the following are adaptive mechanisms except:,Atrophy,Hypertophy,Hyperplasia,Neoplasia,Metaplasia,D,
Changes in the epithelial cell phenotype of respiratory mucosa in smokers is an example of:,Atrophy,Hypertophy,Hyperplasia,Neoplasia,Metaplasia,E,
Karyohexis is best defined as:,Fading of basophilia seen in chromatin,Nuclear shrinkage and increased basophilia,Fragmentation of pyknotic nuclei,Accumulation of membrane products,,C,
Which of the following are seen in apoptosis?,Nuclear chromatin condensation,Formation of apoptotic bodies,Enzymatic digestion of cellular contents,A and B,A and C,D,
Which of the following scenarios is most likely to demonstrate caseous necrosis?,Fungal infection,Cerebrovascular accident,Acute pancreatitis,Tuberculosis,Polyarteritis nodosa,D,
Metabolism of carbon tetrachloride may increase production of oxygen-derived free radicals. The preceding statement is:,True,False,,,,A,
Oxygen-derived free radicals may injure cells by:,Lipid peroxidation of membranes,Fragmentation of polypeptides,Damage to DNA,All of the above,A and B only,D,
"Mr. AY is 36-year-old poorly-controlled diabetic. He has developed a sore on his left leg. Upon examination, his physician told him the sore represented gangrenous necrosis. The cause of injury in gangrenous necrosis is:",Oxygen deprivation,Infectious agent,Immunologic reaction,Aging,Chemical agent,A,
"Mr. AY is 36-year-old poorly-controlled diabetic. He has developed a sore on his left leg. Upon examination, his physician told him the sore represented gangrenous necrosis. Gangrenous necrosis is a clinical term. What is the actual pattern of necrosis?",Caseous,Liquefactive,Coagulative,Fibrinoid,Chalky,C,
"Mr. AY is 36-year-old poorly-controlled diabetic. He has developed a sore on his left leg. Upon examination, his physician told him the sore represented gangrenous necrosis. Which of the following best describes the condition of the involved tissue?",Digestion of dead cells to a liquid,Cell death with architecture preservation,Enzymatic digestion of fats with saponification,Antigen-antibody complexes deposited in arterial walls,,B,
Which of the following is not a biochemical mechanism of cell injury?,ATP depletion,Influx of calcium,Oxygen deprivation,Accumulation of reactive oxygen species,Increased permeability of cellular membranes,C,
Which of the following enzymes converts hydrogen peroxide to hypochlorite?,Superoxide dismutase,Myeloperoxidase,Endonuclease,Nitric oxide reductase,Phospholipase,B,
Which of the following does not aid in the removal of oxygen-derived free radicals?,Catalase,Carbon tetrachloride,Glutathione reductase,Beta-carotene,Superoxide dismutase,B,
Single strand breaks in DNA induced by oxygen-derived free radicals may result in all of the following except:,Cell death,Aging,Malignant transformation,Lipid peroxidation of membranes,"All of the above may result from single strand breaks in DNA induced by oxygen-derived free radicals, so there are no exceptions in the above list",D,
1. Enzymatic digestion of cellular components sets cells on the path of irreversible cell death. 2. The type of cell death in this scenario will be apoptosis.,Both sentences are true,Both sentences are false,Sentence 1 is true and sentence 2 is false,Sentence 1 is false and sentence 2 is true,,C,
Which of the following diseases are caused by misfolded proteins?,Cystic fibrosis,Tay-Sachs,Familial hypercholesterolemia,Alzheimer disease,All of the above,E,
1. P53 can arrest the cell cycle to allow time for repair of DNA damage. 2. P53 functions to induce apoptosis through increasing synthesis of Bax and Bak when DNA damage is beyond repair.,Both sentences are true,Both sentences are false,Sentence 1 is true and sentence 2 is false,Sentence 1 is false and sentence 2 is true,,A,
The presence of phosphatidylserine on the outside (outer leaflet) of the cell membrane marks a cell as apoptotic.  The preceding statement is:,True,False,,,,A,
1. Dystrophic calcification occurs in dead or dying cells. 2. Metastatic calcification occurs in normal tissues and is related to deranged calcium metabolism.,Both sentences are true,Both sentences are false,Sentence 1 is true and sentence 2 is false,Sentence 1 is false and sentence 2 is true,,A,
All of the following statements regarding telomeres are true except:,They are sequences of DNA at linear ends of chromosomes,They function to protect chromosomes from fusion,They function to protect chromosomes from degradation,They progressively lengthen with each cell division,DNA damage results when they are too short,D,
Which of the following is not included among the cardinal signs/symptoms of inflammation?,Heat,Erythema,Edema (swelling),Pain and loss of function,Cyanosis,E,
Heat and erythema in inflammation are a result of vasoconstriction. The preceding statement is:,True,False,,,,B,
Swelling in inflammation is related to increased vascular permeability. The preceding statement is:,True,False,,,,A,
Recognition of pathogens by toll-like receptors can activate transcription of:,Inflammatory mediators,Antiviral cytokines (interferons),Proteins that promote lymphocyte activation,All the above,,D,
Each of the following mediators increase vascular permeability except:,Histamine,Bradykinin,IL-1,TNF,Thromboxane A2 (TXA2),E,
1. Phospholipase A2 functions to liberate arachidonic acid from chromosomes. 2. Cortical steroid medications inhibit the activity of phospholipase A2.,Both sentences are true,Both sentences are false,Sentence 1 is true and sentence 2 is false,Sentence 1 is false and sentence 2 is true,,D,
