title,PCOD II Quiz 2 (Spring 2018),pcod2,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Calcium hydroxide liner can be used for which the following purpose(s)?,To seal the cavosurface margin,Protects the pulp from thermal insult,Used as an antibacterial agent,a and c,all of the above,C,
A glass ionomer base is used for which of the following purpose(s)?,As a thermal insulator under amalgam restorations,To protect a calcium hydroxide liner from being crushed during condensation of amalgam,To seal the cavosurface margins,a and b,all of the above,D,
IRM is used for which of the following purposes?,Temporary intracoronal restorations.,Restore function until a permanent restoration can be placed,Relieve tooth pain,b and c,all of the above,E,
The main ingredient of the liquid portion of IRM® is:,methylmethacrylate (MMA),eugenol,water,zinc acetate,none of the above,B,
The chemical reaction of the components of IRM is considered to be “autocatalytic” because:,water is a catalyst and also a product of the reaction,zinc oxide is a byproduct of the reaction,zinc eugenolate is a catalyst for the reaction,a and c,none of the above,A,
For a through and through (lingual to facial) Class III composite preparation:,the facial cavosurface margin is always beveled,the lingual cavosurface margin is always beveled,retention is placed at the gingiva-axial line angle and the incisal-axial point angle,a and c,none of the above,D,
A facial approach Class III composite preparation is used only when:,a carious lesion is visually evident from the facial view,the lingual wall is intact with no visual evidence of a carious lesion,the proximal carious lesion is only evident on a radiograph and not visually evident,a and b,all of the above,D,
Caries free individuals generally lack Streptococcus mutans.,True,False,,,,B,
Which statement(s) concerning the bacterial etiology of caries is false?,The bacterial composition of the plaque can be altered by a patient's diet.,The bacterial composition of the plaque can be altered by a reduction in a patient's saliva flow.,Streptococcus mutans appears to be acquired by children at the time that the primary teeth erupt.,Once plaque forms on the developing dentition its composition remains constant for life.,None of these statements are false.,D,
"In the enamel white spot lesion, the area of maximal mineral loss is?",At the surface of the lesion.,Below the surface of the lesion.,Uniform through the depth of the lesion.,,,B,
"In early childhood caries, which statement or statements concerning the intra-oral distribution of caries is (are) true?",The lower anterior teeth are relatively caries free since they are close to salivary gland ducts.,The lower anterior teeth tend to decay since they are close to salivary gland ducts.,The upper anterior teeth tend to decay since they are exposed to sugar-containing liquids and low saliva flow when the baby is put to bed with a bottle.,a and c,all the above,D,
Which of the following are virulence factors of Streptococcus mutans?,Ability to produce acids.,Acid tolerance.,Ability to convert sucrose into an extracellular matrix.,a and c,All the above.,E,
the liquid portion of glass ionomer is:,polyacrylic acid,phosphoric acid,sodium hydroxide,methyl methacrylate,none of the above,A,
Which of the following has the highest amount of fluoride release under acidic conditions?,compomer,composite,hybrid ionomer,glass ionomer,IRM,D,
To prepare the dentin surface for the placement of a glass ionomer:,etch the surface of the dentin with phosphoric acid to remove the smear layer and smear plugs,etch the surface of the dentin with maleic acid to remove the smear layer,use a small round bur at low speed (no water spray) to remove the smear layer,"etch the surface of the dentin with phosphoric acid to remove the smear layer, plugs, and to expose the collagen.",none of the above,B,
