title,Clinical Oral Radiology Exam 1 (Fall 2021),coralrad,exam1
question,option_a,option_b,option_c,option_d,correct,image
Which tooth has a periapical hypodense lesion?,#12,#13,#14,#15,C,images/coralrad-exam1-fall-2021/fig1.jpeg
Which tooth has the largest carious lesion?,#12,#13,#14,#15,C,images/coralrad-exam1-fall-2021/fig2.jpeg
The nasal cavity is visualized in this radiograph.,True,False,,,B,images/coralrad-exam1-fall-2021/fig3.jpeg
There is a periapical lesion in the #24/#25 region. Which of the following BEST describes the internal structure of the lesion?,Radiopaque,Radiolucent,Radiopaque surrounded by a radiolucent rim,Radiolucent surrounded by a radiopaque rim,C,images/coralrad-exam1-fall-2021/fig4.jpeg
The PDL space of #25 is still intact and visualized.,True,False,,,A,images/coralrad-exam1-fall-2021/fig5.jpeg
All of the following are visualized in this image EXCEPT one. Which is the EXCEPTION?,Calculus,Cervical burnout,Trabecular bone,Mental foramen,D,images/coralrad-exam1-fall-2021/fig6.jpeg
Calcifications are noted in the bilateral neck region. Which of the following entities should be considered in your differential diagnosis for these calcifications in the neck?,Metallic screws,Carotid calcifications,Piercings / jewelry,Ossified stylohyoid ligaments,B,images/coralrad-exam1-fall-2021/fig7.jpeg
All of the following are visualized in this image EXCEPT one. Which is the EXCEPTION?,Class V caries,Periodontal / alveolar bone loss,Hyoid bone,Crowns,A,images/coralrad-exam1-fall-2021/fig8.jpeg
Which of the following is a periapical hypodense lesion?,A,B,Neither A nor B is a periapical lesion,,B,images/coralrad-exam1-fall-2021/fig9.jpeg
Which of the following best describes this type of radiograph?,Left premolar bitewing,Right maxillary premolar periapical,Left maxillary molar periapical,Right vertical bitewing,B,images/coralrad-exam1-fall-2021/fig10.jpeg
Which of the following best describes this type of radiograph?,Left premolar bitewing,Right maxillary premolar periapical,Left maxillary molar periapical,Right vertical bitewing,A,images/coralrad-exam1-fall-2021/fig11.jpeg
Caries on tooth #20 is most likely originating from which surface?,Distal,Buccal,Mesial,Occlusal,B,images/coralrad-exam1-fall-2021/fig12.jpeg
"On the mesial of #30, just below the contact point, we see a radiolucency. This is most likely:",Caries,Cervical burnout,,,A,images/coralrad-exam1-fall-2021/fig13.jpeg
"On the distal of #30, we see a large radiolucency. This is most likely:",Caries,Cervical burnout,,,A,images/coralrad-exam1-fall-2021/fig14.jpeg
Periodontal bone loss is present in this image.,True,False,,,A,images/coralrad-exam1-fall-2021/fig15.jpeg
All of the following are present in this image EXCEPT for one. Which is the EXCEPTION?,Dental caries,Missing teeth,Ossified stylohyoid ligaments,Dense reactive bone formation,D,images/coralrad-exam1-fall-2021/fig16.jpeg
The clavicle is present in this panoramic radiograph.,True,False,,,B,images/coralrad-exam1-fall-2021/fig17.jpeg
A young patient presents with his mother for an initial dental visit. The patient's chief complaint was “tooth discoloration.” The attached panoramic radiograph is taken during the initial visit. Which of the following is striking about the patient's radiograph?,Generalized caries,Generalized periodontal bone loss,Generalized absence of pulp / root canal spaces,Generalized periapical pathology,C,images/coralrad-exam1-fall-2021/fig18.jpeg
A young patient presents with his mother for an initial dental visit. The patient's chief complaint was “tooth discoloration.” The attached panoramic radiograph is taken during the initial visit. The radiographic presentation is most consistent with:,Aggressive periodontitis,Poor oral hygiene,Dentinogenesis imperfecta,Down syndrome,C,images/coralrad-exam1-fall-2021/fig19.jpeg
All of the following are present in this radiograph EXCEPT one. Which of the following is the EXCEPTION?,Fractured teeth,Caries,Periodontal bone loss,Calculus,B,images/coralrad-exam1-fall-2021/fig20.jpeg
The radiopaque entities in the #6/#7 region and in the region superior to #10 are so radiopaque that they are probably made of metal.,The above statement is true.,The above statement is false.,,,A,images/coralrad-exam1-fall-2021/fig21.jpeg
The stylohyoid ligaments are partially ossified.,True,False,,,A,images/coralrad-exam1-fall-2021/fig22.jpeg
Which of the following best describes this type of radiograph?,Left mandibular premolar periapical,Right mandibular anterior periapical,Right mandibular canine periapical,Left mandibular vertical bitewing,C,images/coralrad-exam1-fall-2021/fig23.jpeg
All of the following are present in this radiograph EXCEPT one. Which of the following is the EXCEPTION?,Fractured teeth,Caries / open margin,Periodontal bone loss,Calculus,A,images/coralrad-exam1-fall-2021/fig24.jpeg
Which of the following is the BEST impression for the curvilinear radiopacity projected in the mandible from the #20 region to the #30 region?,Metal from a facemask,Orthodontic wire,Facial jewelry / piercings,Hardware from LeFort I surgery,A,images/coralrad-exam1-fall-2021/fig25.jpeg
