title,Removable Prosthodontics Midterm Exam (Fall 2018),rempros,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
The maxilla and mandible show similar patterns of resorption,True,False,,,,,B,
"According to the lecture given, the height of the residual ridge of the mandible is reduced by how much during the first year post extraction?",7-9mm,0.1-0.2mm,4-5mm,2-3mm,,,C,
Which of the following is true about complete dentures?,A patients' chewing capacity is greatly reduced,A common complaint of patients receiving complete maxillary denture is related to loss of eating pleasure,A maxillary complete denture is ideally retained by suction,All of the above,,,D,
The purpose of the initial impression of a denture is:,To create a trial denture for the patient,To provide diagnostic information that will lead to proper treatment planning,To create a custom tray for a final impression,b and c only,,,D,
"Before delivering a complete denture, generally how long would you inform your patient they should expect to spend adjusting to their new prosthesis?",Overnight,6-8 days,2-4 months,6 -8 weeks,,,D,
Which arch increases in radius as it resorbs?,Maxilla,Mandible,Both,Neither,,,B,
Impressions made with stock full arch trays,Can be used as final impressions for complete dentures if PVS material is used,Are ideally designed for having uniform thickness of impression material,Create impressions that have overextended borders,Have a handle design that should be mimicked in a custom tray,,,C,
Alveolar bone loss is caused by,Poorly fitting dentures,Tooth loss,Forces transmitted by well-fitting dentures,"a, b and c",a and b only,,D,
Tooth loss leads to:,Loss of vertical dimension of occlusion,Over closure of the mandible leading to a protruded mandibular position,Collapse of facial structures,A concave profile,All of the above,,E,
Angular chelitis is,Caused by loss of lip support by missing teeth,A fungal infection,Can be treated with medicine,Is identified by inflammation where the body of the mandible meets the ascending ramus,"a,b,c only",,E,
Undercuts present on a residual ridge:,Are desirable as aids in denture retention,Are not an issue as denture bases are flexible and will easily slip over and adapt to them,Can lead to sore spots and may need to be surgically removed,Should be prescribed for creation when extraction of teeth are done,b and c only,,C,
In an ideal maxillary residual ridge,"There will be freely movable, unsupported tissues in the anterior to resist forces",Keratinized tissues are present,Tuberosities are flat and low profile to allow placement of denture teeth,Is “V” shaped in cross section,,,B,
"In the edentulous maxilla, both the labial frenum and buccal frenum are made up of purely membranous tissue",True,False,,,,,B,
The buccal vestibule in the maxilla is bounded by,The buccal frenum and the retromolar pad,The labial frenum and the buccal frenum,The mid palatine raphe and the buccal frenum,None of the above,,,D,
The vibrating line is,Where the incisal edges of the maxillary anterior teeth meet the lip during “V or F” (fricative) sounds,Marks the transition from fixed to moveable tissues on the hard palate,Lies on the lower lip,a and c only,,,B,
The residual ridge on the mandibular edentulous arch is,A primary bearing area,Has very dense bone and is resistant to resorption,Is always higher than the retromolar pad,None of the above,,,D,
A custom tray is used in the creation of a final impression for a CD because:,"It is always trimmed to the correct, final borders of the CD",It captures an accurate representation of soft tissues,It allows for a rigid container for impression material,It allows for uniform thickness of impression material,All of the above except “a”,,E,
The extent of a custom tray is ideally where:,The depth of the vestibule is captured in the initial impression,Always 3mm from the crest of the ridge,Where the fixed tissues end and the unattached tissues start,The borders are of the patients previous denture,,,C,
A wax shim is used in a custom tray to allow for a uniform thickness of impression material,True,False,A wax shim is never indicated in a custom tray,,,,A,
The handle of a custom tray:,Is made so it does not interfere with proper border molding,Should come straight out of the tray to mimic the proper occlusal plane,Should be applied after the initial curing of the tray,None of the above,,,A,
Border molding a custom tray:,Is only necessary when your initial impression is inaccurate,Allows the capture of the patients' soft tissues at rest,Allows for the dentures to be displaced during function therefore minimizing the chances of transmission of excessive force to the underlying tissues,None of the above,,,D,
Which of the following is not a function of border molding:,Retention,Stability,Support,Esthetics,All of the above,,E,
A patient with dry mouth syndrome is more likely to experience which of the following;,Increased retention of a mandibular denture,Decreased likelihood of sore spots,Decreased suction of the upper denture,None of the above,,,C,
The thickness of the disto-buccal flange of the maxillary denture is dependent upon,The passage of the condyle during translation,The passage of the coronoid process during opening and closing,The presence of tori in the palate,The anatomy of the posterior denture teeth selected,All of the above,,B,
The retromolar pad is important for which of the following?,Helps determine Campers Line,Is a primary stress bearing area,Determines the placement of the occlusal plane,Indicates the posterior extent of the mandibular denture,"b, c and d only","a, b, c and d",E,
"You deliver a new lower denture and the patient returns with the complaint of a sore throat, the likely cause is you failing to properly capture:",The hamular frenum,The lingual frenum,The mylohoid muscle,The masseter muscle,"It has nothing to do with the denture, refer the patient to an ENT",,C,
"The mandible, due to its arc form, has significantly greater area for support for a denture base than the maxilla",True,False,,,,,B,
"Anatomically, a denture bearing area that exhibits thick keratinized tissues and underlying cortical bone would be considered a candidate for",Relief area due to high resorption risk,Secondary stress bearing area,Primary stress bearing area,Avoidance in covering during border molding,,,C,
A patient presents with severe mandibular resorption. Which anatomic structure(s) would you be specifically concerned with versus a patient with a well formed ridge?,The retro-mylohyoid ridge,The genial tubercle,The mental foramen,All the above,b and c only,,E,
The flat area surrounding your captured intaglio surface on a master cast is referred to as:,The buccal borders,The landing area,The posterior seal,None of the above,,,D,
A properly poured and trimmed master cast should have what depth of vestibule preserved?,7- 10 mm,0 mm,2-3 mm,4-6 mm,,,C,
Occlusal rims are used for which of the following?,Centric relation position,Vertical dimension of occlusion,Arch form,Denture teeth selection,All the above,,E,
The difference between the vertical dimension of rest and the vertical dimension of occlusion is:,"None, they are coincident as a patient's teeth should be in light contact at rest",Allows for proper speech,"Is always a static, repeatable dimension",All of the above,,,B,
What is commonly used to record Camper's Line during the jaw relations appointment?,A wolf plane,The clear ruler,A fox plane,Where the buses line up for summer camp,,,C,
"When viewed from the front, a properly contoured maxillary rim:",Is parallel to the patient's ears,Is parallel to the patients interpupillary line,Shows 1-2m of wax when the patient is at rest,Touches the lower lip when the patient is counting from 50-60,"b, c, and d only",,E,
What class of articulator do you use in lab?,Class IV,Class I,Class III,Class II,,,C,
A semi-adjustable articulator can record the total pathway of movement of a patient's jaws,True,False,,,,,B,
A facebow transfer is used to:,Transfer the spatial relationship of the maxilla to the articulator,Allow for the transfer of proper arc of closure of the patient to the articulator,Allow for altering a patients VDO,All the above,a and c only,,D,
The 18 and 22mm markings on the clear ruler indicate:,The expected width of a central incisor,The length of a canine,The respective height of an ideal mandibular and maxillary occlusal rim,None of the above,,,C,
The second number of the mold (i.e. 22E) on a mold card by Dentslply indicates what?,The height of the central incisor,The width of the six anterior teeth on a flat surface,The facial form of the patient,The proportion of the tooth and facial contour of the patient,,,D,
When setting maxillary anterior teeth;,The central incisor should have its incisal edge slightly below the occlusal plane,The cervical neck of the canine should be placed palatally,The incisal edge of the lateral should be 1mm above the occlusal plane,The six incisors should all have their long axis perpendicular to the occlusal plane,,,C,
The maxillary canines position,is independent of the posterior teeth,Transitions from the anterior to the posterior setup,Is indicated by the height of the lip,Has a mesial inclination,,,B,
The distal half of the maxillary canine's incisal edge lies along,The buccal cusps of the maxillary premolars,The lingual cusps of the opposing premolars',The central groove of the maxillary posterior teeth,All the above,,,C,
"In an ideal denture setup, anterior teeth should:",Have no vertical overlap,Should be in distinct contact with their opposing',Should be just out of contact,Have no bearing on anterior guidance,,,C,
"When setting maxillary posterior teeth on a denture, all buccal cusps should be in contact with the flat occlusal plane",True,False,,,,,B,
