title,Fixed Prosthodontics Quiz 7 (Fall 2018),fixedpros,quiz
question,option_a,option_b,option_c,option_d,correct,image
"When describing the Picket Fence Diagram of Class I Occlusion, P2 describes:",Protrusive Movement,Pontic Shape,Curve of Spee,None of the above,D,
Laterotrusion describes condylar movement of the Non-Working side:,True,False,,,B,
When there is loss of both ridge height and ridge width the ridge deformity is described as:,Class I,Class II,Class III,Class IV,C,
Saddle pontics are often not used because of their CONVEX tissue surface contact:,True,False,,,B,
The horizontal overlap of anterior teeth is known as overbite:,True,False,,,B,
Ideal pontic design involves the interrelationship of these factors:,Biologic,Mechanical,Esthetic,All of the above,D,
Centric Relation is dependent and tooth contact:,True,False,,,B,
The most common ridge deformity is a Class II ridge deformity:,True,False,,,B,
One of the purposes of the Curve of Spee is to insure the posterior teeth disclude during protrusive movement:,True,False,,,A,
Pontics should ONLY be in contact with unkeratinized gingival mucosa:,True,False,,,B,
Heavy contact on the edentulous ridge deformity is the goal of good pontic design:,True,False,,,B,
