title,Oral Radiology Final Exam (Fall 2022),oralrad,final
question,option_a,option_b,option_c,option_d,correct,image
Which of the following quality assurance tasks are recommended to be performed DAILY?,Inspect the testing phantoms,Calibrate the x-ray machine,Examine the phosphor plates or sensors for physical damage,Update the radiology log,D,
"Which of the following is measured by a stepwedge phantom, which looks like a staircase?",Line pairs per millimeter,Field of view,Contrast,Spatial resolution,C,
Which of the following is the MOST important reason for lead aprons to be stored properly on a hangar?,To ensure the operatory appears organized,Folding the lead apron is less hygienic than hanging them up,Creases can damage the leaded protective layer,Lead aprons need to be aired out so they don't discolor,C,
Dental caries can eventually lead to all of the following EXCEPT one. Which of the following is the EXCEPTION?,Periapical cyst,Cemento-osseous dysplasia,Lateral radicular cyst,"Periapical scar, after root canal",B,
"Since the PDL space is connected to the periapical radiolucency, tooth #7 most likely has a periapical cyst or periapical granuloma.",True,False,,,A,images/oralrad-final-fall-2022/fig5.jpeg
"Which of the following is essentially the same thing as a periapical cyst, except it comes out of the side of the root?",Lateral radicular cyst,Lateral periodontal cyst,Hypercementosis,Dentinogenesis imperfecta,A,
Apical periodontitis and periodontal disease refer to the same disease: a radiolucent circle around the apex of a tooth.,True,False,,,B,
Which of the following is the most significant error in technique present in the panoramic radiograph below?,Chin far up,Patient is wearing jewelry,Motion artifact,Head is rotated,D,images/oralrad-final-fall-2022/fig8.jpeg
Which of the following is the most significant error in technique present in the panoramic radiograph below?,Motion artifact throughout the scan,Motion artifact at the end of the scan,Chin way down,Double image,A,images/oralrad-final-fall-2022/fig9.jpeg
Which is the anatomical structure outlined by red?,Floor of the maxillary sinuses,Floor of the orbits,Floor of the nose,Zygomatic processes of the maxilla,B,images/oralrad-final-fall-2022/fig10.jpeg
Ghost images normally project on the film as:,"Reduced in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the same side of the image","Reduced in size, superior, and on the same side of the image",B,
Which is the anatomical structure outlined by red?,Right maxillary sinus,Inferior nasal concha,Spinal vertebral body,Mandibular condyle,B,images/oralrad-final-fall-2022/fig12.jpeg
Which of the following is an ADVANTAGE of panoramic radiography?,Patient does not need to open wide,Capturing the facial bones and teeth in one image,Low patient dose,All of the answer choices are advantages,D,
Which is the anatomical structure outlined by red?,Incisive foramina,Lingual canals,Mandibular canals,Mental foramina,C,images/oralrad-final-fall-2022/fig14.jpeg
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral cephalometric radiograph,Posterior-anterior radiograph,A,images/oralrad-final-fall-2022/fig15.jpeg
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral oblique radiograph,Reverse-Towne radiograph,D,images/oralrad-final-fall-2022/fig16.jpeg
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral cephalometric radiograph,Posterior-anterior radiograph,B,images/oralrad-final-fall-2022/fig17.jpeg
Which of the following radiographs would be BEST to evaluate the nasal bones and soft tissue outline of the nose?,Lateral cephalometric radiograph,Reverse-Towne radiograph,Lateral oblique radiograph,Waters view radiograph,A,
Periodontal disease can be seen on a CBCT.,True,False,,,A,
The dark/hypodense area on this CBCT deep to the restoration on tooth #3 does NOT show on a bitewing radiograph. This dark/hypodense area is most likely:,Beam-hardening artifact,Dental caries,Osteomyelitis,Periodontal bone loss,A,images/oralrad-final-fall-2022/fig20.jpeg
Which of the following is NOT a typical use of a CBCT?,Pre-operative evaluation of wisdom tooth prior to extraction,Initial dental records,Evaluation of a tooth for a fracture,Evaluation of the temporomandibular joints,B,
The lead apron does not need to be wiped down because it only touches the patient's clothes.,True,False,,,B,
"A digital sensor should be wiped down, even though it will be covered by a plastic barrier.",True,False,,,A,
Which of the following is NOT a material in radiology that requires special waste management?,Silver from the fixer solution,Lead foil found in film packets,Barriers covering the keyboard and mouse,,C,
Universal precautions dictate that we should:,Treat all human blood and certain human body fluids as if they were known to be infectious,Use extra barriers when treating patients with known infectious diseases,Treat saliva but not blood as potentially infectious,Treat blood but not saliva as potentially infectious,A,
"Oral anti-anxiety medications, such as benzodiazepines, are most commonly prescribed to be taken when?",In the middle of the procedure if anxiety starts,Immediately after the procedure to calm down more quickly,The night before to sleep well before the appointment,The week before to sleep well before the appointment,C,
Patients with motor dysfunction usually have cognitive dysfunction as well.,True,False,,,B,
Which of the following is NOT a technique in our arsenal to deal with a misbehaving/fearful/anxious patient?,Papoose board (MIPS),Mouth prop,Tell-show-do,Threaten with a punishment,D,
What is the typical shape of interproximal caries in the enamel layer?,"Triangular, with a point at the DEJ","Triangular, with a point at the surface of the enamel","Rectangular, with the long side towards the DEJ","Crescent-shaped, following the CEJ",A,
Which of the following terms BEST describes caries located adjacent to a previously-placed restoration?,Kissing caries,Enamel caries,Root caries,Recurrent caries,D,
Which of the following clinical situations is MOST likely to contribute to root caries?,Periodontal bone loss,Periapical lucency / apical periodontitis,Buccal caries,Impacted tooth,A,
"Beam hardening artifacts, which can mimic caries, are sometimes present on bitewing radiographs.",True,False,,,B,
"Aggressive periodontitis tends to be localized to the first molar and incisor regions. Additionally, the large amount of bone loss:",is accompanied by a large amount of plaque,has surprisingly little plaque present,is accompanied by dental caries,regrows after a few years,B,
"When evaluating for alveolar bone loss, one should look to see if the bone level is more than 1.0 to 2.0 apical to the ___________.",dentinoenamel junction,cementoenamel junction,root apex,interproximal height of contours,B,
Dense reactive bone formation can occur either in response to periapical pathology or in response to periodontal disease.,True,False,,,A,
A molar with a large pulp chamber and a furcation that is located more apical than usual is an example of:,Transposition,Taurodontism,Microdontia,Hyperdontia,B,
A mesiodens is a type of:,Hyperdontia,Transposition,Taurodontism,Dilaceration,A,
"When examining a patient, you notice that all of the patient's teeth have bulbous crowns, small or absent pulp chambers, and shortened roots. This patient most likely has:",Dens invaginatus,Regional odontodysplasia,Amelogenesis imperfecta,Dentinogenesis imperfecta,D,images/oralrad-final-fall-2022/fig38.jpeg
"When counting a patient's teeth, you count only three mandibular incisors. However, one of the incisors has a clinical crown that looks like two crowns in one. Which of the following BEST explains this situation?",Fusion,Gemination,Concrescence,Macrodontia,A,
