title,Removable Prosthodontics Midterm Exam (Spring 2023),rempros,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
In the photo above the arrow points to what plane?,Occlusal Plane,Camper's Plane,Frankfort Horizontal Plane,Medline Plane,,B,images/rempros-midterm-spring-2023/fig1.jpeg
What is the function of the Orbicularis Oris muscle?,Pulls the corner of mouth superiorly and laterally,Acts as an oral sphincter,Depresses the mandible,Elevates the mandible,,B,
In the photo above the yellow arrow points to what anatomical structure?,Buccal Sulcus,Crest of alveolar ridge,Hamular notch,Fovea Palatinae,,C,images/rempros-midterm-spring-2023/fig3.jpeg
In the photo above the red arrow points to what surface?,Intaglio surface,Cameo surface,Impression surface,Polished surface,B and D only,E,images/rempros-midterm-spring-2023/fig4.jpeg
A patient with maxillary and mandibular complete dentures presents with angular cheilitis. A review of the recent medical history revealed that vitamin deficiency is not a factor. A possible predisposing factor is ____.,Excessive vertical dimension of occlusion,A closed or insufficient vertical dimension of occlusion,Improper balance of the occlusion,Poor contour of the denture base,,B,
"__________ is a form of denture occlusion which articulates the maxillary lingual cusps with the mandibular occlusal surfaces in centric occlusion, working and nonworking mandibular positions.",Monoplane Occlusion,Lingualized Occlusion,Clear Occlusion,None of the above,,B,
"The more keratinized attached mucosa available on the denture bearing surfaces, the better the support.",True,False,,,,A,
"The improvement of the alveolar bone by surgical reshaping or removal of sharp, spiny, or extremely irregular ridges is:",Frenectomy,Hypermobile Ridge removable,Combination Syndrome,Alveoloplasty,,D,
Why should you place holes in a maxillary custom tray with a slow speed hand-piece and a #6 round bur?,To allow release of hydraulic pressure.,To minimize displacement of movable tissues during the impression.,All of the above,None of the above,,C,
Why should there be 2 mm of space for border molding of the peripheries between the edge of the tray and the height of the vestibule?,To correct the discrepancy,To optimize the retention,To compensate the shrinkage,To remove the excess,,B,
Compound material that has been properly molded will have a _________ appearance due to contact with the tissue.,Glossy,Matte,Colorless,Chalky,,B,
Border mold the anterior labial frenum by pulling the lip _____ and straight ______ in an exaggerated fashion.,Inward- Buccally,Outward - Downward,Palatal - Buccally,Inward - Outward,,B,
The ______ should be narrow and distinct with impression compound.,Lingual frenum,Buccal frenum,Labial frenum,Palatal frenum,,C,
Which of the following statements is true concerning vertical dimension of rest (VDR)?,VDR is a physiologic rest position.,VDR is a position of the mandible when opening and closing muscles are at rest.,VDR is a postural relationship of the mandible to maxilla.,VDR is the amount of jaw separation controlled by jaw muscles when they are in a relaxed state.,All of the above,E,
The posterior buccal aspect of the mandibular impression compound should be molded to allow activity of the_______,Retromolar pad,Masseter Muscle,Mylohyoid space,Lingual sulcus,,B,
Border molding ______ normally extend beyond the external oblique ridge?,Should not,Should,,,,A,
Which line represents the proper extension of the disto-lingual border of the mandibular complete denture?,Red,Blue,A &B,None of the above,,B,images/rempros-midterm-spring-2023/fig17.jpeg
What is the purpose of posterior palatal seal?,Compensates for polymerization shrinkage and distortion from the palate.,Enhances retention.,A &B,None of the above,,C,
