title,Preclinical Pediatric Dentistry Exam 2 (Spring 2023),pedo,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Primary teeth that receive a pulpectomy should be filled with gutta percha.,True,False,,,,,B,
All of the following are important when evaluating a primary tooth in order to determine its pulp status except:,Location and duration of pain,Radiographic findings,Findings from the electric pulp and thermal testing,Clinical findings,,,C,
"Teeth exhibiting provoked pain of short duration relieved with analgesics, by brushing or upon the removal of the stimulus, without an abscess or furcation involvement, have a diagnosis of:",Reversible pulpitis,Irreversible pulpitis,Necrotic Pulp,None of the above,,,A,
"Statement 1: Stainless steel crowns are the restoration of choice for a primary molar with a pulpotomy because it creates a great biological seal. Statement 2: When performing an indirect pulp cap, the restoration and seal do not matter.",The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,,,A,
Statement 1: MTA or formocresol are recommended as the medicament of choice for primary teeth expected to be retained for over 24 months. Statement 2: MTA is the pulpal medicament of choice for esthetic zones.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,,,A,
Which of the following is true regarding formocresol as a pulpal medicament?,Exfoliation of primary teeth is delayed.,A cotton pellet saturated with formocresol should be left in the pulp chamber indefinitely and then restored with a Stainless steel crown (SSC),Is bactericidal,All of the above are true,,,C,
Which of the following is true when considering extraction of a primary tooth?,Tooth must have an abscess and furcation involvement in order to consider extraction,Non-restorable teeth should be extracted rather than be treated with a pulpotomy,Carious teeth close to exfoliation should always be extracted,Any primary tooth with pain should be extracted,,,B,
Please refer to the following X-Ray for the next 2 questions. Which of the following teeth needs to be extracted?,A,T,I,B,,,D,images/pedo-exam2-spring-2023/fig8.jpeg
Please refer to the following X-Ray for the next 2 questions. What space maintainer is indicated in the Xray above after the tooth is extracted?,Distal shoe,Band and loop,Lower lingual holding arch,No space maintenance necessary,,,B,images/pedo-exam2-spring-2023/fig9.jpeg
"In immature permanent teeth, inflamed pulp tissue beneath an exposure is removed to a depth of 1-3mm or deeper to reach healthy pulp tissue. It is then irrigated with a bactericidal agent before placing MTA. After MTA, a layer of light cured RMGI is placed and then a final restoration is placed. This is performed to enable the roots to continue to develop. This procedure is called:",Apexification,Traditional root canal therapy,Formocresol pulpotomy,Apexogenesis,,,D,
What are the treatments of choice for the mandibular teeth depicted in the radiograph below?,"19- pulpotomy and SSC, K- extract, space maintainer","K- pulpotomy and SSC, L- extract, space maintainer","K- pulpotomy and SSC, L- pulpotomy and SSC, no space maintainer necessary","K- pulpotomy and SSC, L- extract, no space maintainer necessary",,,B,images/pedo-exam2-spring-2023/fig11.jpeg
The 9 year old patient with the X-rays below will be getting tooth T extracted. What would be the ideal space maintainer recommended for this patient?,Distal shoe,Band and loop,Lower lingual holding arch,Nance,,,C,images/pedo-exam2-spring-2023/fig12.jpeg
"In a typical patient, at what age should a panoramic X-Ray be taken for the first time?","Between ages 2 and 3, when all of the primary teeth have erupted","Between ages 12 and 13, after all the primary teeth have exfoliated","Between ages 8 and 9, when the child has 4 permanent first molars and 6-8 permanent incisors",Between ages 17 and 18 to evaluate for presence and position of wisdom teeth,,,C,
"Based on the following radiograph, which of the following is the best treatment option?",Tooth T needs to be extracted and a band and loop needs to be placed,Tooth S needs to be extracted and a band and loop needs to be placed,Tooth S needs to be extracted and a distal shoe needs to be placed,Tooth T needs to be extracted and a distal shoe needs to be placed,,,B,images/pedo-exam2-spring-2023/fig14.jpeg
A child with a thumb sucking habit may be more likely to develop which type of malocclusion?,Anterior crossbite,Mesial tipping of the molar,Deep bite,Anterior open bite,,,D,
Statement 1: Overjet is a horizontal measurement and measured in millimeters. Statement 2: Overbite is a vertical measurement and meaured in millimeters.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,,,A,
It is important to reinforce excellent oral hygiene while patients are in active orthodontic treatment because:,They may develop white spot lesions on their teeth,They may develop gingivitis and gingival overgrowth,Both of the above,None of the above,,,C,
Statement 1: Premolars erupt after the permanent canine on the maxilla. Statement 2: Premolars erupt after the permanent canine on the mandible.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,,,B,
Space maintainers are important because:,They actively move teeth so that we can gain space,They are usually not necessary,They help children maintain optimal oral hygiene,They passively hold space when teeth are prematurely extracted,,,D,
Statement 1: Primary molars are wider (mesio- distally) than premolars. Statement 2: The difference between primary molars and primary canines and their permanent successors is called the leeway space.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,,,C,
"As a mandated reporter, you are only required to have reasonable cause of child abuse or neglect to call the statewide central registry (SCR) and make a report.",True,False,,,,,A,
"Bruises on a child's back, forehead and lower arm are all suspicious bruising areas.",True,False,,,,,B,
The oral cavity may be the central focus for physical abuse because of its significance in communication and nutrition.,True,False,,,,,A,
"If a child is in imminent danger of serious physical injury, you must first call the statewide central registry (SCR) to make a formal report and they will contact the police.",True,False,,,,,B,
Bruising in an elliptical or ovoid pattern is indicative of:,Battle bruise,Sexual abuse,Bite marks,Primary herpetic gingivostomatits,,,C,
"As taught in Pediatrics sim lab, which bur is used to prepare a Class I on a primary molar?",330,556,Pointed white stone,#8 round bur,,,A,
The ideal outline form for a Class l on a primary molar should be kept within  _____ of the occlusal table.,1/3,1/4,1/2,1/5,,,A,
Which of the following is/are true regarding the pulpal floor of a Class I preparation on a primary molar?,Flat,Parallel to the occlusal plane,1.5mm deep,All of the above,,,D,
A 4-year-old presents to your office with the following lip lesion. The patient is afebrile and does not have any other symptoms. Mom states that the patient and his 6 year old brother were wrestling the day before. What is your diagnosis and treatment?,Measles; supportive therapy such as ice pops,Traumatic ulcer; supportive therapy such as ice pops,Abscess; Amoxicillin,Candidiasis; Nystatin,,,B,images/pedo-exam2-spring-2023/fig29.jpeg
"In which of the following conditions can the tongue and floor of the mouth become elevated, leaving the patient with an obstructed airway and making swallowing impossible?",Canine space infection,Mucocele,Riga Fede,Ludwig's Angina,,,D,
Which viral illness is depicted below?,Herpangina,Measles,Primary herpetic gingivostomatis,Candidiasis,,,C,images/pedo-exam2-spring-2023/fig31.jpeg
A patient with a history of Crohn's Disease may present with which of the following oral lesions as part of their condition?,Koplik spots,Apthous like ulcers,Ludwig's Angina,Small punctate vesicles extraorally,,,B,
Herpangina is not a sexually transmitted disease.,True,False,,,,,A,
Statement 1: Koplik spots are pathognomonic for Hand Foot Mouth disease. Statement 2: Koplik spots usually present 24-48 hours before the epidermal rash appears.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,,,B,
Which of the following is true about cellulitis:,"Patient may have warm, painful tissues",Patient may have a headache and be lethargic,Source of infection should be managed along with antibiotics,All of the above are true.,,,D,
A 7 year old child presents with a palatal hemmorhage. You should suspect:,Child Abuse,Primary herpetic gingivostomatitis,Herpangina,Ranula,,,A,
Which of the following is true about BOTH herpangina AND primary herpetic gingivostomatitis?,"Vesicles are located on the palate, uvula and tonsils",Are self limiting and supportive care is necessary,Are bacterial in origin,Extra-oral symptoms are pathognomonic for the condition,,,B,
The following is a picture of:,A traumatic ulcer,Hand foot mouth disease,A mucocele,A buccal space infection,,,C,images/pedo-exam2-spring-2023/fig38.jpeg
"Which statement(s) are true regarding the preparation of an ideal, primary class ll composite restoration?",The gingival floor is 1.5 mm wide in a mesiodistal direction,The gingival floor is 1.0 mm wide in a mesiodistal direction,The gingival floor is parallel to the pulpal floor,The gingival floor is divergent to pulpal floor,A and C,B and C,F,
A modified preparation on a primary molar that allows access to a small class ll lesion via a small opening in the marginal ridge is called:,Slit preparation,Slot preparation,Preventive Resin Restoration,Split preparation,,,B,
Which of the following statement(s) is/are true when preparing and restoring a primary molar for class II composite restoration:,The access to the lesions needs to be large enough to allow caries excavation,A small plugger must fit into the preparation,A matrix band is not required,A and B,A and C,B and C,D,
The buccal and lingual walls of the proximal box of a primary class ll composite preparation are parallel.,True,False,,,,,A,
The benefit(s) of the Denovo matrix band for a primary class ll composite restoration include:,they are preformed,one size fits all,eliminates the need to burnish the contact point,eliminates the use of a wedge.,A and D,A and B,A,
Statement 1: Silver Diamine Fluoride turns carious lesions black. Statement 2: It is never used in patients with anterior cavitated lesions.,The first statement is true and the second statement is false,The first statement is false and the second statement is true,Both statements are true,Both statements are false,,,A,
It is not recommended to light cure SDF after placement because:,Light curing will reduce the adhesion of resin or glass ionomer restorative materials,Light curing will cause the patient pain,Light curing causes the silver to precipitate out of the solution and does not allow adequate time for the SDF to penetrate deeper into the lesion,All of the above,,,C,
Statement 1: A cavitated lesion should be treated with varnish before SDF is applied. Statement 2: SDF is more effective for arresting caries than fluoride varnish.,The first statement is true and the second statement is false,The first statement is false and the second statement is true,Both statements are true,Both statements are false,,,B,
Which of the following situations is/ are an indication for SDF?,"sensitive, hypoplastic molar",cavitated lesions on a partially erupted molar,cavitated lesion close to or encroaching the pulp,A and B,None of the above,,D,
SDF is an effective tool in a caries management plan because it,arrests caries,prevents caries progression,increases dentinal hypersensitivity,A and C,A and B,All of the above,E,
Patients who may benefit from SDF include those:,presenting with behavioral challenges and cavitated lesions,without access to or difficulty accessing dental care,with multiple carious lesions that can't be treated in one visit,all of the above,,,D,
A protective coating of Vaseline to prevent temporary staining from SDF application is applied to the:,lips,skin,lesion,clothing,"A, B, and C",A and B,F,
Follow up for effectiveness of SDF in arresting caries may include all of the following except:,follow up visit 1 week after initial treatment,a second application of SDF,patient report of decreased sensitivity,radiographic evaluation of lesion size at recall visits,,,A,
It is necessary to excavate all carious dentin prior to SDF application if the lesion is going to be restored with glass ionomer.,True,False,,,,,B,
