title,Orthodontics Final Exam (Spring 2020),ortho,final
question,option_a,option_b,option_c,option_d,correct,image
Which is NOT a typical approach to deal with crowding?,Extraction of bicuspids,Slenderization  (IPR) of teeth,Utilization of e-space,Extraction of molars,D,
Which of the following statements regarding facial balance is false?,Extraction of four bicuspids can reduce facial fullness,Facial balance is not an important factor in treatment planning,Incisor proclination can increase facial fullness,Slenderization of teeth alone may not improve facial fullness,B,
Which of the following is true of the curve of Spee?,Adds to crowding,Can affect the Overbite,is leveled to achieve a flatter occlusal plane,all of the answer choices,D,
"in a typical class II patient, one may find, as compared to the norm:",Larger SNA,Smaller SNA,Larger SNB,Negative ANB,A,
Which of the following is not a possible class 2 skeletal pattern?,"Maxilla protrusive, mandible retrusive","Maxilla protrusive, mandible in good position","Maxilla retrusive, mandible protrusive","Maxilla in good position, mandible retrusive",C,
A Class 2 subdivision right case will have?,"class 2 on the left, class 1 on the right","class 2 on the right, class 1 on the left",class 2 on both sides,"Class 2 on the right, class 3 on the left",B,
Which of the following is a typical class 3 skeletal pattern?,"Maxilla Protrusive, mandible retrusive","Maxilla protrusive, mandible in good position","Maxilla retrusive, mandible protrusive","Maxilla in good position, mandible retrusive",C,
"The concept of ""meet to eat"" suggests that:",There is a natural dental compensation for a skeletal discrepancy,Dental compensations occur only in class I cases,Class III cases will show proclination of lower incisors,Class II cases will show retroclination of lower incisors,A,
Which is true of pseudo Class 3?,patient cannot bite edge to edge,Patient can bite edge to edge,Is related to significant mandibular bone growth,Does not have a CO/CR shift,B,
"in a typical class III patient, one may find, as compared to the norm:",Larger SNB,Smaller SNB,Larger SNA,ANB value higher than the norm,A,
"Posterior crossbite ""with a shift"" refers to a shift of ?",The Mandible forward,The mandibular midline to the side of the crossbite,The mandibular midline to the opposite side of the crossbite,The Maxillary midline,B,
Surgically assisted Rapid palatal expansion is indicated in,Adolescent boys,Girls aged 10-12,Adults,All children under 9,C,
Anterior crossbite of one tooth:,Is a rare occurence,Should be observed and followed,Should be treated as soon as possible,Has no effect on the opposing dentition,C,
Periodontal therapy is an important adjunct when treating an anterior crossbite of one or two teeth,True,False,,,B,
Which is true of anterior crossbite:,Can cause lower incisors to move labially off the bone,Can be seen in Class III patients,Can involve multiple teeth,all of the answer choices,D,
Which is true of impacted canines?,Only present in the Maxilla,Are always on the lingual side of the arch,Are best diagnosed using the “slob” rule,Are usually treated with canine exposure,D,
Which are helpful tools in diagnosing possible maxillary canine impaction?,Palpation of the ridge to feel for the unerupted canine,Baseline panoramic film at age 9,Looking for splayed maxillary laterals,all of the answer choices,D,
Camouflage treatment in a class 3 malocclusion involves:,upper and lower incisor retroclination,upper and lower incisor proclination,upper incisor proclination; lower incisor retroclination,upper incisor retroclination; lower incisor proclination,C,
Which of the following is not a fixed retainer?,Gold Chain,Lingual titanium bar,Essix Retainer,Flat titanium wire,C,
Which of the following is not part of a traditional Hawley retainer:,Clasps on the molars,Labial bow canine-to-canine for adjustment,Acrylic palate,clasps on the canines,D,
Which of the following is false?,Growth of the mandible can continue beyond maxillary growth,Genetics plays a role in growth of the mandible,Growth of the mandible stops sooner in boys than in girls,Growth of the mandible can continue into the twenties,C,
Adaptive growth response in class 2 correction pertains to:,Maxillary changes,Mandibular symphysis changes,Condylar changes,Sutural changes,C,
Which of the following applies to class II div 2?,Overjet is moderate to severe,Frequently presents with an openbite,Upper lateral incisors are flared,Upper central incisors are flared,C,
"In a class 2 case with maxillary protrusion and the mandible in good position, extraction of upper bicuspids will:",not affect upper lip fullness,reduce upper lip fullness,increase lip incompetence,have no effect on lip incompetence Case 1:,B,
Which best describes the malocclusion?,Class II Subdivision Left,Class II,Class III,Class II subdivision Right,B,images/ortho-final-spring-2020/fig25.jpeg
The overbite is considered:,Open,Normal,Impinging,Deep,B,
Incisor angulation would best be described as :,"Maxillary teeth proclined, Mandibular teeth in good position",Maxillary and Mandibular teeth severely proclined,Maxillary and Mandibular teeth retroclined,"Maxillary teeth retroclined, Mandibular teeth proclined",A,
Lower arch alignment would best be described as :,Moderate Crowding,Mild crowding,Severe crowding,Moderate spacing Case 2:,D,
Which best describes the malocclusion?,Class II Subdivision Left,Class II,Class I,Class II subdivision Right,A,
The overbite is considered:,Open,Moderate,Impinging,Deep,B,
E-line measurement shows the face to be:,Balanced for Caucasian,Full for Caucasian,Very flat for Caucasian,None of the answer choices,A,
The midline shift in this case is due to:,Class II on the left side only,Crowding,Unerupted maxillary canine,Generalized spacing,A,
"The overjet, at 4 mm, is considered:",Normal,Mild,Moderate,Severe Case 3:,B,
Which best describes the malocclusion?,Class II Subdivision Left,Class II Division 2,Class III,Class II subdivision Right,B,
The overbite is considered:,Open,Normal,Moderate,Deep,D,
Use of the e-space will help alleviate crowding in this case,True,False,,,A,
Treatment in this case would probably involve:,Further retraction of upper central incisors,maintaining current overbite,Uprighting of maxillary incisors,Ignoring possible adaptive growth response,C,
