title,Fixed Prosthodontics Final Exam (Fall 2019),fixedpros,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"When fabricating a multiple unit fixed prosthesis, which of the following is the MOST important limiting factor for success? One of these will lead to failure every time if NOT executed properly:",Esthetics,Material selection,Parallelism,Choice of finish line,All of the above,,C,
"Mrs. Bluestein is a 79 year old woman with multiple health issues. She presents with a history of uncontrolled diabetes, hypertension and rheumatoid arthritis, making it difficult for her to brush and floss. She requires replacement of many large amalgam restorations with fixed prostheses. You decide in your treatment plan that you should place restorations with the greatest marginal seal. Which of the following restorations would be most likely to succeed?",Large composite restorations,All metal crowns,All ceramic crowns,Porcelain fused to metal crowns,b and d,All of the above,E,
Mr. Rogers presents to your office with a desire to improve the appearance of his teeth. He exhibits tetracyline staining and large discolored composite restorations in most of his anterior teeth. He is worried about “drilling his teeth down too much”. You decide full coverage is indicated. Which of the following would be the best choice for him?,All metal crowns,Composite restorations,All Ceramic crowns,Porcelain laminates,"None of the above, no treatment should be done",,C,
"Mr. Fred Flintstone presents for full mouth fixed prostheses. He will have initial preps and provisionals placed, several extractions and bone grafting, periodontal surgery, reprep and reline of provisionals, implant placement and finally after 6-12 months, completion of his prostheses. The material you will choose for provisional fabrication needs to wear well and have a low polymerization shrinkage. That material is:",VPS,PMMA,INR,Bis-Acryl,,,D,
"When fabricating a post-core at TCDM, the post-core system we prefer is:",Screw post,Passive fit post system,Non-Passive post system,a and c,None of the above,,B,
"Mr. Greenjeans presents to your office for placement of a fixed prosthesis from teeth 27 to 31. 27, 29 and 31 are abutments, teeth 28 and 30 are pontics. Mr. Greenjeans is a chemical engineer and is very interested in the chemical and physical properties of the materials you have chosen. You treatment plan a porcelain fused to metal prosthesis. He questions you about what makes the porcelain adhere to the metal substructure. You tell him the MOST important factor is the____________ of the 2 materials",Mechanical retention,Oxide layer of the metal substructure,Opaque layer of the porcelain,Melting temperature of the alloy,None of the above,,B,
"Bruce Wayne is a patient of yours who is missing teeth 1,2 and 3. You treatment plan a cantilever bridge 5-4-3. The mesiodistal width of pontic 3 should ideally be:",Less than average width,Equal to average width,Greater than average width,Any of the above will succeed,,,A,
"Dr. Faustas presents to your office for crowns on teeth 2,3,14,15,18,19,30 and 31. He has had periodontal therapy and has perfect gingival health. His oral hygiene is excellent does NOT have a high smile line. Your gingival finish line should be placed:",Subgingivally,At or slightly above the free gingival margin,It makes no difference,,,,B,
"When considering the type of post system you will choose, you are aware that the Parapost system is the most likely to cause root fracture:",True,False,,,,,B,
The physical property that is MOST important when selecting an alloy porcelain system to fabricate a porcelain fused to metal crown is:,Shade,Coefficient of thermal expansion,Solubility,All of the above,,,B,
Arthur Atrium presents to your office following endodontic therapy on tooth # 12. The remaining tooth is at the level of the free gingival margin with no ferrule. The restoration which will provide the most retention and esthetics would be:,Bonded ceramic crown,Cemented ceramic crown,Porcelain fused to metal crown,None of the above will achieve the desired result,,,C,
David Longtooth returns to your office after you inserted ceramic crowns on teeth 24 and 25. He is unhappy with the incisal “edges” (line angles) on these crowns. The incisal edges of these mandibular central incisors should be:,Straight,Rectangular in shape,Perpendicular to the long axis of the tooth,a and b,All of the above,,E,
Sarah Goodheart has fractured the ml and dl cusps of tooth # 30 because of her habit of chewing ice cubes. She is concerned that the “front” (buccal) side of the tooth may fracture as well. You recommend placement of a(an)__________ because the main feature of this restoration is cuspal protection:,Pin retained amalgam,MODBL ceramic onlay,MODBL gold onlay,b and c,,,C,
You are preparing a post hole and while removing gutta percha you realize there is only 1 mm of gutta percha remaining. You should:,Proceed with post fabrication,Refill to have 2-3 mm of remaining gutta percha,You will have to extract this tooth,None of the above,,,B,
An onlay is indicated if the carious lesion extends more than 1/3 the intercuspal distance:,True,False,,,,,B,
"When discussing the wear resistance of ceramic restorations, which of the following best describes MOST wear resistance to LEAST wear resistance:",Lab processed ceramic-direct composite-indirect composite,Lab processed ceramic-indirect composite-direct composite,Direct composite-indirect composite-lab processed ceramic,,,,B,
The mandibular first premolar is wider m-d and b-l than the mandibular second premolar:,True,False,,,,,B,
The only permanent tooth where the distal contact is more occlusal than the mesial contact is:,Maxillary second premolar,Mandibular second premolar,Mandibular first premolar,Maxillary second molar,,,C,
"When using 4 pennyweight of gold, that is equivalent to",96 grains,1 ounce,3 carats,None of the above,,,A,
G.V. Black has recently become your patient. You are awed to be treating the father of preparation classification. You are preparing a post hole and you ask your dental assistant for the first rotary instrument. You should ask for:,Lentula spiral drill,Parapost yellow drill,Peeso reamer,Gates-Glidden drill,,,D,
"When you receive a casting from the lab that does NOT fit, the dentist is usually responsible for:",Casting errors,Waxing errors,Die inaccuracies,None of the above,All of the above,,D,
"You receive Mrs. Bluestein's crown back from the lab, the first thing you should check when seating the crown is the occlusion:",True,False,,,,,B,
Captain Kangaroo presents to your office for ceramic crowns teeth 23-26. When fabricating your individual provisionals the following characteristic (s) should be found:,24 and 25 have the smallest crown dimension of any tooth in the mouth,24 and 25 are wider faciolingualy then mesiodistally,23 and 26 have an incisal edge lingual to the long axis,a and c only,All of the above,,E,
The most commonly fabricated restoration presently in the United States Is the:,All metal crown,Porcelain laminate,All ceramic crown,Porcelain fused to metal crown,,,C,
When discussing “functional cusps” we are referring to the lingual cusps of mandibular molars and buccal cusps of maxillary molars:,True,False,,,,,B,
