title,Oral & Maxillofacial Surgery Final Exam (Spring 2021),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Which of the following statements about accidental tooth displacement is TRUE?,"If a tooth is displaced into the floor of the mouth, it should be left there until fibrosis occurs so it becomes easier to retrieve.","If a tooth is displaced into the infratemporal fossa, antibiotics should be prescribed only if acute infection was present prior to the extraction.",The mandibular third molar is the tooth most commonly displaced into the infratemporal fossa.,"When elevating a full-thickness flap to retrieve a tooth or root displaced into the floor of the mouth, there is a high risk of damage to the inferior alveolar nerve.",None of these statements are TRUE.,,,,E,
"You are treating your first patient in Surgery Clinic next month.  You are extracting a tooth and remember to use a throat screen as Dr. Wachs mentioned once or twice or many times…However, the throat screen is not completely blocking the pharynx and the tooth slips from your forceps and disappears into the pharynx. Consider the following statements: I. If the patient does not exhibit any symptoms, they should be told what happened and advised to contact their physician or go to an Emergency Room or Urgent Care facility if symptoms develop. II. You should turn the patient to the surgeon with their mouth facing down and ask them not to cough so the tooth does not get into their lungs. III. Chest and/or abdominal radiographs may be able to show if the tooth was aspirated or ingested.",Only I is TRUE.,Only II is TRUE.,Only III is TRUE.,Only I and II are TRUE.,Only I and III are TRUE.,Only II and III are TRUE.,"I, II, and III are TRUE.","I, II, and III are all NOT TRUE.",C,
Which of the following statements about alveolar process fractures during extractions is FALSE?,Alveolar process fractures are more likely to occur when lone-standing teeth are being extracted.,Alveolar process fractures may occur when excessive force is applied with a forceps due to inadequate prior luxation.,"When extracting the most posterior molar tooth in the maxilla, careful separation of the distal bone from the tooth can reduce the chance of a tuberosity fracture occurring.",Alveolar process fracture can result in the creation of an oro-antral communication.,Alveolar process fracture is more common in younger patients versus older patients because bone in younger patients is more elastic.,A bone fragment which results from an alveolar process fracture can be maintained if it remains attached to the soft tissue and has an adequate blood supply.,,,E,
Which of the following characteristics should be considered when assessing the degree of risk of causing an oro-antral communication when a maxillary tooth is being extracted? I. Pneumatization of the alveolus. II. Anatomy of the tooth’s roots III. Relationship of the tooth to the sinus.,Only I.,Only II.,Only III.,Only I and II.,Only I and III.,Only II and III.,"I, II, and III.",None of these characteristics.,G,
"Four full-boney impacted third molars were extracted on a young healthy patient.  Swelling increased during post-op days 1 and 2 and steadily decreased over post-op days 3, 4, and 5. However, the patient was barely able to open their mandible by two weeks post-operatively. Consider the following statements: I. Limited opening as described here would be considered normal at 10 days post-op following removal of four full-boney impacted third molars. II. Limited opening as described here is not normal at 14 days post-op following removal of four full-boney impacted third molars and may be due to excess inflammation involving the muscles of mastication due to the surgical procedure itself. III. Limited opening as described here is not normal at 14 days post-op following removal of four full-boney impacted third molars and may be due to excess inflammation involving the muscles of mastication due to the administration of multiple inferior alveolar nerve blocks during the extractions.",Only I is TRUE.,Only II is TRUE.,Only III is TRUE.,Only I and II are TRUE.,Only I and III are TRUE.,Only II and III are TRUE.,"I, II, and III are TRUE.","I, II, and III are all NOT TRUE.",F,
Which of the following statements about secondary bleeding or post-op hemorrhage is FALSE?,This bleeding is often due to patients not properly following post-op instructions.,Patients who undergo extractions should be instructed that there is no need to bite down on gauze after two hours.,"If post-extraction bleeding stops and then starts again, this does not necessarily mean that there is a problem.","If a patient has persistent bleeding after extractions and examination shows a liver clot at the bleeding site, this clot should be removed in order to achieve hemostasis.","If persistent, prolonged post-op bleeding occurs and does not respond to properly applied appropriate interventions, medical evaluation and intervention may be necessary.",,,,B,
A 10 year-old boy is being evaluated after suffering facial trauma.  Which of the statements below are FALSE?,"Neurological, spinal, and airway problems must be ruled-out.",The dental provider can conclude that there are no fractured teeth if there are no tooth fractures seen on radiographs.,The dental provider should evaluate whether the injuries are consistent with the causative mechanism as described.,The dental provider should report suspected child abuse to the appropriate authorities.,"The size of BOTH the pulp chamber and PDL as seen on dental radiographs provides valuable information for the diagnosis, treatment, and prognosis of any dental injuries.",,,,B,
Consider the following clinical image depicting a patient who got hit in the mouth: Which of the following statements is TRUE?,"Based on the visual examination as revealed in this image, the dental provider can conclude that teeth #24 and #25 are lingually displaced because they have been luxated from their sockets.","Based on the visual examination as revealed in this image, the dental provider can conclude that teeth #24 and #25 are lingually displaced because of a dentoalveolar fracture.","The dental provider cannot conclude if the teeth were luxated or involved in a dentoalveolar fracture by visual exam only, they must manipulate the teeth to assess their movement.",Orthodontic treatment should be initiated immediately to reposition the teeth.,The teeth should be manually re-positioned and splinted for 12 weeks.,,,,C,images/omfs-final-spring-2021/fig8.jpeg
All of the following can influence developmental disturbances to a permanent tooth following trauma to a primary tooth EXCEPT:,The age of the patient at the time of the trauma.,The type of injury.,The stage of the crown formation of the primary tooth.,The force of the trauma.,The treatment provided.,,,,C,
All of the following are potential negative consequences to permanent teeth following trauma to a primary tooth EXCEPT:,Disturbances in tooth eruption.,Partial or incomplete root formation.,Gingival hyperplasia.,Hypoplasia of the permanent incisor.,None of the above.,,,,C,
