title,Periodontics II Quiz 1 (Fall 2017),perio2,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Grade 2 Gingival Enlargement is when:,The enlargement covers ½of the crown,The enlargement is confined to the interdental papilla,The enlargement covers ¾of the crown,The papilla and marginal gingiva are enlarged,,D,
Drug Induced Gingival Enlargement can:,Disappear within months when the causing drug is discontinued,Be seen only when there is an abundance of plaque,Be most severe in the posterior sextants,All of the above,,A,
Which of the following is not a feature of a “Pregnancy Tumor”?,It is usually painful from the outset,It is associated with Prevotella Intermedia and Prevotella Nigrescens,It can spontaneously regress after completion of the pregnancy,It is a discrete spherical mass,,A,
Which is true regarding Pyogenic Granuloma?,There is chronic inflammatory infiltrate,There is non-specific enlargement,It is a mass of granulation tissue,All of the above are true,,D,
Varicella-Zoster Virus (VZV):,Infection occurs mainly in adulthood,Is the cause of chickenpox,Causes large ulcers in the floor of the mouth,All of the above,,B,
Recurrent Aphthous Stomatitis present as:,Major Aphthae that may take one month or longer to heal,Minor Aphthae that heal without scaring,Minor Aphthae that are covered with a white pseudomembrane,All of the above,,D,
Signs of Occlusal Trauma include:,Occlusal Prematurities,Faulty Restorations,Retrograde Wear,a. and c.,All of the above,D,
What are features of Malocclusion?,Malocclusion can cause Gingivitis,Malocclusion can produce occlusal trauma,Malocclusion can cause Periodontitis,All of the above,,B,
A patient moves the lower jaw to the left side and has a contact on the right side. This contact is also known as,A working side contact,A balancing side contact,A non-working side contact,b. and c.,,D,
What is true regarding bone loss in furcation areas?,Root anatomy makes radiographic detection difficult,The absence of a “furcation arrow” means that there is no furcation bone loss,Furcation bone loss always begins on the buccal aspect,All of the above,,A,
