title,Orthodontics Midterm Exam (Spring 2022),ortho,midterm
question,option_a,option_b,option_c,option_d,correct,image
Which best describes the Angle Classification?,Class 1,Class 2,Class 3,Class 2 Division 2,B,images/ortho-midterm-spring-2022/fig1.jpg
The overbite is considered:,Open,Shallow,Moderate,Very Deep,C,images/ortho-midterm-spring-2022/fig2.jpg
"The overjet, at 9, is considered:",Mild,Moderate,Severe,Negative,C,images/ortho-midterm-spring-2022/fig3.jpg
What best describes the transverse occlusion?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Right side posterior crossbite only,A,images/ortho-midterm-spring-2022/fig4.jpg
Maxillary central incisors are:,Normal inclination,Proclined,Retroclined,Typical of class 3,B,images/ortho-midterm-spring-2022/fig5.jpg
Which of the following best describes alignment of the teeth?,No crowding,Moderate crowding,Severe crowding,Moderate spacing,A,images/ortho-midterm-spring-2022/fig6.jpg
The line tangent to the mandibular plane shows the case to be:,Hyperdivergent,Hypodivergent,Normodivergent,None of the above,B,images/ortho-midterm-spring-2022/fig7.jpg
"In this case one would find, as compared to the norm:",Larger SNA,Smaller SNA,Larger SNB,Negative ANB,A,images/ortho-midterm-spring-2022/fig8.jpg
The angle SNB in this case would most likely be:,larger than normal,smaller than normal,Negative,Normal,B,images/ortho-midterm-spring-2022/fig9.jpg
Face height in this case would best be described as:,Short lower face height,long lower face height,Equal upper and lower face heights,Short upper face height,A,images/ortho-midterm-spring-2022/fig10.jpg
The direction of growth in this case is most likely:,"More downward, less forward","Less downward, more forward",Neither downward nor forward,Upward and backward,B,images/ortho-midterm-spring-2022/fig11.jpg
Which best describes the Angle Classification?,Class 1,Class 2,Class 3,Class 2 Division 2,D,images/ortho-midterm-spring-2022/fig12.jpg
The overbite is considered:,Openbite,Shallow,Moderate,Very Deep,D,images/ortho-midterm-spring-2022/fig13.jpg
The overjet is considered:,Mild,Moderate,Severe,Negative,A,images/ortho-midterm-spring-2022/fig14.jpg
What best describes the transverse occlusion?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Left side posterior crossbite only,A,images/ortho-midterm-spring-2022/fig15.jpg
Maxillary central incisors are:,Normal inclination,Proclined,Retroclined,Typical of class 3,C,images/ortho-midterm-spring-2022/fig16.jpg
Which of the following best describes alignment of the Lower teeth?,No crowding,Moderate crowding,Has leeway space available,Mild spacing,B,images/ortho-midterm-spring-2022/fig17.jpg
The occlusal plane is:,flat and normal,Has reverse curve of Spee,Has exaggerated curve of Spee,No curve of Wilson,C,images/ortho-midterm-spring-2022/fig18.jpg
