title,Practice Management II Final Exam (Fall 2022),pmgmt2,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
In an “at will” state an employee can not be terminated for which of the following reasons?,Insubordination,Discrimination,Consistent tardiness,No cause,Voluntary absence without notice,B,
"The proper means to establish office policy, explain benefits including sick and vacation time as well as establish protocols and procedures is through which vehicle?",Staff meetings,Signed documents at the start of employment,Office manual,Meetings with the office manager,None of the answer choices,C,
Paying off student loan debt is more impressive to the bank than making minimum payments and saving the difference,True,False,,,,B,
Current dental market misconceptions are:,DSOs own the landscape,Traditional sole proprietorship is the past,Associate will never own a practice,It is impossible for a solo practitioner to own multiple practices,All answer choices are correct,E,
The type of insurance that aims to protect the owner from malpractice performed by an employee dentist is called:,Workers Compensation Insurance,Corporate Malpractice Insurance,Personal Liability Insurance,None of the answer choices,,B,
Dental malpractice insurance rates are calculated based on,location of the office,the years of practice,the dental school attendant,the risk of procedures performed,None of the answer choices,D,
Dental malpractice insurance policies offer deep discounts to Dentist that practice parttime during their residency and Claims Made policies in the case are usually cheaper.,Both statements are true.,"The first statement is true, and the second statement is false","The first statement is false, and the second statement is true",Both statements are false,,B,
All dental malpractice claims that are publicly settled are reported to the:,Board of Dentistry,National Practitioner Data Bank,American Dental Association,None of the answer choices,,B,
You are the owner of a dental practice and hire an Endodontist to perform Root Canal procedures in the office. The Endodontist commits malpractice.,The Endodontist is liable for his professional malpractice.,The owner is liable for the Endodontists’ malpractice,Liability can be found on both parties.,None of the answer choices,,C,
Which insurance policy type covers the dental practice for slips and falls.,Workers Compensation policy,Business Owners policy,Malpractice insurance policy,Health Insurance policy,,B,
"In a malpractice insurance policy that is 1 million / 3 million, the carrier will pay a single 3-million-dollar judgment.",True,False,,,,B,
"As stated in the lecture, the ambassador for the dental practice is the",office manage,dental assistant,receptionist,billing clerk,,C,
The duties of an insurance billing clerk are more important to a practice that has assignment of benefits.,True,False,,,,A,
A dentist should try to obtain which of the following when signing an office lease: 1. Long term renewal options 2. Exclusion of competition in the neighborhood 3. The right of first refusal to buy the property 4. The ability to renew at a fixed rate,"1,2,3","1,2,4","2,3,4","1,3,4",All answer choices are correct,E,
Advantages of being an associate include:,Gaining additional experience from an employer dentist,Learning management and administrative skills from employer dentist,Trial period to evaluate a practice before buying-in or purchasing the practice,None of the above,All of the answer choices are correct,E,
Which one of the following is the most important factor in determining the value of a dental practice?,Gross revenue,Profitability,The number of staff members,Computer expertise of the practice,None of the answer choices,B,
Restrictive covenants may prohibit which of the following?,Competition within a set period of time,Hiring staff members of the owner dentist,Taking confidential information,All the answer choices are correct,None of the answer choices,D,
Restrictive covenants are always enforceable.,True,False,,,,B,
A contract can benefit an associate in which of the following ways?,Set forth the contract terms and decrease the chances of misunderstanding.,Can provide a buy-in start date,Provide an associate the opportunity to buy into a practice if the owner becomes disabled or dies,All of the answer chocies are correct,None of the answer choices,D,
Members of the dental office team include all except the following.,Hygienist,Dental assistant,Lab technician,Receptionist,Insurance Billing Clerk,C,
Payroll should be run weekly to allow for ease of paperwork.,True,False,,,,B,
When delegating duties to auxiliary personnel,The dentist is ultimately responsible for the care that is rendered.,The dentist is ultimately responsible for the staff member being properly licensed,Both: The dentist is ultimately responsible for the care that is rendered. & The dentist is ultimately responsible for the staff member being properly licensed,Neither: The dentist is ultimately responsible for the care that is rendered. & The dentist is ultimately responsible for the staff member being properly licensed,,C,
Employees should be paid hourly to eliminate discrepancies in the amount of time worked.,True,False,,,,A,
An Office Administrator is generally required in an office with a staff of 10 to 20 employees.,True,False,,,,A,
Hiring part time hourly employees usually,Do not require benefits,May require a higher hourly rate,Both: Do not require benefits & May require a higher hourly rate,Neither: Do not require benefits & May require a higher hourly rate,,C,
