title,Pathomedicine Exam 7 (Fall 2017),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following malignant neoplastic entities causes the fewest cancer-related deaths each year in the United States in men?,Melanoma,Lung and bronchus carcinoma,Colon and rectum carcinoma,Prostate carcinoma,,A,
The most common malignant neoplastic entity diagnosed each year in the United States in children is:,Leukemia,Basal cell carcinoma,Ewing sarcoma,Lymphoma,Osteosarcoma,A,
The most common neoplasm of the breast is:,Fibrocystic disease,Fibroadenoma,Mucoepidermoid carcinoma,Lobular carcinoma,Ductal carcinoma,B,
Fill in the blank. BRCA1 and BRCA2 genes are mutated in _______ of women with hereditary breast cancer.,100%,1/3,2/3,1/5,1/2,B,
Rates of breast cancer are highest among which of the following groups:,Non-Hispanic white women,African American women,Hispanic women,Asian women,,A,
Elevated serum levels of prostate specific antigen AND alkaline phosphatase occur in:,Metastatic prostate cancer,Benign prostatic hyperplasia,Metastatic lung cancer,All the above,,A,
See image below. What is the most likely diagnosis?,Melanoma,Squamous cell carcinoma,Squamous papilloma,Basal cell carcinoma,,C,images/patho-legacy-fall-2017-7/fig7.jpeg
A 55-year-old male presents with a lesion on the skin just superior to his vermilion. The lesion is ulcerated and has rolled borders. It has been present for at least three weeks and has demonstrated no signs of healing. What is the most likely diagnosis?,Verruca vulgaris,Basal cell carcinoma,Squamous cell carcinoma,Melanoma,Metastatic lung cancer,B,
Statement 1: The keratoacanthoma likely represents a self-healing variant of squamous cell carcinoma. Statement 2: Keratoacanthomas typically metastasize.,Both statements are true.,Both statements are false.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,,C,
At which of the following locations is oral squamous cell carcinoma most likely to develop?,Buccal mucosa,Gingiva,Hard palate,Floor of the mouth,Labial mucosa,D,
Nasopharyngeal carcinoma is much more common in southeast Asia than in north America. The virus most likely to be responsible for its development is:,Human papilloma virus,Human herpes virus 8,Cytomegalovirus,Epstein-Barr virus,Human herpes virus 1,D,
Which of the following is NOT a suspicious feature of a pigmented lesion?,Unknown cause,Unknown duration,Long-term duration,Asymmetry,Diameter greater than 6 mm,C,
What is the approximate number of pediatric malignancies diagnosed each year in the United States?,"50,000","10,000","150,000","100,000","20,000",B,
Rhabdomyosarcoma is:,A malignant tumor of skeletal muscle,A malignant tumor of smooth muscle,A malignant tumor of blood vessels,A benign tumor of smooth muscle,A fibroid,A,
The chordoma develops from remnants of the:,Renal medulla,Renal cortex,Notochord,Vertebral column,Carotid body,C,
Which of the following may secrete epinephrine?,Pheochromocytoma,Wilms tumor,Neuroblastoma,Two of the above,All of the above,D,
Mutation of the APC gene is responsible for familial adenomatous polyposis and Gardner syndrome. The APC gene is located on chromosome:,5,6,2,X,4,A,
