title,Intro to Implants Exam 1 (Spring 2022),implants,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
Team effort for implant dentistry does not include:,periodontics,oral surgery,technology,prosthetics,finances,E,
P.I Branemark discovered the origins of osseointegration by studying the blood flow in,dogs,cats,monkeys,rabbits,,D,
Branemark definition of osseointergration was at the,electron microscope level,histological level,light microscope level,cellular level,,C,
"In the Branemark 1981 study, the success rate was:","81% maxilla ,81 % mandible","91% maxilla, 91% mandible","81% maxilla, 91 %mandible","91% maxilla , 81% mandible",,C,
An endosteal implant can be,blade,over denture,root-form,All the above,A and C,E,
"According to the Amler Article, calcification starts at",2 days,4 days,7 days,20 days,40 days,D,
"According to Berlundh Study, After how many weeks did the experimental chamber appear to be filled with bone.",1 week,2 weeks,4 weeks,6 weeks,,D,
A subperiostal implant -,is inside the bone,passes through the chin and into the oral cavity,anchored into their zygoma,on top of bone and underneath the gum tissue,,D,
A completed implant restoration will contain all of the above EXCEPT:,implant,abutment,healing abutment,restoration,,C,
An implant restoration can be a,crown,fixed partial denture,removable prosthetic,all the above,,D,
The denture fabricated for an implant supported over denture does not need border molding as the implants make it unnecessary,True,False,,,,B,
HA Implants fell out of favor,weak bone to implant contact,exposure to oral cavity caused severe peri-implantitis,separation of HA to implant body,both B and C,,D,
Fiber attachment to implants are,perpendicular,parallel,circumferential,cross-linked,,B,
Implant design includes:,cylinder,screw,combination,all the above,,D,
Minimum Amount of implants in the maxilla for an over denture is,2,3,4,5,,C,
Minimum Amount of implants in the mandible for an over denture is,2,3,4,5,,A,
The percentage of bone to implant contact (BIC) is:,external vs internal,cylinder vs screw,surface of the implant,all of the above,,C,
MIS implant is:,turned,sandblasted,titanium plasm sprayed,sandblasted and acid etched,,D,
Bleeding upon probing of an implant is a sign of inflammation,True,False,,,,B,
The biological width of an implant is,2m,subcrestal,supracrestal,4m,,B,
An implant that is loose is:,reparable,adaptive,a failure,,,C,
While drilling a maxillary central incisor osteotomy you encounter excess bleeding. The vital structure most probably injured is:,inferior alveolar nerve,greater palliatine artery,incisive canal,adjacent tooth,,C,
Which Kan Classification is most common,Class I,Class II,Class III,Cass IV,,A,
"According to Kan classification, which is a contraindication to immediate implant placement",Class I,Class II,Class III,Cass IV,,D,
Which life threatening vessel maybe perforated during implant osteotomy:,Buccal artery,lingual artery,greater palliative artery,Maxillary artery,,B,
Minimum distance from distal aspect of the implant to the anterior loop is:,1mm,2mm,3mm,4mm,5mm,B,
Minimum inter arch space for hybrid restoration is:,10mm,5mm,12-16 mm,14-18 mm,,D,
Minimum amount of keratinized tissue around an implant should be,1mm,2mm,3mm,4mm,5MM,B,
The minimum distance between an implant and a tooth is,1.0 mm,1.5mm,2.0 mm,3.0 mm,4mm,B,
Minimum distance between two implants is:,2mm,3mm,4mm,5mm,,B,
The Antagonist for Coumadin is:,Vit E,Vit C,Vit K,vit b12,,C,
Which condition(s) can affect implant success rates,Diabetes,tabacco,Bruxism,All the above,,D,
the most precise radiograph for anatomical structures is,periapical,bitewing,panorama,CBCT,,D,
The best quality of bone for implant placement is,type I,type II,type III,type IV,,B,
Implant placement is the same for thick and flat as it is for thin and scalloped gingiva:,True,False,,,,B,
"According to the Tarnow article on ""The effect of distance from contact point to the crest of bone on the presence or absence of interproximal papilla"", if the crest distance, from contact point to crest of bone is 7mm, the chance the papilla will be present is",98%,56%,27%,10%,,C,
The most difficult esthetic implant restoration is in a,low smile Iine,normal smile line,high smile line,All the above,,C,
The “A-P spread” for cantilever mathematical analysis is multiplied by a factor of,1x,1.5X,2.0 x,2.5x,,B,
Delayed implant placement is usually,1-2 months,2-3 months,3-4 months,4-6 months,,D,
In a “one Stage “implant the following is placed at the time of implant placement,Cover Screw,Healing Abutment,Final Crown,,,B,
