title,Intro to Implants Exam 2 (Spring 2022),implants,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
A patient has severe pain even after one week of implant placement. The likely cause is,poor flap management,overheating of bone,immediate loading,an angled implant,,,B,
"When placing a dental implant, the dot on the implant carrier should be facing",distal,lingual,buccal,mesial,,,C,
The maximum handpiece rpm when preparing an osteotomy implant placement is:,1200,1300,1400,1500,,,D,
The maximum handpiece rpm when placing the implant is:,30,25,20,15,,,C,
The maximum torque when placing the implant is,70,60,50,40,,,C,
A closed impression technique may be used when two analog impression coping are parallel,True,False,,,,,A,
An open or  closed impression technique may be used when two analog impression coping are not parallel.,True,False,,,,,B,
The main advantage of a screw retained implant crown is:,esthetics,function,retrievability,occlusion,,,C,
The first diagnostic information one should determine when creating the digital workflow for a posterior mandibular implant placement is:,thickness of bone,quality of bone,tracing the course of the inferior alveolar nerve,interocclusal spacing,,,C,
"When placing a healing abutment either in a one or two stage procedure, it is only important to have keratinized tissue on the buccal aspect.",True,False,,,,,B,
Guided surgery has certain drawbacks. They include,need to place consecutive implants.,loss of tactile sensation,need for soft and/or hard tissue grafting,b and c,,,D,
Which complication is considered the most significant:,invasion of the maxillary sinus,inferior alveolar nerve paresthesia,implant failure,crestal implant bone loss,,,B,
Patient presents with a thin narrow posterior mandibular ridge. You tell the patient that other options need to be considered as implant are not an option. Is this correct?,True,False,,,,,B,
The presence of pathology is a contradiction for implant placement.,True,False,,,,,A,
Obtaining a CBCT prior to implant placement is advantageous for implant placement except:,the best implant manufacturer for the surgical site,the height of bone to inferior alveolar nerve,if adequate width exists,if adequate height exists below the maxillary sinus,,,A,
The guided surgery kit can be used:,with a flap,flapless,from initial osteotomy to final osteotomy,from initial osteotomy to implant placement,all of the above,,E,
The benefit of drill stops is:,to prevent incorrect angulation,to prevent accidentally drilling too close to vital anatomical structures,to prevent drilling too far buccally,prevents implant placement too far lingually,c and d,,B,
"If one needs to graft soft or hard tissues, one should ideally:",place a healing abutment,place an implant restoration,place a custom healing abutment,place a cover screw and obtain primary closure.,,,D,
"After placing an implant the implant is loose, one should",place a larger implant,graft and allow to heal and place an implant at a later day,place a cover screw and obtain primary closure,a and b,,,D,
The motion for implant osteotomy is similar to conventional dental drilling.,True,False,,,,,B,
Placing an implant without a guide can lead to:,implant malposition,implant placement too far buccal,implant placement too far lingual,all the above,,,D,
A cover screw is meant to be placed,below the gingiva,above the gingiva,at second stage uncovering,,,,A,
Why is digital implant surgical planning so valuable?,Digital implant surgical planning is prosthetically driven to ensure proper placement of an implant based on the desired final restoration,Digital implant surgical planning visualizes the amount of bone available to determine the position of the final restoration,Digital implant surgical planning allows the surgeon to know if he can achieve primary stability of the planned implants,,,,A,
Who can digitally plan an implant surgery?,The surgeon,The restorative dentist,An implant planning service,The lab,All of above,,E,
What are the benefits of today's digital implant surgical planning?,It's easier,It's safer and more predictable,It's a closed system that can't be messed with,,,,B,
What limitation do surgical assist guides pose?,They were difficult to seat in the mouth,They did not relate the tooth position to the underlying bone volume,They were not easily duplicated,They were expensive to manufacture,,,B,
What radiopaque markers were traditionally used in analog-style scanning appliances?,Gutta percha points and barium sulfate,Gutta percha and amalgam,Composite and Barium sulfate,Amalgam and composite,,,A,
What data sets are needed for digital implant surgical planning?,PAN X-ray and CBCT scan,PAN X-ray and intraoral surface scan,CBCT scan and 3D facial scan,CBCT scan and intraoral surface scan,,,D,
Digital implant surgical planning allows you to custom design and 3D print the ideal dental implant to be placed.,True,False,,,,,B,
What is a benefit of 3Shape Implant Studio software?,It allows for fabrication of presurgical prosthetics,The entire process can be totally outsourced,It is easily upgraded to include newer implant systems and material options,B and C,,,A,
What is a design consideration when fabricating an implant surgical guide?,Whether the surgical plan will be pilot vs. fully-guided,Making the guide as thin as possible so it can fit in the patient's mouth,Limiting the number of implants per guide,,,,A,
The reason(s) clinicians take the time to complete digital implant surgical planning include:,It allows for visualization and avoidance of important anatomical landmarks,One can plan the position of the implant based on the desired final prosthetic,It best ensures no surprises the day of surgery,All of the above,,,D,
A tissue-supported surgical guide is more predictable than a tooth-supported guide.,True,False,,,,,B,
What part of a restoration can be 3D printed when it comes to digital implant prosthetics?,Titanium base,Prosthetic screw,Provisional crown,,,,C,
Why are screw-retained crowns preferred to cement-retained crowns?,Improved aesthetics,There is no chance for cement to be impacted subgingivally,Screws are less likely to loosen with time,B and C,,,B,
When would you prescribe a cement-retained crown instead of a screw-retained crown?,If the angulation of the implant is not ideal,Because they are less expensive to produce,Because it will last longer,A and C,,,A,
What fixed pre-surgical prosthetics can be manufactured?,Maryland Bridge,Screw-retained provisional,Provisional FPD,Essix Appliance,"A, B, and C",All of the above,E,
What is a scan flag?,It's a software icon you must choose when setting up the prescription for an implant impression,It's the part you buy from the lab and send back with the impression to make the screw-retained crown,It's the component that gets screwed onto an implant to relate the position of the implant to the surrounding dentition in the design software,It's the flag you wave when you are lost and need help troubleshooting the scanning software,,,C,
Which scan is optional in a TRIOS digital implant impression?,The emergence profile scan,The scan flag scan,The antagonist scan,The bite scan,,,A,
What factors must be considered when deciding to immediately provisionalize an implant?,The diameter of the implant,If primary implant stability has been achieved,Patient compliance with post-operative instructions,Patient's occlusion,"A, B, and C","B, C, and D",F,
