title,Endodontics Midterm Exam (Spring 2020),endo,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
Diagnosis:,involves the debriding and cleansing of the root canal systems,the obturation of the root canal systems,involves an evaluation of the patient's overall health in determining treatment,involves detecting and distinguishing-deviations from health and determining the cause.,,D,
The key step in determining a treatment plan is:,Diagnosing a patient's overall health,What specific allergies they have,What the dental problem is and why they are having it,To rule out serious systemic problems,,C,
"If an x-ray shows a periapical area, is asymptomatic and responds vitally to cold, what should you be concerned about?",that the tooth needs root canal therapy,that the cause is a periodontal abscess,"that it is possibly a metastatic lesion from the breast, lung or prostate",that it is simply a benign lesion that can be ignored,,C,
The most important aspect of diagnosis is:,making sure that you see all the canals,determining whether or not the tooth is vital,that you have made an accurate determination on what tooth should be treated,that the canals are patent and negotiable to the apex,,C,
The first step in making a diagnosis is:,The dentist questions the patient about any symptoms and history that led to the visit.,The patient tells the dentist the reason for seeking help.,The dentist performs objective clinical tests,The dentist combines objective findings with subjective details and creates a tentative differential diagnosis.,,B,
What symptom is most telling that a patient needs root canal therapy?,"The tooth hurts acutely to cold, but of short duration (2-3 seconds)",The tooth hurts to percussion,The tooth hurts to palpation in the fold,The tooth hurts acutely to cold and lingers for at least 15 seconds or longer,,D,
What non-dental causes can cause dental pain?,trigeminal neuralgia,cardiac angina,multiple sclerosis,all the above,,D,
"When it comes to oral swellings extending beyond the oral cavity, the one we are most concerned about is",from the submental space,from the canine space,from parapharyngeal space,from the buccal space,,C,
When doing an intraoral mouth exam the purpose is to find lesions when they are:,patches and scratches,lumps and bumps,,,,A,
An x-ray shows a mandibular molar with a periapical area and a large pocket on the distal aspect of the distal root. What is most important in determining whether or not this tooth is primarily an endodontic problem or a periodontal problem?,Measuring the depth of the pocket to see if it extends to the tip of the root,Determining how close any restorations are to the pulp,What is the state of vitality of the pulp,Determining whether or not a fracture is present in that root.,,C,
If you see a sinus tract the best idea would be to:,curette the fistula in the hope of it disappearing,place the patient on an antibiotic to aid in its disappearance,initiate root canal therapy on the tooth closest to the fistula,place a gutta percha point in the fistula to determine where the origin of the infection is.,,D,
When applying the percussion test and two teeth hurt to a similar degree what would help differentiate which if either is the offending tooth?,Hit each tooth harder,Discount the results of the percussion test completely,immobilize one tooth while hitting the other and then reverse the process to see then which if either hurts more,pulp test both teeth to see if one responds and the other doesn't,,C,
"When pulp testing is done, which application does not apply?",percussion,heat,cold,electric current,,A,
The most accurate pulp testing is done with,percussion,cold,heat,electric current,,B,
The biggest drawback to 2-dimensional radiography compared to 3-dimensional imagery is:,cannot adjust contrast,cannot see defects in the cortical layer,cannot see defects in trabecular layer if the cortical layer is intact,superimposition of anatomical structures obscure root details,,C,
A j-shaped lesion around a non-vital root is strong evidence that:,the tooth requires root canal therapy,a non-treatable fracture is present in that root,a severe periodontal lesion is present and must be treated,antibiotics should be given prior to extraction,,B,
The irrigant that is both most useful and must be used with the most caution is:,EDTA,NaOCl,Irritrol,CHX,,B,
All irrigants should be used with:,high pressure with a stream that will remove the debris in the canal,low pressure at about 5 drops per second to float debris out of the canal,should only be confined to the pulp chamber,should be placed as apically as possible to reach as much pulp tissue as possible.,,B,
Modern anatomical studies show canal anatomy to be:,fairly simple conical shapes that traverse the entire length of the root,"fairly consistent for each group of teeth (molars, premolars and incisors)",highly complex with many lateral canals yet still mostly conical along length,highly complex with a variety of cross-sectional shapes in the bucco-lingual plane,,D,
These studies show that in most canals it is most important to:,use a good deal of irrigation,stay centered within each canal for the most thorough cleansing possible,extend cleansing to the full bucco-lingual width of the canals along their entire length,extend cleansing to the full mesio-distal width along their entire length.,,C,
The function of cleansing the canal walls is to do the following except for:,Removing the smear layer,creating a highly conical shape along the entire length of the canal,opening the dentinal tubules,reducing the bacterial count as much as possible,,B,
