title,PCOD II Final Exam (Spring 2020),pcod2,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Below are characteristics of infected dentin.,Must be removed,Cannot be remineralized,Bacteria is present,Collagen is denatured,"""Cannot be remineralized"" and ""Bacteria is present""",All of the answer choices,F,
True/False: The use of caries detector dye can lead to a significant clinical over-preparation due to the diffusion into infected and affected dentin.,True,False,,,,,A,
The following is true of matrix bands,Must extend past the gingival margin of the preparation for adequate seal,Matrix bands needs to be slightly smaller than the occlusal circumference of the tooth,When placing the matrix band the narrow end is always toward the occlusal,It is not recommended to use Denovo bands in pediatric patients,,,A,
"True/False: You have completed a preparation and removed all the decay, but the outline form doesn’t look exactly like the preparations you learned in PCODII. The right thing is to modify the preparation to make it look like the image on the powerpoint.",True,False,,,,,B,
What is the purpose of the outer nut?,To increase and decrease circumference of the tofflemire band.,To lock the tofflemire band in place,To allow for better visibility,To allow for proper quadrant placement,,,B,images/pcod2-final-spring-2020/fig5.jpeg
What is NOT true about this system?,Disposable,Expensive,Can be used in more than one quadrant,All of the answer choices are TRUE.,,,D,images/pcod2-final-spring-2020/fig6.jpeg
What are some advantages of using a glass ionomer?,Tooth colored,Fluoride release,Resin can be added to it,"""Tooth colored"" & ""Fluoride release""",All of the answer choices,,E,
You have completed a restoration. After checking with articulating paper you  see a bull’s eye on a tooth. This means:,That was your Target and the restoration was great- no need to adjust,The restoration is not ideal and needs to be adjusted,"There is heavy occlusion in that area- but that is okay, the patient will adjust after a week or two.","Look at the rest of the tooth, if there are bull’s eyes on two other/additional cusps, its tripodization and its fine- no adjustment needed.",,,B,
Teeth closer to a 60 degree anterior controlling factor will have _____________ (steeper/flatter) and those closer to the 45 degree posterior controlling factor will have _____________ (steeper/flatter) cusps,"Steeper, Steeper","Flatter, Flatter","Steeper, Flatter","Flatter, Steeper",,,C,
Tarnish can occur with the following materials.,Glass ionomer,Amalgam,Composite,Polymers,,,B,
Which of the following is a primary contraindication for the use of a composite restoration?,Occlusal factors,Inability to isolate the operating area,Nonesthetic areas,Extension onto the root surface,,,B,
Bonding of resins to dentin is best described as involving _______.,Mechanical interlocking,Ionic bonding,Covalent bonding,Van der Waals forces,,,A,
This is an image of overhang. What did the doctor do wrong?,Did not place rubber dam,Did not place wedge,Did not use a matrix band.,Did not remove old restoration,,,B,images/pcod2-final-spring-2020/fig13.jpeg
This is an image of a ____ Preparation:,Class I,Class II,Class III,Class IV,Class V,,E,images/pcod2-final-spring-2020/fig14.jpeg
This will be restored with a glass ionomer. What is true in this situation?,Glass Ionomer cannot be used in this area because of occlusal wear,Glass ionomer cannot match the tooth color,Glass Ionomer can only be used as a base- not as a restorative material,None of the answer choice,,,D,images/pcod2-final-spring-2020/fig15.jpeg
How would you classify this preparation?,Mesial Occlusal (MO),Mesial (M),Distal-Occlusal (DO),Distal (D),,,C,images/pcod2-final-spring-2020/fig16.jpeg
True/False You must be careful with etching since the length of etching time will influence the time required for proper polymerization.,True,False,,,,,B,
"When placing a Class II restoration, the restorative material should be condensed in the following manner:",the proximal portion first,the occlusal portion first,the proximal portion last,the cavosurface margin first,,,A,
You are doing a classic MO preparation on tooth #19. The outline form should:,preserve the integrity of the uninvolved marginal ridge,be large enough to for the smallest plugger,incorporate all the infected grooves,all of the answer choices,,,D,
The acid that is used to etch enamel is:,Hydrofluoric acid,Phosphoric acid,Lactic Acid,Clavulanic acid,,,B,
True/ False: The purpose of tying floss around the rubber dam clamp is to prevent possible aspiration of the clamp.,True,False,,,,,A,
"True or false: When more than one-half of the cusp-tip to cusp-tip tooth structure is removed, a fullcrown or onlay covering all of the remaining cusps is indicated.",True,False,,,,,A,
Why would you want to do a large composite build up of a broken down tooth?,Due to patient finances,Due to patient’s health,Due to patient’s inability to come for many appointments,More than one answer choice,,,D,
"If you have a compromised tooth and you do a large interim restoration, its best to make sure",It is restored with heavy occlusion,It is restored to be in occlusion with the opposing arch,It is restored with light occlusion,You do not have to worry about occlusion when restoring a tooth.,,,C,
Iatrogenic means:,Damage caused by natural causes,Damage caused by a provider,Damage caused spontaneously,Damage caused by genetics,,,B,
The way that you are MOST LIKELY to ensure that you have adequate contact is:,Using a wedge,Burnish your matrix band,Condensing your composite,Using flowable composite,,,B,
According to the golden proportions the size of the central incisor is:,1.0,1.6,1.8,0.8,,,B,
"Statement 1: The wax up is used to help the patient visualize the final treatment outcome, Statement 2: and therefore a wax up is necessary for every operative patient.",Both statements are true.,Both statements are false,"The first statement is true, the second one is false","The first statement is false, the second one is true.",,,C,
What is quadrant dentistry?,When all the dental work needed to be done in a single quadrant is done at one time.,"When four different providers split the dental work, each doing a quadrant.",When one preparation is done in each quadrant.,Another name for four handed dentistry.,,,A,
Who can benefit from quadrant dentistry?,Special needs patients,Pediatrics patients,Provider,All of the answer choices,,,D,
True/False: Telling your patient you can finish everything in a quadrant in one appointment is always a good idea.,True,False,,,,,B,
"When preparing two adjacent interproximal caries, you prepare the larger one first. What is the justification for preparing the larger one first?",You excavate the bigger one first so you do not want disease to spread.,You excavate the bigger one so that the smaller preparation can be very conservative.,You excavate the bigger one first so that you can break contact.,You always prepare the smaller one first.,,,B,
A Dentist should always remove questionably carious dentin if it is,Hard and shiny,Soft and mushy,Discolored,,,,B,
A dentist will usually connect an MO with and OL cavity preparation on tooth #14 if the oblique ridge is:,Less than 1mm,Greater than 1mm,Less than 2mm,Greater than 2mm,,,A,
The apical extent of the gingival margin of an MO in a cavity preparation is determined by:,Extent of the caries,Position of the proximal contact with the adjacent tooth,Location of the gingival sulcus,"""Extent of the caries"" and ""Position of the proximal contact with the adjacent tooth""","""Extent of the caries"" and ""Location of the gingival sulcus""",,D,
An appropriate proximal contact results in all of the following EXCEPT:,Reduction or elimination of food impaction between teeth,Provides increased retention from for the restoration,Provides appropriate space for the interdental papilla,Maintenance of the proper occlusal relationship,,,B,
A carious lesion along the margin of a restoration is considered:,Recurrent decay,Incipient caries,Affected dentin,Microleakage,,,A,
What type pf movement is seen in the picture below:,Group function,Canine guidance,Anterior guidance,Posterior guidance,There is no guidance in this picture,,B,images/pcod2-final-spring-2020/fig38.jpeg
"After the dentist has completed an etching procedure on a Class II composite preparation, the preparation becomes contaminated with saliva. IN response the dentist should do which of the following?","Blow away saliva with air, then proceed.","Rinse away the saliva with water, dry the preparation, then proceed.","Wipe away the saliva with a cotton pellet, rinse the preparation with water, dry it with air, and then proceed.","Rinse away the saliva with water, dry the preparation with air, and then repeat the etching procedure.",,,D,
The proximal contact area of posterior teeth should be placed:,At the same relative facial/lingual position as anterior teeth,More to the facial surface than anterior teeth,More to the lingual surface than anterior teeth,At none of the above locations,Depends on the restorative material used,,B,
A practitioner who is restoring a tooth with composites wants to make sure that the matrix has adhered to the filler. Which of the following agents adheres the resin matrix to the filler?,Wetting,Coupling,Catalyzing,Activating,,,B,
An evaluation of which of the following represents the most important aspect in shade selection?,Hue,Value,Chroma,Size,Shape,,B,
An example of galvanism is,Amalgam contacting gold,Amalgam contacting composite,Amalgam contacting porcelain,,,,A,
The leakage of fluid and debris extending along the tooth-restoration interface is called,Metamerism,Trituration,Microleakage,Deformation,,,C,
A bur should be tilted lingually when preparing the occlusal aspect of the Class II preparation on the mandibular first premolar. A. To remove unsupported enamel   B. Prevent encroachment on the facial pulp horn   C. Prevent encroachment on the lingual pulp horn,A and B,A and C,B only,C only,,,C,
The occlusal cavo-surface margin of a posterior composite preparation is finished,With a hollow point bevel,With a ground hollow bevel,With no bevel,With a bevel that is .5mm-1mm wide,With a bevel that is angled at 45 degrees and which is 0.5-1.0mm,,C,
Your patient presents with a large diastema between teeth #8 and #9. The first thing you should do is,Ask the patient if there is anything they would like to change about their smile,Measure the width of the diastema with a perio probe,Make a shade selection,Determine the best method of closing the diastema.,,,A,
"Statement 1: When preforming a procedure that requires selection of a shade, ideally the shade selection should be made prior to placement of rubber dam. Statement 2: However, if a grey-colored dam is utilized, then the shade selection may be made subsequent to the placement of the rubber dam.","The first statement is true, the second is false","The first statement is false, the second is false",Both statements are true,Both statements are false,,,A,
What is wrong with this preparation?,Not open enough gingivally,Not open enough facially,Not open enough lingually,This is a good preparation,,,D,images/pcod2-final-spring-2020/fig49.jpeg
When taking a shade for a patient we want to make sure that,The teeth are wet,We stare at the teeth for a long time and make sure it’s a perfect match,Make sure our patient has a rubber dam to protect them from aspirating the shade tab,Place a light blue bib on the patient to make sure our eye can pick the proper color.,,,A,
