title,Periodontics I Quiz 1 (Fall 2017),perio1,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
What is probing depth,The distance in millimeters from the gingival margin to the base of the sulcus,The distance in millimeters from the CEJ to the base of the sulcus,The distance in millimeters from the gingival margin to the CEJ,The distance in millimeters of recession exposing root surface,,A,
"1.When probing, the tip of the periodontal probe should always be kept in contact with the tooth. 2.Four measurements are recorded for each tooth.",Both statements are true,Both statements are false,"The first statement is true, the second is false","The first statement is false, the second is true",,C,
The facial surface of #28 exhibits 3 mm of recession and a 5 mm probing depth. The diagnosis for this tooth would be:,Health,Mild periodontitis,Moderate periodontitis,Severe periodontitis,Severe gingivitis,C,
Palpable or visible movement of the tooth when it is in function is defined as:,Overbite,Overjet,Fremitus,Functional occlusion,,C,
What are the main principles of instrumentation,"Grasp, fulcrum, adaptation, angulation, activation","Grasp, fulcrum, adaptation, lateral pressure, activation","Grasp, fulcrum, adaptation, angulation, lateral pressure, activation","Grasp, fulcrum, adaptation, lateral pressure, angulation",,C,
Which of the following is FALSE,Sickle scalers have 2 cutting edges that converge to make the tip of the scaler,The Columbia 13/14 Curette is also known as the Universal Curette,The Terminal Shank is the part of the instrument that extends from the handle of the instrument to the working end,"There are different types of periodontal probes on the market, of which we will be using the Williams probe",,C,
Select the CORRECT statement.,Acceptable probing must be performed in 6 specific areas around the tooth known as “Spot checking”,"To probe the col area, you must keep the probe straight in relation to the tooth",A Naber's probe is to be used on Molar teeth only,An 11/12 Explorer is to be used to check for calculus and root roughness.,,D,
"A patient presents to your office complaining of “tooth movement”. Upon examination, you notice that there is distinct movement of the teeth when using two instruments to apply lateral pressure, however the tooth does not move vertically in the socket. What Miller classification does this patient's mobility fall under",Class 0,Class II,Class III,Class IV,,B,
Clinical attachment loss is seen in:,A patient who has severe gingival overgrowth leading to periodontal pocket readings of >4mm,A patient who has highly inflamed gingiva with a pocket depth of 2mm,A patient with the gingival margin slightly above the CEJ and pocket depth of 1mm,A patient with exposed root surface and pocket depth of 3mm,,D,
Which of the following is available to you in the Treatment History Tab of the Electronic Health Record on your AxiUm system of this hypothetical patient,Patient history of asthma and use of albuterol inhaler,Patient's history of a dental crown done on #19,Patient's emergency contact information,Patient's caries risk,,B,
Which of the following is charted as Dental Treatment in the “Chart Add” tab,Previously treated Root Canal on tooth #19,Caries Around Restoration on tooth #12,Deep cavitation on tooth #4,Impacted third molars,,A,
Which of the following CANNOT be used to search for a patient in the “Rolodex” module:,First/Last name,Phone #,Address,Birthdate,,C,
