title,Oral Pathology Exam 2 (Spring 2023),oralpath,exam2
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following soft tissue entities arises from extracellular matrix tissues?,Giant cell fibroma,Lipoma,Neuroma,Hemangioma,Granular cell tumor,A,
Kaposi Sarcoma arises from what type of tissue?,Adipose,Muscular,Vascular,Neural,None of the above,C,
Which of the following is the most common?,Fibroma,Neurofibroma,Lipoma,Leiomyoma,Fibrosarcoma,A,
What is the most common site of development for a fibroma?,Along the occlusal plane,Tongue,Palate,Gingiva,,A,
Which is true of the following statements: Statement 1: Retrocuspid papillae are identical to giant cell fibroma under the microscope Statement 2: Retrocuspid papillae involute with age,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
Which of the following can develop on sites besides from the gingiva?,Pyogenic granuloma,Peripheral ossifying fibroma,Peripheral giant cell granuloma,Retrocuspid papillae,All of the entities are only found on the gingiva,A,
A pyogenic granuloma emanating from an extraction socket is also known as which of the following?,Epulis granulomatosa,Epulis fissuratum,Congenital epulis,Extraction epulis,Alveolus granulomatosa,A,
Excision of this lesion has what approximate recurrence rate?,0%,10-15%,25-30%,50-75%,100%,B,images/oralpath-exam2-spring-2023/fig8.jpeg
Which is true of the following statements: Statement 1: Traumatic neuromas are always asymptomatic Statement 2: Traumatic neuroma excision requires removal of a small portion of the proximal nerve bundle,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,D,
Bilateral acoustic schwannomas are identified in which of the following syndromes?,Neurofibromatosis type 1,Neurofibromatosis type 2,Neurofibromatosis type 3,MEN2b,Cleidocranial dysplasia,B,
Malignant transformation of a neurofibroma results in which of the following entities?,Malignant peripheral nerve sheath tumor,Neruofibrosarcoma,Schwannomatosarcoma,Melanoma,Squamous cell carcinoma,A,
Which of the following is associated with MEN2b?,Mucosal neuroma,Medullary thyroid carcinoma,Pheochromocytoma,All of these entities are associated with MEN2b,,D,
Which of the following entities can be identified on a prenatal ultrasound?,Giant cell fibroma,Retrocuspid papilla,Congenital granular cell lesion,Granular cell tumor of the dorsal tongue,None of these options,C,
What is the most common location of a melanotic neuroectodermal tumor of infancy?,Maxilla,Mandible,Tongue,Labial mucosa,Skin of the nose,A,
Which of the following is most likely to float in formalin?,Fibroma,Neurofibroma,Lipoma,Leiomyoma,Rhabdomyoma,C,
Which is true of the following statements: Statement 1: Arteriovenous malformations are low flow lesions Statement 2: All radiolucencies of bone require aspiration prior to biopsy,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,D,
Which is true of the following statements: Statement 1: Central vascular malformations are more common in the mandible compared to the maxilla Statement 2: A “sunburst” radiographic pattern is only seen in central vascular malformations,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,C,
What is the most common tumor of infancy?,Hemangioma of infancy,Rhabdomyosarcoma,Congenital granular cell lesion,Melanotic neuroectodermal tumor of infancy,Fibroma,A,
Which of the following can be treated with propranolol?,Hemangioma of infancy,Lymphangioma,Non-involuting congenital hemangioma,Arteriovenous malformation,Cystic hygroma,A,
Which of the following is associated with Sturge-Weber Syndrome,Port wine stain,Non-involuting congenital hemangioma,Arteriovenous malformation,Hemangioma of infancy,Venous malformation,A,
What type of malformation is most likely represented in the image?,Venous malformation,Lymphatic malformation,Arterovenous malformation,Skeletal muscle malformation,Capillary malformation,B,images/oralpath-exam2-spring-2023/fig21.jpeg
What is the most common site for an osseous choristoma?,Posterior dorsal tongue,Anterior ventral tongue,Hard palate,Labial mucosa,Floor of mouth,A,
The benign tumor that arises from the smooth muscle wall of vasculature is known as which of the following?,Angioleiomyoma,Rhabdomyoma,Leiomyosarcoma,Rhabdomyosarcoma,Hemangioma,A,
Which is true of the following statements: Statement 1: Fibrosarcoma is the most common malignancy of children Statement 2: Leiomyosarcomas are found exclusively in peripheral soft tissue,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,B,
Which is true of the following statements: Statement 1: Angiosarcomas can be associated with occupational exposure to certain chemicals Statement 2: Angiosarcomas are commonly found on the scalp and forehead of older men,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
"Which is true of the following statements: Statement 1: The head and neck is the most common site for a rhabdomyosarcoma Statement 2: Per Dr. Roth and Dr. Yancoskie, it is important to biopsy nodules in children to rule out fibrosarcoma",Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,C,
Sjogren syndrome is an example of what kind of pathology?,Variant of normal,Reactive,Metabolic,Neoplastic,None of the options,B,
Benign mixed tumor is a synonym for which enitity?,Pleomorphic adenoma,Neurilemmoma,Polymorphous adenocarcinoma,Mucoepidermoid carcinoma,Rhabdomyoma,A,
Which is true of the following statements: Statement 1: Pleomorphic adenomas have no risk of malignant transformation Statement 2: The most common intraoral location for a pleomorphic adenoma is the tongue,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,B,
What is the most common site for a canalicular adenoma?,Upper lip,Lower lip,Tongue,Palate,Buccal mucosa,A,
Which is true of the following statements: Statement 1: Warthin tumors are more common in men compared to women Statement 2: Warthin tumors are more common in smokers compared to non-smokers,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
Which of the following is the most common malignant salivary neoplasm?,Mucoepidermoid carcinoma,Pleomorphic adenoma,Canalicular adenoma,Adenoid cystic carcinoma,Polymorphous adenocarcinoma,A,
Which of the following is the most common salivary gland neoplasm of the retromolar pad?,Mucoepidermoid carcinoma,Pleomorphic adenoma,Canalicular adenoma,Adenoid cystic carcinoma,Polymorphous adenocarcinoma,A,
Where do the majority of acinic cell carcinomas occur?,Parotid gland,Submandibular gland,Palate,Sublingual gland,Tongue,A,
Which of the following almost always occurs in minor salivary glands?,Pleomorphic adenoma,Acinic cell carcinoma,Polymorphous adenocarcinoma,Warthin tumor,None of the options occur in minor salivary glands,C,
Which of the following are acceptable to include on the differential diagnosis list for the lesion in the image?,Fibroma,Pleomorphic adenoma,Lipoma,Rhabdomyoma,All of the options are possibilities,E,images/oralpath-exam2-spring-2023/fig36.jpeg
True or false: Adenoid cystic carcinoma has a worse prognosis than mucoepidermoid carcinoma:,True,False,,,,A,
Which is true of the following statements: Statement 1: Polymorphous adenocarcinoma can present with pain due to nerve involvement Statement 2: Adenoid cystic carcinoma can present with pain due to nerve involvement,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
Which of the following terms is used to describe granulation tissue emanating from an abscess that forms a papule?,Parulis,Fistula,Apico,Choristoma,None of the options,A,
True or False: Liposarcoma of the oral cavity has a poor prognosis and often results in death from disease within five years,True,False,,,,B,
"Why did the authors of the paper “Asymptomatic, blue, dome-shaped lesion on the buccal mucosa” exclude Kaposi sarcoma from their differential diagnosis.",Kaposi sarcoma has a rapid growth rate,Kaposi sarcoma doesn't occur on the buccal mucosa,Kaposi sarcoma cannot appear blue,Kaposi sarcoma do not appear dome-shaped,Kaposi sarcoma is not reported in females,A,
"What was the final diagnosis for the lesion discussed in the paper “Asymptomatic, blue, dome-shaped lesion on the buccal mucosa”",Pleomorphic adenoma,Hematoma,Kaposi sarcoma,Mucoepidermoid carcinoma,Canalicular adenoma,D,
