title,DAO Quiz 10 (Summer 2016),dao,quiz
question,option_a,option_b,option_c,option_d,correct,image
"The non-working condyle, in lateral movement, will perform which of the following movements?",straight forward,"downward, forward and medial",just rotate,,B,
"In the MI position, the mesiobuccal cusp of the mandibular first molar will contact?",the central fossa of the maxillary first molar,the distal fossa of the maxillary first molar,the mesial marginal ridge of the maxillary first molar,the oblique ridge of the maxillary first molar,C,
In the MI position which of the following teeth has the potential to contact both anterior and posterior teeth?,maxillary canine,mandibular canine,maxillary first premolar,,A,
Which jaw position is determined by tooth to tooth contact?,centric relation,When the posterior teeth ore in CROSSBITE postural position,MI,,C,
Anterior guidance is determined by:,centric relation,condylar guidance,horizontal and vertical overlap of the teeth,centric occlusion,C,
Two patient have the same amount of anterior vertical overlap (2mm). However patient “A” has 3mm of horizontal overlap; and patient “B” has only 1 mm of horizontal overlap. I which patient will the occlusal disengagement in protrusive occur first; and which will have the greater disengagement?,"patient “A” will disengage first, and have greater disengagement",Patient “B” will disengage first and have less disengagement,"Patient “B” will disengage first, and have greater disengagement","Patient “A” will disengage first, and have less disengagement",B,
"In protrusive movement, the palatal surfaces of the maxillary centrals contact?",incisal edges of the mandibular centrals and laterals,The incisal edge of the mandibular centrals,"the incisal edges of the centrals, laterals and canines",,A,
"In the MI position, in a class 3 occlusion, the tip of the mesiobuccal cusp of the maxillary first molar, will be in alignment with which anatomical feature on the mandibular tooth/",mesiobuccal groove of the mandibular first molar,the embrasure between the mandibular second premolar and first molar,the distobuccal groove on the mandibular first molar,The embrasure between the mandibular first and second molars,C,
"Upon examination of a patient, you discover that the patient is capable of moving into right lateral (working side movement)however, the patient is incapable of moving into left lateral (working side movement). You might conclude:",a hinge disorder of the right TMJ,a hinge disorder of the left TMJ,a translation disorder of the left TMJ,a translation disorder of the right TMJ,D,
"When the posterior teeth are in CROSSBITE relationship, Which of the following cusps are considered supporting cusps?",maxillary lingual,maxillary buccal,mandibular buccal,,B,
"When the mandible is in physiological rest position, the interarch tooth contact is?",slight,maximum,nonexistent,premature,C,
"During non-masticatory swallowing, the teeth are usually?",protruded,in working arrangement,In MI,none of the answers,C,
“Bennett movement” is?,protrusive movement of the mandible,lateral side shift of the mandible,working side movement of the mandible,,B,
"In a normal MI, the lingual cusps of the mandibular molars will oppose?",grooves only,grooves and embrasures only,marginal ridges only,marginal ridges and embrasures,B,
In a “MUTUALLY PROTECTED” occlusion:,The upper and lower molars work together to guide the dentition in function,"The anterior teeth serve to guide the dentition during movement, and the posterior teeth support the occlusion in centric occlusion",There is simultaneous contact on the right and left sides during mandibular excursions.,,B,
In contraction of the lateral pterygoid.,causes initial closure of the mandible,posterior displacement of the condyle from the articular fossa,Forward movement of the condyle in the glenoid fossa,,C,
The position of the jaw known as “EDGE TO EDGE” would be found along the line?,A to C,F to E,B to E,F to E,A,images/dao-quiz-summer-2016-10/fig17.jpeg
Which of the following is true during “LEFT WORKING SIDE movement?,The left condyle moves downward and medially,the right condyle rotates laterally and posteriorly,the right condyle moves downward and forward and medially,the left condyle moves downward and anteriorly,C,
"When going into protrusive movement, the mandibular first molar has the potential to contact?",the maxillary second premolar,the maxillary first and second premolars,The maxillary second premolar and first molar,,C,
What mandibular excursion represents the most INFERIOR point on Posselt's diagram?,maximum protrusion,centric relation,maximum opening,MI,C,images/dao-quiz-summer-2016-10/fig20.jpeg
