title,Clinical Oral Radiology Exam 2 (Fall 2022),coralrad,exam2
question,option_a,option_b,option_c,option_d,option_e,correct,image
Consider maxillary sinuses with mucosal thickening or a dome-shaped mucous retention pseudocyst. What is the internal structure of the mucosal thickening or a dome-shaped mucous retention pseudocyst?,Hypodense / dark,HYPERdense / bright,Isodense with (the same density as) soft tissue,Mixed,,C,
Sclerotic changes of the temporomandibular joints present as _________ on a CBCT.,Hypodense / dark,HYPERdense / bright,Isodense with (the same density as) soft tissue,(cannot be visualized),,B,
"You discover a well-defined, well-corticated round entity, isodense with soft tissue, associated with the crown of an unerupted tooth. This entity is most likely to be which of the following:",Periapical cyst,Dentigerous cyst,Mucous retention pseudocyst,Squamous cell carcinoma,,B,
Which of the following is NOT one of the paranasal sinuses?,Maxillary sinuses,Ethmoid sinuses,Sphenoid sinuses,Nasal sinuses,Frontal sinuses,D,
Which of the following is TRUE regarding a CT-Panoramic reconstruction / pseudopan / tru-pan?,It provides a quick overview of the teeth and jaws,It shows the same structures as a traditional panoramic radiograph,It can be used to screen for caries,The focal trough / arch section cannot be adjusted,,A,
What are the ramifications of beam-hardening artifacts in CBCT?,HYPERdense entities cause streak (beam-hardening) artifacts,Detecting recurrent carries is difficult,"Gutta percha, posts, implants, and coronal restorations may all cause beam-hardening artifacts",All of the answer choices are true,,D,
Measurements taken in the coronal plane are always true buccal-lingual measurements,True,False,,,,B,
Measurements taken in the sagittal plane are always true buccal-lingual measurements,True,False,,,,B,
A CBCT provides more information than a panoramic radiograph about the relationship between wisdom teeth and their respective mandibular canals.,True,False,,,,A,
"When obtaining a CBCT to evaluate for mandibular wisdom tooth extraction, all of the following should be examined EXCEPT one. Which is the EXCEPTION?",Proximity to the buccal and lingual plates,Proximity to the mandibular canal,Proximity to the mental foramen,The amount the roots are dilacerated,,C,
All of the following are true regarding TMJ imaging EXCEPT one. Which is the EXCEPTION?,The TMJ disc is well-visualized on a CBCT,The bony structures of the TMJ are well-visualized on a CBCT,Anterior osteophyte formation and flattening can be seen on a CBCT,Erosive and sclerotic changes can be seen on a CBCT,,A,
"If a tooth has internal resorption, its pulp chamber and/or root canals will appear:",Larger,Smaller,More HYPERdense,Blurry,,A,
Which of the following CANNOT be seen on a CBCT?,Periapical hypodensities,Periodontal bone loss,Endodontic (root canal) treatment,"All of the other answer choices can, in fact, be seen on a CBCT!",,D,
Which of the following terms best describes a single suspected disease or condition based solely on radiographic information?,Impression,Diagnosis,Prognosis,Treatment plan,,A,
Which tooth is identified by the red arrow?,#6,#11,#27,#22,,B,images/coralrad-exam2-fall-2022/fig15.jpg
Which pathological condition is best depicted for the tooth in the provided slices?,Hypercementosis,Root canal treatment,Apical periodontitis,Internal resorption,,D,images/coralrad-exam2-fall-2022/fig16.jpg
Two planes are shown in the two provided slices. Which plane is NOT shown?,Axial,Sagittal,Coronal,Frontal,,B,images/coralrad-exam2-fall-2022/fig17.jpg
"In the CT-pan view, there appears to be a circular hypodensity the anterior mandible. Pay close attention to how the focal trough is drawn in the axial slice. Also pay close attention to the cross sections on the right side of the screen. Which of the following is the best impression of this circular hypodense entity?",Periapical cyst,Buccal soft tissues,Stafne defect,Glandular odontogenic cyst,,B,images/coralrad-exam2-fall-2022/fig18.jpg
There is an entity noted around the crown of the wisdom tooth. Which of the following BEST describes its INTERNAL STRUCTURE?,"HYPERdense, like bone",Mixed radiolucent/radiopaque,Isodense with (the same density as) soft tissue,Mixed radiolucent with small circular calcifications,,C,images/coralrad-exam2-fall-2022/fig19.jpg
There is an entity noted around the crown of the wisdom tooth. Which of the following BEST describes its BORDERS?,Well-defined,Poorly-defined,,,,A,images/coralrad-exam2-fall-2022/fig20.jpg
There is an entity noted around the crown of the wisdom tooth. Which of the following BEST describes its BORDERS?,Corticated,Non-corticated,,,,A,images/coralrad-exam2-fall-2022/fig21.jpg
There is an entity noted around the crown of the wisdom tooth. Which of the following is the BEST IMPRESSION of this entity?,Periapical cyst of wisdom tooth,Pericoronitis of wisdom tooth,Dentigerous cyst of wisdom tooth,Mucous retention pseudocyst of maxillary sinus,,C,images/coralrad-exam2-fall-2022/fig22.jpg
"Based on the axial image, which mandibular condyle appears more irregular in shape?",Right mandibular condyle,Left mandibular condyle,,,,B,images/coralrad-exam2-fall-2022/fig23.jpg
"In cross sections of the TMJ, flattening is present.",True,False,,,,A,images/coralrad-exam2-fall-2022/fig24.jpg
"In cross sections of the TMJ, sclerosis is present.",True,False,,,,A,images/coralrad-exam2-fall-2022/fig25.jpg
"In cross sections of the TMJ, anterior osteophyte formation is present.",True,False,,,,A,images/coralrad-exam2-fall-2022/fig26.jpg
"In cross sections of the TMJ, erosive changes are present.",True,False,,,,A,images/coralrad-exam2-fall-2022/fig27.jpg
"In cross sections of the TMJ, degenerative changes are present:",At the mandibular condyle only,At the articular eminence only,At both the mandibular condyle and the articular eminence,At neither the mandibular condyle nor the articular eminence,,C,images/coralrad-exam2-fall-2022/fig28.jpg
Which tooth has been root canal treated?,#1,#2,#3,#4,,C,images/coralrad-exam2-fall-2022/fig29.jpg
Which of the follow best describes the periapical region?,Within normal limits,Hypodense,HYPERdense,,,B,images/coralrad-exam2-fall-2022/fig30.jpg
Which of the following is the BEST IMPRESSION of this finding?,Dentigerous cyst,Periapical lesion,Periodontal bone loss,Normal anatomy,,B,images/coralrad-exam2-fall-2022/fig31.jpg
There is an entity indicated by an arrow. Which of the following best describes the BORDERS of the entity?,Well-defined,Poorly-defined,,,,A,images/coralrad-exam2-fall-2022/fig32.jpg
There is an entity indicated by an arrow. Which of the following best describes the INTERNAL STRUCTURE of the entity?,Hypodense compared to dentin,HYPERdense compared to dentin,,,,A,images/coralrad-exam2-fall-2022/fig33.jpg
The entity is also visualized in the axial slice. Which of the following best describes the LOCATION of the entity?,Distal of #14,Disto-lingual-cervical of #3,Mesio-cervical of #15,Disto-buccal-occlusal of #2,,B,images/coralrad-exam2-fall-2022/fig34.jpg
"You notice that the tooth containing the unknown entity also has a small restoration and does not appear to causing beam-hardening artifacts. Given this information, what is the BEST IMPRESSION of the entity indicated by the arrow?",Dental caries,Beam-hardening artifacts,Internal resorption,Cervical burnout,,A,images/coralrad-exam2-fall-2022/fig35.jpg
In what plane are all four of these slices?,Axial,Frontal,Sagittal,Oblique,,B,images/coralrad-exam2-fall-2022/fig36.jpg
"In this 15-year-old patient, which of the following is the BEST impression of the entity indicated by the red arrow?",Impacted molar,Tooth in the nose,Impacted supernumerary tooth,Unerupted premolar,,C,images/coralrad-exam2-fall-2022/fig37.jpg
Which tooth has a root fracture?,#4,#5,#12,#13,,B,images/coralrad-exam2-fall-2022/fig38.jpg
Which of the following red arrows BEST indicates the location of the alveolar crest? (I kept all the arrows the same color to ensure the exam is colorblind-friendly.),Arrow A,Arrow B,Arrow C,None of the arrows points to the alveolar crest,,B,images/coralrad-exam2-fall-2022/fig39.jpg
"Based on the provided slices, which central incisors, if any, are fractured?",#8 and #9,#8 only,#9 only,Neither #8 nor #9,,A,images/coralrad-exam2-fall-2022/fig40.jpg
Which of the following is the BEST impression of the maxillary sinuses?,"Clear, filled only with air",Filled with fluid,Left and right maxillary sinus mucous retention pseudocysts,Mucosal thickening,,D,images/coralrad-exam2-fall-2022/fig41.jpg
Which term best describes the “black areas” indicated by the arrows?,Osteomyelitis,Beam-hardening artifacts,Peri-implantitis,Infection,,B,images/coralrad-exam2-fall-2022/fig42.jpg
There is a lesion near the floor of the left maxillary sinus. Which of the following best describes its borders?,Poorly-defined and non-corticated,Well-defined and well-corticated,Well-defined but non-corticated,Poorly-defined and well-corticated,,B,images/coralrad-exam2-fall-2022/fig43.jpg
There is a lesion near the floor of the left maxillary sinus. Which of the following best describes its borders?,It is arising from the left maxillary sinus,It is attached to the apex of tooth #15,It appears to arise from the left maxillary sinus AND is attached to tooth #15,It appears independent of both the left maxillary sinus AND tooth #15,,B,images/coralrad-exam2-fall-2022/fig44.jpg
"There is a lesion near the floor of the left maxillary sinus. Based on your observations, which of the following is the BEST impression?",Mucous-retention pseudocyst,Periapical lesion,Cemento-osseous dysplasia,Nasal polyp,,B,images/coralrad-exam2-fall-2022/fig45.jpg
"In the sagittal slice, you note #13 and #12 have intracoronal hypodensities. You also note that there are multiple restorations on surrounding teeth. Which of the following is the BEST impression of the hypodensities?",Dental caries,Periodontal disease,Beam-hardening artifacts,Fixed partial denture,,C,images/coralrad-exam2-fall-2022/fig46.jpg
