title,Preclinical Pediatric Dentistry Final Exam (Spring 2020),pedo,final
question,option_a,option_b,option_c,option_d,correct,image
"In the permanent dentition, premolars erupt before the canine in the mandible. In the permanent dentition, premolars erupt before the canine in the maxilla.",The first statement is true; the second statement is false.,The first statement is false; the second statement is true.,Both statements are true.,Both statements are false.,B,
Which type of occlusion is the most desirable and most common in the primary dentition?,Mesial step,Distal step,Flush terminal plane,Class I,C,
All of the following is true about primate space except:,A naturally occurring space in the primary dentition,Closes with the late mesial shift,Is between the lateral incisor and canine in the maxilla,Closes with eruption of the first permanent molar,B,
The leeway space:,Is the difference in combined width between the primary canine and molars and the permanent canine and premolars,Is the difference in combined width between the primary canine and molars and the permanent canine and molars,Is greater in the mandible than the maxilla,Closes with the early mesial shift,A,
A good reason for a pedi-partial is:,To maintain space in the posterior,It is easy for the patient to care for,Esthetics,It is unlikely to break,C,
All of the following are true of ectopic eruption except:,Can correct itself,Resorption of the distal root of the primary second molar may occur,Can be diagnosed with pan or bitewings,Infra-eruption of the opposing dentition occurs,D,
A 5 year old child (who’s dental age corresponds to his chronological age) with SECC and abscessed tooth #J may require:,An extraction and band and loop space maintainer,An extraction and Nance,An extraction and distal shoe,A pulpotomy and stainless steel crown,C,
"An 8 year old child, who it is determined needs fluoride supplementation, would receive a prescription for:",1 mg fluoride,0.5 mg fluoride,0.25 mg fluoride,Depends on the child’s weight,A,
Epstein Pearls are:,Formed along the buccal and lingual aspects of the dental ridges,Formed along the midpalatine raphe,Found on the tongue,Surgically removed,B,
"If fluoride toxicity is suspected, the patient should:",Induce vomiting and go to ER,Go to ER,Wait at home,Ingest milk or calcium carbonate and go to ER,D,
Permanent teeth begin to calcify at approximately four months in utero. Maxillary and mandibular central incisors are the first permanent teeth to calcify.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,Both statements are true.,Both statements are false.,A,
The following teeth are primary lateral incisors:,"B,I,L,S","D,G,N,Q","C,H,M,R","D,E,O,P",B,
All of the following are characteristics of Hand Foot Mouth disease except:,"Symptoms include oral vesicles and skin lesions, fever, lymphadenopathy",It is more common in children than adults,It is treated with amoxicillin,Incubation period of 3-6 days,C,
Watching an older sibling behave appropriately in a dental chair is a form of:,Positive reinforcement,Modeling,Tell/ Show/ Do,Distraction,B,
"The treatment of choice for a typically developing child, dental age 11, with a symptomatic tooth S that has decay extending into the pulp but no furcal involvement, is:",Pulpotomy and SSC,Pulpectomy and SSC,Composite resin,Extraction,D,
Apexification is an appropriate pulp therapy treatment for:,A primary second molar before the 6 year molar erupts distally to it.,A fully developed permanent tooth,A young permanent necrotic tooth,A young permanent vital tooth,C,
Buckley’s formocresol:,Is bacteriostatic,Should be left in the pulp chamber until the tooth exfoliates,Induces hard tissue formation- dentin bridging,Causes tissue fixation at the coronal level,D,
A 3 year old patient avulsed a primary central incisor 60 minutes ago. What is the treatment of choice?,Reimplant and splint,"Reimplant, splint, and pulpectomy","Reimplant, splint, and formocresol pulpotomy",None of the answer choice,D,
Which of the following is a contraindication for performing a pulpotomy on a primary molar?,A 3 year old patient,A furcation radiolucency,Abscess associated with the tooth,"""A furcation radiolucency"" and ""Abscess associated with the tooth""",D,
"A one year old patient has her first dental visit. The dentist reviews dental hygiene, teething tips, fluoride status and bottle / nursing feeding. The term that best describes this proactive approach is called:",Caries risk assessment,Anticipatory guidance,Caries Management Plan,Motivational interviewing,B,
Most natal and neonatal teeth are primary teeth. They should always be extracted.,Both statements are true,"The first statement is true, the second statement is false","The first statement is false, the second statement is true",Both statements are false,B,
Where do lesions commonly occur in primary herpetic gingivostomatitis?,Buccal Mucosa,Tongue,Gingiva,All of the answer choices,D,
Which parenting style is associated with decisions made by the child and the parent demonstrating low affection/ low rules?,Neglectful,Permissive,Authoritarian,Authoritative,A,
The appliance depicted below is an example of a,Lower lingual holding arch,Band and loop,Nance,Upper lingual holding arch,C,images/pedo-final-spring-2020/fig24.jpeg
The picture below depicts a:,Distal shoe,Band and loop,Nance,Crown and loop,B,images/pedo-final-spring-2020/fig25.jpeg
Which of the following is a contraindication for the full coverage of primary teeth?,Posterior teeth with excessively large interproximal lesions,intermediate restoration of fractured teeth,Anterior and posterior teeth which have undergone pulpal therapy,None of the answer choice,D,
The treatment of choice for the lower right first primary molar shown in the radiograph is:,Allow to exfoliate,Pulpotomy,Extraction and space maintainer,SDF,C,images/pedo-final-spring-2020/fig27.jpeg
Battle’s sign is:,A bruise at the base of the skull that indicates fracture,A rash that is pathognomonic for measles,A major apthous ulcer,Treated with antibiotics,A,
"A child who presents with contusions, lacerations, displaced teeth and burns to the oral cavity should be suspected of:",Having a cellulitis,Having primary herpetic gingivostomatitis,Having an allergic reaction,Having been abused,D,
"How many carpules of 2% lidocaine with 1:100,000 epinephrine can we safely give a patient who weighs 44 pounds?",1,2,4,5,B,
All of the following are advantages of using a rubber dam except:,Infection control,Enhances effects of nitrous,Improved communication with the patient,Airway protection,C,
Mucous retention in the floor of the mouth is called a:,Mucocele,Ranula,Apthous ulcer,Congenital epulis of the newborn,B,
Sealants should always be placed on all permanent teeth. Occlusal surfaces constitute the most caries susceptible sites.,Both statements are true,Both statements are false,The first statement is true and second statement is false,The first statement is false and second statement is true,D,
The antibiotic of choice for a patient with penicillin allergy is:,Pen VK,Amoxicillin,Clindamycin,Erythromycin,C,
The correct dosage for amoxicillin to treat a dental infection for a child under 40kg is:,25-45mg/kg/day every 12 hours,50 mg/kg/day,500-875 mg every 12 hours,2g every 12 hours,A,
A PRR,requires local anesthesia,uses an amalgam as a restoration,is a conservative restoration,is done with a diamond bur,C,
What is the appropriate treatment for an intruded tooth F that we can see half of the clinical crown?,Do nothing and monitor,Reposition and splint,Build up the tooth with resin,Extraction,A,
SDF would not be appropriate for:,a patient concerned with esthetics,a patient with silver allergy,a patient with decay extending into the pulp,All of the answer choices,D,
All of the following are true regarding SDF except:,has been shown to be effective in arresting caries,treated areas usually turn black,re-application may be necessary,Fluoride varnish should be applied before SDF,D,
Which is not a benefit of restorative dentistry?,To prevent the spread of infection into the pulp,To stop the progression of remineralization,To prevent shifting of teeth due to loss of tooth structure,To restore the integrity of tooth structure,B,
Resin infiltrate:,arrests caries at an early stage,turns caries black,requires local anesthesia,uses 37% phosphoric acid etch,A,
