title,Fixed Prosthodontics Midterm Exam 3 (Fall 2017),fixedpros,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following is NOT a Noble metal?,Ag,Au,Pd,Cu,None of the above,,D,
The amount that an alloy can stretch before it breaks is referred to as?,Modulus of Elasticity,Deformation,Percent Elongation,Burnishability,Yield Strength,,C,
"The CIE system of color measurement measures Hue, Chroma and Value?",True,False,,,,,B,
Zinc Oxide is the primary powder component of which cements?,Glass Ionomer,Zinc Phosphate,Carboxylate cement,b and c,None of the above,,D,
The pontic design that MOST approximates a natural tooth is?,Ovate,Saddle,Bullet,Ridge Lap,None of the above,,B,
"The Munsell Color system is used for measuring the color of light sources and objects, while the CIE system is used for measuring the color of objects only?",True,False,,,,,B,
The ProTemp provisional material we have been using in lab is a Polymethylmethacrylate?,True,False,,,,,B,
"When placing the margin of a crown, IDEALLY, the margin should be placed?",Supragingival,Finished on sound tooth structure,Subgingival,a and b,None of the above,,D,
"When designing a post-core, stress distribution is of _______ importance than retention?",Lesser,Equal,Greater,,,,C,
"When measuring dental alloys, a pennyweight is:",50 grams,200 mg,31.1 grams,24 grains,None of the above,,D,
"When discussing the physiology of color perception, retinal rods function to?",Capture night vision,Capture color,Both,Neither,,,A,
"When discussing the Stress/Strain curve, the Modulus of Elasticity is above or below the Plastic Region?",Above,Below,,,,,B,
"When you place a pontic into a ridge concavity and esthetics is of primary concern, the pontic design of choice is?",Saddle,Ovate,Hygienic,Sanitary,None of the above,,B,
Which of the following is the BEST first procedure when inserting a crown?,Check margins,Check occlusion,Check proximal contact,Check internal surfaces for imperfections,,,C,
The test used to detect Color Blindness is called?,Hiroshima Test,Mitsubishi Test,Ishihara Test,Farkas Test,,,C,
The tip of a pontic(s) in a fixed prosthesis should always extend beyond the mucogingival junction to avoid tissue irritation?,True,False,,,,,B,
Bisacryl provisional material requires a light source to cure?,True,False,,,,,B,
The least retentive post-core design is?,Tapered,Cylindrical,Screw,b and c,,,B,
The term Hue refers to the saturation (intensity) of color?,True,False,,,,,B,
You are inserting a casting and it does not seat well. Which of the following errors are usually the fault of the dentist?,Casting errors,Die inaccuracies,Poor investment of pattern,Preparation undercuts,b and d,,E,
A Troy ounce is?,24 grains,200 mg,31.1 grams,28.4 grams,None of the above,,C,
The Brinell Scale is a measure of,Elasticity,Yield Strength,Hardness,Melting temperature,None of the above,,C,
Which of the following provisional materials is the easiest to polish with pumice?,PMMA,Bisacryl,Both,Neither,,,A,
The term Metamerism refers to :,Reflection of light,Refraction of light,The difference in the absorption and scattering of light,None of the above,,,C,
The retention of a post is INVERSELY proportional to the length of the post?,True,False,,,,,B,
"When discussing the composition of dental solders, the component silver?",Narrows melting temperature range,Increases solder flow,Increases adherence of solder to metal,b and c,All of the above,,E,
"When comparing Bisacryl and PMMA provisional materials, the material that exhibits lower wear rate is?",Bisacryl,PMMA,,,,,A,
"When using the ADA Alloy Classification System, an alloy with less than 25% noble metal is classifies as what type of dental alloy?",High Noble Alloy,Non Precious Alloy,Noble Alloy,Predominantly Base Alloy,b and d,,E,
Which of the following dental cements have Polyacrylic acid as the primary liquid component?,Glass Ionomer,Carboxylate,Silicate cement,a and c,None of the above,,D,
Which of the following provisional material releases heat while curing?,PMMA,Bisacryl,Both,Neither,,,A,
You are designing a pontic for a patient who has extensive maxillary anterior ridge loss. The pontic design of choice is?,Ridge Lap,Ovate,Sanitary,Saddle,None of the above,,A,
A minimum of _______ mm of gutta percha should remain after post preparation?,2 mm,1 mm,3 to 5 mm,7mm,,,C,
Rigid Connectors are?,Cast connectors,Soldered conectors,Both,Neither,,,C,
The technique of Post-soldering allows you to solder before porcelain application?,True,False,,,,,B,
A High Noble dental alloy must have at least 50% Noble metal?,True,False,,,,,B,
Which of the following dental cements release fluoride?,Zinc Phosphate,Polycarboxylate,Silicate cement,Glass ionomer,a and b,c and d,F,
Zinc phosphate cement is more soluble than glass ionomer?,True,False,,,,,B,
When discussing components of dental cement Bis-Gma is very hydrophobic?,True,False,,,,,B,
The filler in Bisacryl provisionals is?,Unfilled resin,Silane treated ceramic,Neither,Both,,,B,
The MOST common type of alveolar ridge deformity is?,Class I,Class II,Class III,Class IV,None of the above,,C,
It is acceptable to leave some cement and gutta percha on the walls of a post-core preparation?,True,False,,,,,B,
Increasing the depth of a solder joint has the same effect as increasing the width of the joint,True,False,,,,,B,
Which of the following has the LOWEST strength?,Zinc Oxide,Carboxylate,Calcium hydroxide,Polymer modified cement,None of the above,,C,
It is a good idea to dry a prosthesis prior to cementation and leave the tooth wet?,True,False,,,,,B,
Polymethylmethacrylate provisionals are IDEALLY mixed in what powder to liquid ratio?,1:1,3:1,2:1,4:1,None of the above,,B,
Increasing the diameter of a post decreases the strength of the remaining root?,True,False,,,,,A,
A mid pontic solder joint is weaker than an interproximal solder joint?,True,False,,,,,B,
