title,Endodontics Final Exam (Spring 2021),endo,final
question,option_a,option_b,option_c,option_d,correct,image
Regarding to ideal properties of root canal obturation materials: which statement is false?,It should not irritate periapical tissue,It should expand slightly when inserted as this will better seal the canal,It should seal the canal laterally as well as apically,It should be easily removed from the root canal if necessary,B,
Which irrigant is used during retreatment to soften gutta percha?,EDTA,Sodium hypochlorite,Chlorhexidine,Chloroform,D,
Which stamen is false regarding our x-ray protocol?,Pre-op x-ray: rubber dam off,File shot WL x-ray: rubber dam on,Cone fit x-ray: rubber dam off,Post-op x-ray: rubber dam off,C,
The most effective irrigant for removing bacterial biofilms from the canal is:,EDTA,Sodium hypochlorite,Chlorhexidine,Chloroform,B,
"This irrigant has antibacterial substantivity in dentine for up to 12 weeks. Due to this, some use it as an inter-visit medicament.",Ca(OH)2,Chlorhexidine,Sodium hypochlorite,Chloroform,B,
The apex locator helps you determine the location of the:,Apical foramen,Apical junction,Apical constriction,Anatomical apex,C,
Cleaning and shaping of the root canal is accomplished by the ‘dynamic duo’ of instrumentation and obturation.,True,False,,,B,
Which file is uniquely used when retreating a root canal?,Hedstrom file,K file,C file,Reamer,A,
A size 20 k file has a tip size of:,20 mm,0.2 mm,0.02 mm,2.0 mm,B,
All k files are:,02 taper,04 taper,06 taper,No taper,A,
A tighter more calcified canal might be better suited to a 06 taper as this will facilitate a better disinfection of the canal.,True,False,,,B,
You are about to start a root canal on tooth #6. What length files should you have available?,21,25,31,35,C,
Upon access into the pulp chamber you notice allot if bleeding. You are unsure where the canals are located. When you try to obtain a working length the apex locator consistently gives you a red (unpredictable) reading. The next step would be to:,Continue instrumentation to larger size files which will likely stop the bleeding,Irrigate the canal with sodium hypochlorite which should stop the bleeding.,Take a radiograph without a file in the canal,Take a radiograph with the file in what you think is the canal,D,
Upon access of tooth #6 you notice that pus is draining from the canal. The likely pulpal diagnosis is:,Pulp necrosis,Irreversible pulpitis,Apical periodontitis,Chronic apical abscess,A,
After instrumenting a canal with a working length of 22 mm you decide to fit your gutta percha cone. You notice that your cone consistently fits to 21 mm. What do you do next?,Re-instrument the canal to 23 mm,Re-instrument the canal to 22 mm,Leave alone,Cut the cone back by 0.25-0.5 mm,B,
The best method for access into the pulp chamber is to drill until you feel a 'drop' with the bur which means you have entered the pulp chamber.,True,False,,,B,
The most common root canal configuration for the maxillary first premolar is:,"2 roots, 2 canals","1 root, 2 canals","3 roots, 3 canals","2 roots, 1 canal",A,
Mandibular central and lateral Incisors have one root and one canal about 90% of the time.,True,False,,,B,
The most common tooth to have a c-shaped anatomy is the:,Mandibular 1st molar,Mandibular 2nd molar,Maxillary 1st molar,Maxillary 2nd molar,B,
It is possible that a tooth might need a root canal even in the absence of any inflammation or infection.,True,False,,,A,
A 35 year old patient presents to your office with a chief complaint of hot and cold sensitivity. The patient also reports that the pain kept him up last night. Upon clinical exam you notice tooth #31 has a pinpoint pulpal exposure. The treatment of choice is:,Indirect pulp capping,Direct pulp capping,Root canal therapy,Partial pulpotomy,C,
Patient presents with mild discomfort on tooth #30. You take a radiograph and notice that this tooth has a large periapical radiolucency on the distal root. The tooth does not respond to vitality testing. Based on the information given the best course of action at this point is:,Root canal therapy,Antibiotics for 1 week,Incision and drainage,All of the answers,A,
Excessive bleeding during a pulpotomy is a good indicator that the pulp is healthy.,True,False,,,B,
Conservative pulpal treatments are best for teeth with which diagnosis?,Reversible pulpitis,Irreversible pulpitis,Pulpal necrosis,Apical periodontitis,A,
"Dentin that is demineralized but with the collagen structure still largely intact, is assumed to be bacteria free, and still has the potential for remineralization. This describes:",Tertiary dentin,Infected dentin,Affected dentin,Secondary dentin,C,
8 year old patient presents to your office with a trauma that fractured tooth #9. The pulp is exposed and the patient is now experiencing some minor temperature sensitivity. The best option for treatment would be.,Root canal therapy,Apexogenesis,Apexification,No treatment,B,
The last x-ray that needs to be taken during a root canal is:,Working length x-ray with file in place-  Rubber dam must be on for this x-ray,After obturation with gutta percha - rubber dam must be off for this x-ray,After obturation with gutta percha - rubber dam must be on for this x-ray,Master Cone X-ray with all master cones in place - Rubber dam must be on for this x-ray,B,
Tooth #31 has a large periapical radiolucency with an associated sinus tract. You are unable to initiate root canal during today’s visit. The best course of action would be to prescribe an antibiotic for 1 week until you can see the patient for treatment.,True,False,,,B,
The nerve fibers responsible for cold sensitivity are:,A delta fibers,A beta fibers,C fibers,Sympathetic fibers,A,
Which is true of C fibers?,Traverse the odontoblastic layer and terminate in the dentinal tubules,They are lightly myelinated,Respond to cold sensitivity,They are unmyelinated,D,
