title,Endodontics Midterm Exam (Spring 2022),endo,midterm
question,option_a,option_b,option_c,option_d,correct,image
"Because files contact all the walls of the root canal, the role of irrigation is only secondary to instrumentation.",True,False,,,B,
The apex locator measures:,Apical foramen,Apical delta,Apical constriction,CEJ,C,
"A thorough pre-op clinical exam, with or without a radiograph, is needed prior to initiating root canal therapy.",True,False,,,B,
"As you increase the size of the k-file, the flexibility increases as well.",True,False,,,B,
The hedstrom file is mostly used for calcified or curved canals:,True,False,,,B,
A size 40 k-file will usually have what taper?,02,04,06,08,A,
A 30 k-file has a tip size of:,.03 mm,.30 mm,3.0 mm,.003 mm,B,
On average most canals should be instrumented to what size file?,20,25,35,45,C,
When instrumenting a calcified canal of a lower molar the most suitable tapered instrument is usually an 06 taper:,True,False,,,B,
Most lower incisors will require 31 mm length files:,True,False,,,B,
"After instrumenting a canal with the ‘purple' k-file, it is time for NiTi rotary use.",True,False,,,B,
"When you are ready to obturate the canal, the gutta percha fits to your working length but without tug back. What is the next step?",Select a larger cone,Select a smaller cone,Instrument the canal one size higher,Cut the cone back,D,
The best way to remove the smear layer is with:,Chlorhexidine,Sodium hypochlorite,Chloroform,EDTA,D,
Disinfection of the root canal is carried out primarily with instrumentation.,True,False,,,B,
Working length is determined primarily by:,Radiographic interpretation,Apex locator,Both A and B,None of the above,C,
The access outline for tooth #9 is:,Oval,Round,Triangular,Rhomboid,C,
The access preparation for the maxillary central incisor should clear the incisal edge by:,1 mm,1.5 mm,2.5 mm,4 mm,C,
The biggest issue with not removing tissue in the pulp horn of tooth #9 is:,Residual pain,Residual infection,Tooth discoloration,Leakage,C,
The most common root configuration for the maxillary 1st premolar is:,1 root 2 canals,2 roots 1 canal,2 roots 2 canals,1 root 1 canal,C,
The mesial extent of the access preparation for the maxillary molar should be ≥1.0 mm from the mesial marginal ridge:,True,False,,,B,
One of the disadvantages of using lateral condensation is the excess use of heat which can cause damage to the PDL.,True,False,,,B,
Vertical condensation is a form of:,Instrumentation,Irrigation,Obturation,Disinfection,C,
One of the disadvantages of lateral condensation is that is can precipitate root fractures:,True,False,,,A,
"The best isolation technique for a tooth that is difficult to clamp is to use single tooth isolation, as this will prevent leakage.",True,False,,,B,
A necrotic pulp will often have a lingering painful response to vitality testing.,True,False,,,B,
It is important to make sure the entire canal is properly disinfected. The best way to ensure that the irrigant reaches the apex is to place the tip of the irrigating syringe as close to the apex as possible.,True,False,,,B,
Sodium hypochlorite works best as an irrigant because it:,Has broad spectrum antimicrobial activity,Dissolves inorganic material,Has a pleasant odor and taste if inadvertently swallowed.,All of the above,A,
One of the best ways to avoid a sodium hypochlorite accident is to make sure the needle tip is wedged into the canal to avoid back splatter:,True,False,,,B,
Chlorhexidine:,Is the primary irrigant used during root canal therapy,Contains broad spectrum antimicrobial activity,Dissolves inorganic tissue,Dissolves organic tissue,B,
Radiographically a periapical lesion is noted at the apex of the mesial root of #30. Clinically a fistula is noted which when traced leads to the lesion on the mesial root. The periapical diagnosis for this tooth is:,Asymptomatic apical periodontitis,Acute apical abscess,Chronic apical abscess,Symptomatic apical periodontitis,C,
