title,Complete Dentures Quiz 2 (Fall 2017),cd,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
The shape of anterior teeth includes which of the following.,Square,Tapering,Ovoid,All of the above,,D,
Which facial type is widest at the hairline and narrowest at the angles of the jaw.,Square Face,Square tapering ovoid Face,Tapering Face,Ovoid Face,,C,
Which facial type is where the sides of the face from the hairline to the levels of the condyles to the angles of the jaw are straight and parallel.,Square Face,Square tapering ovoid Face,Tapering Face,Ovoid Face,,A,
Which facial type is where the sides of the head are parallel from the condyles upward. From the condyles downward along the sides of the face the outline tapers in to the angles of the jaw.,Square Face,Square Tapering Face,Tapering Face,Ovoid Face,,B,
Which facial type is widest through the center at the level of the condyles. It curves upward and downward to form an oval outline.,Square Face,Square Tapering Face,Tapering Face,Ovoid Face,,D,
Posterior tooth size is measured from.,The distal of the canine to the ascending slope of the mandible,Interpupillary distance,Ala - Tragus line,Vertical Dimension of occlusion,Commissures of the mouth,A,
What is the result of setting teeth on an incline.,Denture has no negative effect,Denture will become more stable,Denture will be more retentive,Denture will become unstable,,D,
Posterior teeth that are monoplane have an inclination of,10 degrees,15 degrees,0 degrees,20 degrees,,C,
The higher the inclination of the cusp.,The more the pressure on the ridge,The less pressure on the ridge,Has no effect on the pressure on the ridge,,,A,
The traditional cusp fossa relationship of molar teeth,Are more difficult to balance,Are less difficult to balance,Have no effect on the balancing relationship,Are inappropriate for use in dentures,,A,
What type of teeth ae used in a lingualized occlusion.,20 degree,10 degree,0 degree,15 degree,,C,
In a lingualized occlusion the lingual cusp of the upper posterior teeth.,Are not in occlusion,Are set lingually to prevent tongue biting,Are set above the retromolar pad,Are tilted buccaly,,D,
In a lingualized occlusion the lingual cusp of the upper posterior teeth.,Touches the flat plane of the lower teeth,Are in the same plane as the buccal cusps of the upper posterior teeth,Do not contact the mandibular teeth,Are set on the ascending slope of the mandible,,A,
A lingualized occlusion resembles what type of relationship.,A balanced occlusion,Mortar and pestle,Cusp fossa relationship,A Cross bite,,B,
In a lingualized occlusion the lingual cusp of the upper posterior teeth.,Are easier to balance,Upper teeth can be set more buccally to support the cheek,Eliminates cheek biting,All of the above,,D,
The maxillary central incisors should be set.,On the Ridge,8-10 mm anterior to the incisive foramen,Lingual to the ridge,Lingual to the lower central incisors,,B,
The Maxillary central incisors should be set.,On the occlusal plane,On a horizontal line drawn from the center of the face,Parallel to the Ala-Tragus line,Perpendicular to the interpupillary line,,A,
The most exact means of determining a patients' midline is by.,The median raphe of the palate,The midline of the incisive papilla,A line scribed on the occlusal rim from the midline of the patients' face,None of these,,C,
Which is the primary objective of setting denture teeth.,Set the teeth such that the occlusal forces are distributed at right angles to the crest of the ridge,Set the teeth such that only the lingual cusps of the mandibular teeth are in contact,Set the teeth such that the anterior teeth have light contact,Set the teeth such that teeth are canine protected,,A,
Where should the occlusal plane be located,At the commissures of the mouth,At the dorsum of the tongue,Both of the above,None of the above,,C,
