title,Practice Management I Final Exam (Spring 2021),pmgmt1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
What type of business structures are the LEAST suitable for a person who does not want to be personally responsible for business liabilities and debts (Select all that apply):,Limited Liability Company (LLC),Sole proprietorship,S Corp,C Corp,Partnership,B,
Select from the following common transactions that would be considered tax-deductible for a dental practice (Select all that apply):,Dental school tuition,Continuing education costs,Travel expenses (commute),Dental tools and supplies,,D,
Which of the following factors is an important indicator when valuing and purchasing a dental practice:,Location,Young and growing patient base,General dentistry practices sell for around 65-75% of its annual gross receipts (may be variable based on circumstances),All of the answers,,D,
"In most PPO plans, the insurance companies’ table of fees are generally higher than the dentist’s UCR fees.",True,False,,,,B,
Which organization updates and oversees the CDT codes that regulate the practice of dentistry:,Occupational Safety & Health Administration,The State Board of Dentistry,Department of Labor,Department of Environmental Protection,American Dental Association,E,
The principle that concerns the level of knowledge and skill of the practitioner that must be maintained through continuing education.,Autonomy,Veracity,Justice,Beneficence,None of the above,E,
What practice concerns withholding information due to the clinician’s belief that the information may harm the individual:,Justice,Veracity,Benevolent Deception,Distributive Justice,,C,
Which of the following is a law enacted by the state legislature and signed by the governor into law.,Statute,Regulation,Neither,,,A,
"In order for a provider to receive compensation directly from an insurance company, what specific information must be authorized by the patient?",Statement of Actual Services,Pre-authorization of actual services,Assignment of Benefits,Coordination of Services Statement,None of these,C,
Which dental malpractice plans requires the purchase of a tail to ensure coverage after premiums have been terminated?,Occurrence Policy,Claims-made Policy,Neither,Both of these,,B,
When are profits for a sole proprietor dentist in private practice generated?,as gross receipts are calculated,after all expenses and employee salaries are paid,once insurances payments are posted,none of the answers,,B,
"In regard to insurance submission, a person may be guilty of insurance fraud if","one knowingly makes a false, fraudulent, or misleading statement",omits a material fact from the claim form,"one knowingly makes a false, fraudulent, or misleading statement, and also omits a material fact from the claim form",None of the answers,,C,
In a sole proprietorship legitimate business expenses are deductible.,True,False,,,,A,
A dentist working in the federal service can retire after 25 years.,True,False,,,,A,
"As discussed in the lecture, what is the most important factor to prevent a lawsuit from a patient?",Proper documentation,Accurate health history,A clear doctor-patient understanding,Informed consent,,C,
What is required in order to terminate the doctor-patient relationship?,Multiple cancelled appointments,Complex medical history,Proper notification,Denial of treatment plan,All of the answers,C,
"When purchasing malpractice insurance, the premium generally reflects the maximum the insurance company will pay for a claim against the dentist.",True,False,,,,A,
"If a dentist purchases a $1-3 million malpractice insurance policy, the maximum amount of coverage for a single claim is:",$1 million,$2 million,$3 million,None of the answers,,A,
Select all that are true regarding Workers Compensation policies:,Workers’ compensation policies are a mandatory for all employers,Rates are set by the state,A sole proprietor can be covered under the policy,All of these,None of these,D,
The patient’s decision is an example of which ethical principle:,Beneficence,Patient autonomy,Maleficence,Veracity,,B,
"Regardless of the patient’s desire to extract the remaining teeth, all treatments must be within the standard of care.",True,False,,,,A,
Which principle is not characterized by this scenario.,Patient autonomy,Distributive justice,Informed consent,Nonmalfience,,D,
The lack of the ability for that patient to afford care is an example of which of the following:,Patient autonomy,Standard of care,Informed refusal,Veracity,Distributive Justice,E,
The principle that would avoid the consequences of an infection is the ethical principle of:,Nonmalfience,Patient autonomy,Veracity,Distributive justice,,A,
A general dentist who is uncomfortable with extracting an impacted third molar should refer the patient to an appropriate specialist or practitioner because it should not be deemed in their scope of practice,True,False.,,,,A,
A general dentist should not perform services outside of the perioral region because it is not considered:,The standard of care,Scope of practice,Informed consent,Veracity,None of the answers,B,
