title,Orthodontics Final Exam (Spring 2022),ortho,final
question,option_a,option_b,option_c,option_d,correct,image
"Posterior crossbite ""with a shift"" refers to a shift of what?:",The mandible forward,The mandibular midline to the side of the crossbite,The mandibular midline to the opposite side of the crossbite,The maxillary midline,B,
Surgically assisted Rapid palatal expansion is indicated in,Adolescent boys,Girls aged 10-12,Adults,All children under 9,C,
Which is TRUE of bilateral posterior crossbite?,Usually requires expansion with expander,Usually associated with a shift of the lower midline,Is seen only in children,Is an antero-posterior problem,A,
A maRPE is an expander with:,Bands only on the molars,Bands only on molars and premolars,Bands on molars and mini-implants in the palate,Surgery required to open the sutures,C,
Which is TRUE of anterior crossbite:,Can cause lower incisors to move labially off the bone,Can be seen in Class III patients,Can involve multiple teeth,All of the above,D,
Anterior crossbite of one tooth:,Is a rare occurence,Should be observed and followed,Should be treated as soon as possible,Has no effect on the opposing dentition,C,
"During Stage 1 of orthodontic treatment, which of the following is accomplished:",Levelling of the Occlusal Plane,Space closure,Class 2 or Class 3 correction,Finishing details,A,
Which is TRUE of impacted canines?,Only present in the Maxilla,Are always on the lingual side of the arch,Are best diagnosed using the “slob” rule,Maxillary impactions are usually treated with canine exposure,D,
Which are helpful tools in diagnosing possible maxillary canine impaction?,Palpation of the ridge to feel for the unerupted canine,Baseline panoramic film at age 9,Looking for splayed maxillary laterals,All of the above,D,
"During Stage 2 of orthodontic treatment, which of the following is accomplished:",Elimination of rotations,Levelling of the occlusal plane,Class 2 or Class 3 correction,Finishing details,C,
Which of the following is NOT a good treatment option for an impacted mandibular canine?,Extraction of the impacted canine and implant replacement,Extraction of the impacted canine and extraction of bicuspids in the other 3 quadrants,Extraction of the impacted canine and substituting a lower incisor for the canine,Exposure of the impacted canine where there is risk of periodontal compromise,D,
What is a common problem seen in cases with a buccally impacted maxillary canine?,Resorption of the root of the adjacent lateral,Difficulty in exposing the impacted canine,Difficulty in diagnosing the impaction,Resorption of the root of the adjacent first bicuspid,A,
Which of the following is TRUE about developing maxillary canine impaction?,Extraction of deciduous canines will not help,Extraction of deciduous canines allows the permanent canines to erupt better,Should be diagnosed after full eruption of permanent teeth,Is a very rare problem,B,
"Using the Palmer system, transposition of a maxillary canine would present as:","7,6,5,4,3,2,1","7,6,5,3,4,2,1","7,6,4,5,3,2,1","7,6,3,5,4,2,1",B,
Which is TRUE of a transposed maxillary canine?,Erupts in its normal position,Can result in asymmetric gingiva,Bone around the erupted transposed canine is usually compromised,Results in resorption of the adjacent lateral,B,
Diastema closure is usually stable and rarely requires fixed retention,True,False,,,B,
"During Stage 3 of orthodontic treatment, which of the following is accomplished:",Levelling of the Occlusal Plane,Space closure,Class 2 or Class 3 correction,Finishing details,D,
Missing maxillary lateral incisors:,Is more common than missing third molars,Always occurs bilaterally,Requires careful implant site preparation at gingival margin and root apices,Should never be replaced by canine substitution,C,
In a situation with at least one missing lower second premolar:,Case will usually present with a missing upper lateral incisor,Roots of the remaining deciduous molar will always be short,Remaining second premolars can be small and/or delayed,Remaining deciduous second molars should be extracted,C,
Which of the following is NOT a good approach to maintain an implant site for a missing maxillary lateral incisor?,Maryland bridge,Fixed wires adjacent to the implant site,Zirconia bridge,Any removable appliance such as a flipper,D,
Which of the following is FALSE regarding a fixed lingual retainer?,Is contoured bucco-lingually,Is contoured occluso-gingivally,Is held in with floss during fabrication,Adhesive is placed into the contact areas to make sure the teeth don't relapse,D,
What is NOT a factor in the ability of an orthodontist to achieve ideal results?,Favorable growth,Patient cooperation,If aligners are used instead of braces,Favorable genetics,C,
What are factors involved in dental relapse?,Elasticity of PDL fibers,Squeezing of tissue,Tongue/cheek/lip forces,All of the above,D,
Which of the following is not a fixed retainer?,Gold Chain,Lingual titanium bar,Essix Retainer,Flat titanium wire,C,
Which best describes the Angle Classification?,Class 1 with Class 3 tendencies,Class 2,Class 2 sub Right,Class 2 Division 2,A,images/ortho-final-spring-2022/fig25.jpg
The overbite is considered:,deep,Shallow,Moderate,Very Deep,B,images/ortho-final-spring-2022/fig26.jpg
The overjet is considered:,Mild,Moderate,Severe,Negative,A,images/ortho-final-spring-2022/fig27.jpg
What best describes the transverse occlusion?,No crossbite,Bilateral crossbite,Anterior and posterior crossbites,One tooth crossbite,D,images/ortho-final-spring-2022/fig28.jpg
Inclination of incisors:,Mandibular incisors have normal inclination,Mandibular incisors are proclined,Mandibular incisors are retroclined,Maxillary and mandibular incisors are retroclined,C,images/ortho-final-spring-2022/fig29.jpg
Which of the following best describes alignment of the teeth?,No crowding,Moderate-severe crowding,Mild crowding,Mild spacing,C,images/ortho-final-spring-2022/fig30.jpg
The line tangent to the mandibular plane shows the case to be:,Hyperdivergent,Hypodivergent,Normodivergent,None of the above,C,images/ortho-final-spring-2022/fig31.jpg
The direction of growth in this case is most likely:,"More downward, less forward","Less downward, more forward",Downward and forward,Upward and backward,C,images/ortho-final-spring-2022/fig32.jpg
The patient is 20 years old. The PANORAMIC x-ray shows:,Unerupted right maxillary canine which will erupt by itself,Buccally impacted right maxillary canine,Lingually impacted right maxillary canine,Impacted right maxillary canine,D,images/ortho-final-spring-2022/fig33.jpg
The patient is 20 years old. The CBCT shows:,Unerupted right maxillary canine which will erupt by itself,Buccally impacted right maxillary canine,Lingually impacted right maxillary canine,Proper inclination of right maxillary canine,B,images/ortho-final-spring-2022/fig34.jpg
(Bonus Questions) Which stage of orthodontic treatment is depicted in the photo:,Stage 1,Stage 2,Stage 3,Stage 4,A,images/ortho-final-spring-2022/fig35.jpg
(Bonus Question) Which stage of orthodontic treatment is depicted in the photo:,Stage 1,Stage 2,Stage 3,Stage 4,B,images/ortho-final-spring-2022/fig36.jpg
Which best describes the Angle Classification?,Class 1,Class 2,Class 3,Class 2 sub Right,D,images/ortho-final-spring-2022/fig37.jpg
The overbite is considered:,Openbite,Shallow,Moderate,Deep,C,images/ortho-final-spring-2022/fig38.jpg
"The overjet, at 4mm, is considered:",Mild,Moderate,Severe,Negative,A,images/ortho-final-spring-2022/fig39.jpg
What best describes the transverse occlusion?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Right side posterior crossbite only,A,images/ortho-final-spring-2022/fig40.jpg
E-line suggests that facial balance is considered:,Full for Caucasian,Balanced for Caucasian,Flat for Caucasian,E-line is not used for facial balance considerations,C,images/ortho-final-spring-2022/fig41.jpg
Which of the following best describes alignment of the teeth?,No crowding,Moderate crowding,Severe crowding,Mild Spacing,B,images/ortho-final-spring-2022/fig42.jpg
Face height in this case would best be described as:,Short lower face height,long lower face height,Equal upper and lower face heights,Short upper face height,C,images/ortho-final-spring-2022/fig43.jpg
Which would NOT be a good protocol for retention in this case:,Upper and lower Hawley retainers,Upper and lower essix retainers,Upper and lower fixed wire retainers,Lower fixed wire alone,D,images/ortho-final-spring-2022/fig44.jpg
The midline discrepancy in this case is most likely caused by?,Incisor Inclination,Differential spacing,Angle classification,Facial Asymmetry,C,images/ortho-final-spring-2022/fig45.jpg
Crowding would NOT be treated with:,"Expansion forward, lateral or distal",Extraction of bicuspids,IPR,Use of leeway space,D,images/ortho-final-spring-2022/fig46.jpg
Which best describes the Angle Classification?,Class 1,Class 2,Class 3,Class 2 sub Left,C,images/ortho-final-spring-2022/fig47.jpg
The overjet is considered:,Mild,Moderate,Severe,Negative,D,images/ortho-final-spring-2022/fig48.jpg
What best describes the transverse occlusion?,No crossbite,Right side posterior crossbite only,Anterior and posterior crossbites,Left side posterior crossbite only,C,images/ortho-final-spring-2022/fig49.jpg
The midline discrepancy in this case is most likely caused by?,Incisor inclination,Differential spacing,Asymmetric growth,Crowding,C,images/ortho-final-spring-2022/fig50.jpg
