title,Intro to Clinical Dentistry Exam 2 (Spring 2019),icd,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"Which of these choices, regarding caries risk assessment, is correct?",The Presence of restorations is not a good indicator of past caries activity,The presence of pit and fissure sealants is a good indicator of current caries activity,The presence of dental plaque is not a good indicator of current caries activity,None of the choices are correct,,,C,
"A 64-year-old male patient presents to you with periodontal probing depth of 5-6 mm on teeth #2, #3 there is also periodontal probing depth of 4mm on tooth #19. There is no other probing depth greater than 3mm. The patient is not symptomatic. there is bleeding on probing on almost all sites with more severe bleeding in the areas with deeper pockets. On the radiographs there is bone loss in the areas with deep pockets. A reasonable initial Periodontal diagnosis would be:",Generalized gingivitis with acute generalized periodontitis,Localized gingivitis with chronic generalized periodontitis,Generalized gingivitis with chronic localized periodontitis,Generalized gingivitis with acute localized periodontitis,,,C,
"When treating an anxious patient, which technique(s) is/are most useful",be forceful and commanding in your instructions,Do not explain the reason why you are asking for sensitive information,reduce empathy in your interaction with the patient,Tell the patient not to worry because everything will turn out great,None of the Above,,E,
"Statement 1: Consults or referrals are only used when you are stumped and have no idea how to treat a patient Statement 2: Consults are necessary for a new practitioner, but once you get more experience you never need to send out for a consult",Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is False and statement 2 is True,,,B,
Referring a patient to a specialist for a consult is preferred:,with a patient with a difficult personality that you don't want to deal with,when you need more information to properly treat the patient,when the specialist can provide treatment in a more efficient manner to the patient,b and c,All of the above,,D,
The proper protocol to obtain a consult for your patient at Touro Dental Health is,Enter a consult request on axiUm then inform you practice leader to call for the consult from the appropriate clinic,Enter the consult request on axiUm requesting an appointment through the messenger icon to the appropriate clinic,Call the appropriate clinic and inform them that you need a consult.,Go get the specialist to come to your patient for the consult,,,B,
"While presenting a treatment plan to your instructor,",it is not important to describe the sequence of treatment; the instructor should know that already,it is not important to review the medical history of the patient that was done on intake already,It is not important to describe the treatment goals of the patient since this is an ideal treatment plan,it is not important to discuss the cost of the treatment plan with the instructor at this time,,,D,
Why should you always present a treatment plan in a sequenced and orderly manner every time?,Presenting a plan in a logical orderly fashion will help avoid missing any important components of a plan,There is no real advantage to presenting a plan in the same manner each time,If a plan is sequenced and presented in an orderly fashion it is much easier to understand when presented,a and c,,,D,
"When presenting a treatment plan to a patient, it is ok to use some technical terms",because we can assume the patient has heard them before,the patient will ask for explanations if they don't understand,We are professional and should use the proper terms for treatments,It is not OK to use technical terms when presenting a treatment plan to a patient,,,D,
"You are presenting a treatment plan to a patient. The treatment plan includes a tooth that has decay that is into the pulp. There is plenty of sound tooth structure to be able to restore the tooth after endodontic treatment has been done. The patient is asymptomatic. When you reach that stage of the treatment plan and you tell the patient that the tooth needs a root canal treatment, The initial reaction from the patient is “I don't want any root canals, pull it out”. Your responsibility at this point is to:",Reassure the patient and try to educate them about the proposed treatment,Discuss the need to replace the missing tooth so the patient is fully aware of their treatment decision,"Just say ok, we will pull it out",Ask the patient what they know or have heard about root canals,All but C,,E,
"any treatment proposed to a patient has risks, the best way to handle treatments that you believe will be fine, but may have some complications is to:",explain to the patient that the procedure is done everyday and not to worry,explain to the patient that the procedure is a risky one and that you are not sure if it will turn out as expected,explain to the patient the possible complications that may occur while still being positive about the outcome of the procedure,"not say anything, there no need to tell the patient anything about the procedure, you know it will be fine",,,C,
"A patient personality that is characterized with a ""problem that no one can help with"" and has seen many doctors to no avail, while rejecting any possible solution to their issues is classified as a:",Superior Patient,Guarded Patient,Desperate/Suffering Patient,Dependent Patient,,,C,
The decision to plan a SCRP as opposed to a routine prophylaxis should be based on all except:,Periodontal Pocket depth,the location of the calculus in relation to the gingiva,The ability to remove all calculus,Patient preference,,,D,
"It is always essential to include Oral Hygiene Instruction to all patients, especially if there are periodontal issues. The reason for this includes all except:",any treatment will not be successful without modification of the behavior that caused the problem,to evaluate the patients' knowledge base of proper home care,to enhance the patients' ability to achieve proper home care,OHI is mandated by the state law to be administered at al recall appointments,,,D,
polishing teeth using prophy paste after a SCRP,must be clinically evaluated regarding the possible damage that can be done,is always necessary in the same appointment when the SCRP is performed,could be done at a later appointment after there is gingival healing,both a and c,,,D,
The advantage of air polishing over mechanical polishing (rubber cup and prophy paste),Air polishing is more effective at stain removal,Air polishing removes less enamel than mechanical polishing,air polishing technology keeps improving over time,All of the above,There is no difference between air polishing and mechanical polishing,,D,
"when employing the total etch technique for bonding, after the etchant is placed in the preparation you must rinse thoroughly",and dry all areas until there is no more moisture in the preparation,and dry the enamel without over drying the dentin,and leave both the enamel areas and dentin areas slightly moist,and not dry the preparation at all,,,B,
"To insure optimal interproximal contact when restoring a class II composite, the proper sequence of procedure should be","Place matrix, wedge gingival contact, loosen matrix band, anneal band against adjacent contacts","Place matrix, anneal band against adjacent contact, wedge gingival contact, loosen matrix band","Place matrix, loosen matrix band, wedge gingival contact, anneal band against adjacent contact","Wedge gingival contact, place matrix, loosen matrix band, anneal band against adjacent contact",,,A,
What are the requirements of a good provisional restoration,good marginal seal,proper contours and contacts,a material that is as nonporous as a permanent restoration,a and b,None of the above,,D,
An instructor that evaluates an initial operative prep may observe,decay that still needs to be removed,pulpal depth that is greater than 2mm,contacts that have not been opened,Unsupported enamel,,,A,
The choice of the finish line on a single crown can depend on:,material you plan to use,age of the patient,the burs you have available to use,fee for the crown,,,A,
A cad cam milled crown has been shown to be more accurate than a cast or pressed method of crown manufacture,True,False,,,,,A,
a comprehensive treatment note is necessary,only when something unusual happens in that appointment,only if you believe something is relevant,only if you complete the treatment that you planned for the appointment,None of the Above are correct,,,D,
To always generate a correct note it is best,to use a repeatable order to record information,"to record the note in any fashion, as it comes to mind",to only use the template without any custom comments,,,,A,
