title,Preclinical Pediatric Dentistry Exam 1 (Fall 2018),pedo,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following is not necessarily a sign of a poor sealant:,Can be removed by explorer with extreme force,Interferes with occlusion immediately after placement,Only 1 small air bubble detectable,90-95% of all detectable pits and fissures are sealed,,B,
"Which among the following list are alternative names for the Preventative Resin Restoration (PRR): • Conservative Adhesive Restoration (CAR), • Conservative Composite Restoration (CCR), • Conservative Resin Restoration (CRR), • Preventative Adhesive Restoration (PAR), • Preventative Composite Restoration (PCR)",CAR and PCR,PCR and CRR,CRR and CCR,PAR and CAR,,A,
Nagano classified occlusal fissures into 5 types based on:,morphology.,depth.,quantity.,width.,,A,
Statement 1: There has been a decline in prevalence of caries in adolescents and children. Statement 2: The decline of occlusal caries is occurring at a greater pace than that of smooth surface caries.,The first statement is correct. The second statement is incorrect.,The first statement is incorrect. The second statement is correct.,Both statements are correct.,Both statements are incorrect.,,A,
Statement 1: It has been suggested that the BPA present in some sealants may have estrogen like effects. Statement 2: The sealant guideline panel recommends sealants be avoided in female patients with familial history of breast cancer.,The first statement is correct. The second statement is incorrect.,The first statement is incorrect. The second statement is correct.,Both statements are correct.,Both statements are incorrect.,,A,
Pit and fissure caries often occur in which location?,Occlusal surfaces of maxillary and mandibular molars,Lingual surfaces of mandibular molars,Buccal surfaces of maxillary molars,Lingual surfaces of maxillary central incisors,All of the above,A,
A ___ seconds application of 35% phosphoric acid is adequate for a sealant application procedure.,15,20,30,60,,C,
Occlusal surfaces constitute the most caries susceptible sites for children. This is true because:,Enamel is thinnest at base of fissures,Fissures can often be quite extensive and tortuous trapping food and debris,Base of fissure is difficult to mechanically clean,All of the above,,D,
Which of the following statements regarding primary teeth is false:,Contact areas between molars tend to be broad.,Enamel rods in gingival 1/3 extend gingivally.,Pulp chambers are large relative to the crown.,None of the above - all options are true,,B,
"In general, a carious tooth that is expected to exfoliate within ____ months may be extracted rather than restoring it.",6,3,9,12,,A,
Which sequence describes the correct procedure for a Preventative Resin Restoration (PRR)?:,"Etch, pumice, bonding agent, composite, sealant","Pumice, etch, bonding agent, composite, sealant","Pumice, etch, composite, bonding agent, sealant","Etch, bonding agent, composite, pumice, sealant",,B,
