title,Oral & Maxillofacial Surgery Midterm Exam (Spring 2023),omfs,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Which of the following statements regarding tooth extractions is FALSE?,"When extracting a tooth, it is important to know what the subsequent restorative treatment plan is.",An open or surgical extraction technique may prevent an oro-antral communication during an extraction procedure.,An open or surgical extraction technique enables bone recontouring during an extraction procedure.,An open or surgical extraction technique increases the likelihood of alveolar bone loss or sinus exposure during an extraction procedure when compared to a closed extraction technique.,A closed extraction technique does not require the development of a flap.,,,,D,
Which of the following statements regarding incisions and flap development is FALSE?,There will be less bleeding with a FTMPF than a split thickness flap because the tissue plane between bone and periosteum is relatively avascular.,"When developing a flap in the mandibular bicuspid region of an atrophic mandible, a crestal incision should be utilized instead of an incision with vertical releases to ensure that the mental nerve will not be damaged.",An incision should be placed at least 6 - 8 mm away from a cortical bone defect to prevent the tissue from collapsing into the bony defect and resulting in wound dehiscence.,Incision at the anterior palatine foramen carries less risk of bleeding and nerve damage than incision at the greater palatine foramen.,A vertical releasing incision should cross the free gingival margin at the line angle of a tooth and should not be made over a bony prominence.,,,,B,
Which of the following statements regarding a semi-lunar flap is FALSE?,It provides good access to the apices of teeth in the surgical field.,It enables the surgeon to avoid causing trauma to the papillae and gingival margin of the flap.,Overall surgical access may be limited because visibility of the entire root area is not provided.,It is useful for periapical surgery.,The incision to create a semi-lunar flap can only cross a periodontal pocket if the pocket is 3 mm or less in depth.,,,,E,
Which of the following statements regarding bone removal during tooth extraction is FALSE?,Bone removal during extraction allows for increased visualization of the tooth being extracted.,Bone removal during extraction may be performed to lessen or eliminate an impedance in the path of removal of that tooth.,"When bone is removed during tooth extraction, it is more important to preserve the buccal and lingual cortical plates and intraseptal bone than the interradicular bone.","When using a drill to remove bone during a tooth extraction, a surgical handpiece which exhausts air out the rear of the handpiece should be used","When sectioning a multi-rooted tooth during extraction, it is necessary to first remove bone.",,,,E,
"You are extracting all of a patient's remaining teeth, specifically teeth 6, 7, 8. 9, 10, 11, 22, 23, 24, 25, 26, and 27. Which of the following statements regarding these extractions is TRUE?","When extracting the maxillary teeth, 6 and 11 should be extracted first.","When extracting the maxillary teeth, 6 and 11 should be extracted last.","When extracting the maxillary teeth, the sequencing of extracting 6 and 11 may vary depending on the specific circumstances which are present.","When extracting all of these teeth, it is important to apply all concepts involved in extracting teeth, including being careful to not luxate an adjacent tooth when using an elevator.",It is necessary to extract the mandibular teeth before extracting the maxillary teeth.,,,,C,
A maxillary tuberosity requires reduction because of vertical and horizontal boney excess. Which of the following statements is FALSE?,"Since the procedure is being performed because of excess bone, there is no reason to excise any soft tissue.","Since bone will be removed, a full thickness mucoperiosteal flap will need to be elevated to achieve the necessary access.","Bone can be removed with a bone file, a rongeur, and/or a handpiece and bur.",It is important to utilize appropriate imaging to ensure that bone removal will not violate the maxillary sinus.,,,,,A,
Which of the following statements regarding changes associated with tooth loss and bone atrophy is FALSE?,"After teeth are lost, the maxillary crest shifts palatally &medially.","After teeth are lost, upper lip support diminishes resulting in a “sunken face” look.","After teeth are lost, the mandibular crest shifts inferiorly and laterally.","After teeth are lost, resorption of the maxilla and mandible results in a Class III or prognathic appearance.",The rate of bone resorption increases as more time passes after an extraction.,,,,E,
Which of the following statements regarding alveoplasty is TRUE?,Simple alveoplasty requires a full thickness mucoperiosteal flap.,Intraseptal alveoplasty requires a full thickness mucoperiosteal flap.,Intraseptal alveoplasty is useful for recontouring buccal irregularities.,Intraseptal alveoplasty can be utilized to increase ridge width.,A disadvantage of intraseptal alveoplasty is the resultant loss of ridge height.,,,,A,
Which of the following statements regarding soft tissue preprosthetic surgery procedures is TRUE?,"When an epulis is removed by excision of hyperplastic tissue, mucosal tissue must be sutured to mucosal tissue.","When an epulis is removed by excision of hyperplastic tissue, improper suturing can result in loss of vestibular depth.",Mucosal tissue cannot be sutured to periosteum because the lack of vascularity will prevent healing.,Frenectomy should not be accomplished by simple excision as relapse will always occur.,Frenectomy should not be accomplished by Z-plasty as relapse will always occur.,,,,B,
Which of the following statements regarding floor of mouth lowering and vestibuloplasty is/are TRUE?,Floor of mouth depth is limited by the genioglossus and mylohyoid muscle attachments.,The purpose of the skin graft is to provide keratinized tissue.,The mucosa is held in position with sutures that are placed along the inferior border of the mandible.,The skin graft is held in place on the periosteum by a stent secured by circummandibular wires.,ALL of these statements are TRUE.,,,,E,
