title,DAO Quiz 5 (Summer 2016),dao,quiz
question,option_a,option_b,option_c,option_d,correct,image
The two buccal roots of the upper second molar are:,Pincer shaped in form,Parallel to one another towards the mesial,Parallel to one another towards the distal,,C,
Are the maxillary molars succedanous teeth?,True,False,,,B,
"The maxillary first molars MAY have a fifth cusp, the cusp of Carabelli, where is it found?",Lingual of the mesiolingual cusp,Buccal of the mesiobuccal cusp,Lingual of the distolingual cusp,Buccal of the distobuccal cusp,A,
"The first maxillary molar has three roots, but MAY have 4 root canals. If there is a 4th canal, it will be in?",The palatal root,The distobuccal root,The mesiobuccal root,,C,
What is the largest cusp of the maxillary second molar?,Mesiobuccal,Mesiolingual,Distobuccal,,B,
"The maxillary second molar, when viewed from the occlusal, has two acute angles and two obtuse angles. The acute angles are:",Mesiolingual and distobuccal,Mesiobuccal and distolingual,Mesiobuccal and mesiolingual,Distobuccal and distolingual,B,
The oblique ridge on the occlusal of tooth #14 runs from?,Mesiobuccal to distolingual cusps,Distobuccal to mesiolingual cusps,Mesiolingual to mesiobuccal cusps,,B,
When is the first evidence of calcification of tooth #3,6 years,1 year,At birth,3 months,C,
When viewed from the buccal the maxillary 2nd molar has the palatal root lined up,Between the mesiobuccal and distobuccal root,Behind the mesiobuccal root,Behind the distobuccal root,,C,
The maxillary molars have three roots; which root is the SMALLEST?,Mesial buccal,Palatal,Distobuccal,,C,
