title,Periodontics I Quiz 2 (Spring 2018),perio1,quiz
question,option_a,option_b,option_c,option_d,correct,image
During which Stage of Gingivitis is their margination of neutrophils?,Stage 1,Stage 2,Stage 3,Stage 4,A,
Which of the following is a role of Plymorphonuclear Leukocytes?,Secretion of complement proteins,Phagocytosis of bacteria and their products,Antigen processing and presentation,None of the above,B,
During which phase of Gingivitis begins an increase in the formation of rete pegs?,Stage 1,Stage 2,Stage 3,Stage 4,C,
Which of the following is not true regarding the Initial Lesion of Gingivitis,The inflammatory infiltrate occupies from 5-10% of the gingival connective tissue where collagen has been lost,There is an increased flow of gingival crevicular fluid,The initial lesion is clinically visible,It appears within 4 days of plaque accumulation,C,
Which of the following is a characteristic of Chronic Periodontitis,Patient's medical history is non-contributory,There is a familial aggregation of cases,There is rapid attachment loss,Amount of destruction is commensurate with Oral Hygiene and plaque levels,D,
How many days of plaque accumulation does it take for the Early Lesion of Gingivitis to develop?,1-2 days,4-7 days,7-14 days,14-21 days,B,
Which of the following periodontal probes is missing the 4mm and 6mm markings?,Michigan ‘O' probe,University of North Carolina (UNC) probe,University of Michigan ‘O' probe with Williams markings,Nabor's probe,C,
The definition of the Glickman Furcation Classification that includes through and through bone loss which is not visible intra-orally is which of the following?,Grade I,Grade II,Grade III,Grade IV,C,
A tooth that is depressible in it's socket is classified as Miller's,Class 0,Class 1,Class 2,Class 3,D,
Which of the following factors affect periodontal probing results?,Repeated probings,Angulation of the probe,Force use when probing,All of the above,D,
