title,DAO Final Exam (Summer 2023),dao,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
A root to crown ratio of 1 means:,The root length is equal to the crown,The crown is longer than the root,Is better than a ratio of 1.5,The tooth is very stable in the mouth,,A,
Alvin and his friends are 7 years old. What could you say about his dentition?,They are most likely in the period of the primary dentition,They are most likely in the period of the mixed dentition,They are most likely in the period of the permanent dentition,They are most likely in the period of the calcifying dentition,,B,
All the following are NON-SUCCEDANEOUS teeth EXCEPT (all numbers are using Universal numbering):,#18,#31,#2,#12,,D,
The clinical crown:,Is covered only by enamel,Is covered only by cementum,Is determined by the gingival margin,Cannot be determined without a radiograph,,C,
All anterior teeth develop from how many lobes?,2,3,4,5,,C,
Sleepy came into your office with his mom Mrs. White. Sleepy is 9 years old. Mrs. White complains that her son has always sucked his thumb and she is concerned that his teeth do not look like everyone else in Sleepy's class. What do you expect to see when you look into Sleepy's mouth?,"Malocclusion, in the form of an open bite, between his maxilla and mandible",Mamelons,Enamel Pearls,A and B,,D,
The following teeth have their cinguli offset to the distal?,The permanent maxillary central incisors,The permanent maxillary lateral incisors,The permanent mandibular central incisors,The permanent mandibular first premolar,,A,
Which of the following teeth have a mesial to mesial contact,The maxillary central incisors,The maxillary 3rd molars,The mandibular third molars,The maxillary canines,,A,
Which is NOT a characteristic of the mandibular central incisor,Smallest of any tooth,Both the mesial and distal contacts are at the same height,From the facial view they are oval in shape,They are almost symmetrical,,C,
Which tooth is the largest tooth mesio-distally of all anterior teeth?,The maxillary central incisor,The maxillary canine,The mandibular canine,The mandibular first molar,,A,
Which is NOT a characteristic of the maxillary lateral incisor?,Has an incisal edge curvature greatest of any incisor,Has the deepest lingual fossa of any anterior tooth,May have a lingual groove,Has the least developed cingulum,,D,
When viewing the mandibular lateral incisor from the distal I can see the mesial marginal ridge?,True,False,,,,B,
From the mesial view of a maxillary first molar I can see all EXCEPT:,The distobuccal root,The mesiobuccal cusp,The mesiolingual cusp,The palatal root,,A,
Which of the following teeth can be pentagon in shape when viewed from the facial?,Maxillary canine,Mandibular canine,Maxillary first premolar,Mandibular first premolar,All of the above,E,
Canines are important in regards to esthetics because,The canine has a lingual ridge creating two lingual fossas,The canine eminence helps support the face,The strong cusp helps disarticulate the teeth in function,The cusp is an attractive feature of the tooth,,B,
"Measuring from the apex of the root to the incisal of the crown, which is the longest tooth in the mandible?",The maxillary canine,The mandibular canine,The mandibular first molar,The mandibular first premolar,,B,
Which of the following teeth will NOT have two roots?,The mandibular second molar,The mandibular canine,The maxillary first premolar,The maxillary second premolar,,D,
"When looking at the occlusal view of the mandibular first molar, which is the correct cusp size listing biggest to smallest?",MB>ML>DL>DB>D,ML>DL>MB>DB>D,DB>MB>ML>DL>D,MB>DB>ML>DL>D,,A,
The oblique ridge of the maxillary first molar goes from which anatomical landmark to which anatomical landmark?,Form the mesiobuccal cusp to the distobuccal cusp,From the mesiobuccal cusp to the mesiolingual cusp,From the mesiobuccal cusp to the distolingual cusp,From the distobuccal cusp to the mesiolingual cusp,,D,
The mandibular second molar has a groove pattern that represents a,U shape,+shape,Y shape,J shape,,B,
