title,Orthodontics Midterm Exam (Spring 2019),ortho,midterm
question,option_a,option_b,option_c,option_d,correct,image
Anatomic points are drawn on panoramic x-rays and angles/measurements are derived from these points,True,False,,,B,
Which of the following is not a routine photograph taken as part of orthodontic records?,Center-teeth in occlusion,Submental view,Right Buccal view,Left buccal view,B,
Which of the following best represents the value of extra-oral and intra-oral photos as part of orthodontic records?,Define starting occlusal relationship,Define facial balance,Allow evaluation of treatment progress,All of the above,D,
Panoramic x-rays do not provide information on which of the following?,Direction of facial growth,Root position and length,Eruption during the mixed dentition,The presence of missing teeth,A,
What might one expect to see in a hyperdivergent individual?,Very deep bite,Anterior open bite,Short lower face,A line tangent to the mandibular plane lies below the base of the cranium,B,
A high angle grower is characterized by what directions of growth,"More downward, less forward","Less downward, more forward",Neither downward nor forward,Upward and backward,A,
A line drawn tangent to the mandibular plane that intersects the head below the base of the cranium is characteristic of what type of grower?,Hyper-divergent,Normo-divergent,Hypo-divergent,High angle,C,
What might one expect to see in a hypodivergent individual?,deep bite,Anterior open bite,Long lower face,A line tangent to the mandibular plane lies within the base of the cranium,A,
A transverse discrepancy is also known as a?,Deep bite,Open bite,Crossbite,Overbite,C,
Which is NOT true of overbite?,Is a vertical measurement,Represents the vertical degree of overlap of the upper and lower incisors,Is commonly confused with overjet by the public,Is considered normal at 100 percent,D,
Which of the following is NOT true of overjet?,Esthetics often promote desire for overjet correction,Risk of anterior trauma increases with increased overjet,"Without incisal guidance, continued eruption of mandibular teeth can be destructive to upper anterior palatal tissue",Severe overjet is irrelevant to risk of trauma to upper anterior teeth,D,
When considering proper incisor inclination or angulation:,Incisors should be flared significantly,Incisors should be retroclined significantly,Incisors should be leaning slightly forward,Retroclined incisors is always a treatment goal,C,
The main growth site in the mandible is:,Mandibular suture,Symphyseal suture,ramus suture,Condyle,D,
Orthodontists can use the leeway space to help correct crowding situations because?,The erupting premolars are larger than the deciduous molars,The erupting premolars are smaller than the deciduous molars,The erupting premolars are equal in size to the deciduous molars,The premolars always have delayed eruption,B,
Which of the following is true about a crossbite?,Is always anterior only,Is always posterior only,Can present both anterior and posterior,Is always bilateral,C,
A normo-divergent grower would exhibit the following:,Long lower face,A line tangent to the mandibular plane lies below the base of the cranium,A line tangent to the mandibular plane intersects the head at the base of the cranium,A line tangent to the mandibular plane intersects the head within the base of the cranium,C,
Facial balance is equally as important as occlusion in planning orthodontic intervention,True,False,,,A,
Growth of the jaws is downward and forward,True,False,,,A,
A deep bite can be destructive to upper anterior palatal tissues,True,False,,,A,
Extremes of hypo- or hyper-devergency are the most straightforward cases to treat,True,False,,,B,
Normal overjet is considered:,2.5-3 mm,4-5 mm,6-7 mm,7+ mm,A,
Moderate overbite is considered:,0-10%,10-25%,30-60%,80-90%,C,
A Class II malocclusion is typically characterized by a,Prognathic mandible,Retrognathic mandible,“strong chin”,Anterior Crossbite,B,
A class III malocclusion is typically characterized by a,Prognathic mandible,Retrognathic mandible,“weak chin”,Large overjet,A,
The Molar and canine relations are as follows:,"Class I molar, Class I canine","Class II molar, class I canine","Class I molar, Class II canine","Class II molar, Class II canine",C,images/ortho-midterm-spring-2019/fig25.jpg
Upper arch crowding would be considered:,Non-crowded,Mild-moderate,Moderate -Severe,Severe,B,images/ortho-midterm-spring-2019/fig26.jpg
Lower arch crowding would be considered:,Non-crowded,Mild,Moderate-severe,Severe,C,images/ortho-midterm-spring-2019/fig27.jpg
The overbite is considered:,Openbite,Shallow,Normal,moderate,D,images/ortho-midterm-spring-2019/fig28.jpg
What are the possible causes of the lower arch crowding?,Premature loss of deciduous second molar with mesial drift,Genetics,Lack of adequate space maintenance,All of the above,D,images/ortho-midterm-spring-2019/fig29.jpg
Which best describes the malocclusion?,Class I,Class II,Class III,Class IV,B,images/ortho-midterm-spring-2019/fig30.jpg
Crowding in this case would be considered:,Non-crowded,Mild,Moderate -Severe,Severe,A,images/ortho-midterm-spring-2019/fig31.jpg
The overbite is considered:,Openbite,Shallow,Normal,Deep,C,images/ortho-midterm-spring-2019/fig32.jpg
"The overjet, at 8 mm, is considered:",Normal,Mild,Moderate,Severe,D,images/ortho-midterm-spring-2019/fig33.jpg
Shawn is considered what type of grower?,Normo-divergent,Hypo-divergent,Hyper-divergent,None of the above,C,images/ortho-midterm-spring-2019/fig34.jpg
"The overjet, at 9 mm, is considered:",Normal,Mild,Moderate,Severe,D,images/ortho-midterm-spring-2019/fig35.jpg
Which best describes the malocclusion?,Class I with right posterior crossbite,Class I with left posterior crossbite,Class II with left posterior crossbite,Class II with right posterior crossbite,D,images/ortho-midterm-spring-2019/fig36.jpg
The overbite is considered:,Openbite,Shallow,Normal,Moderate,D,images/ortho-midterm-spring-2019/fig37.jpg
