title,DAO Quiz 9 (Summer 2016),dao,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which dental tissue is formed by odontoblasts?,Enamel,Dentin,Dental Pulp,Periodontium,Cementum,B,
Which of the following is NOT a function of the pulp?,Induction,Nutrition,Protection,Perforation,Repair,D,
What kind of dentin constitutes most of the dentin in a tooth?,Primary dentin,Secondary dentin,Tertiary dentin,Predentin,,A,
What is formed when caries is present causing the odontoblast to die and dentinal fluid to crystallize in the dental tubules?,Peritubular dentin,Neonatal line,Intratubular dentin,Sclerotic dentin,,D,
What is the organic component that makes up less than 4% of enamel by weight?,Osteoid,Enamelin,Hydroxyapatite,Ameloblasts,,B,
Which of the following is the defect in enamel filled with organic material that is visible to the naked eye?,Lamellae,Tufts,Spindles,Rods,,A,
Which of the following arteries provide vascularity for the dental pulp?,Maxillary and mandibular arteries,Superior and inferior alveolar arteries,Pulpal arteries,Subclavian artery,Lingual and palatal arteries,B,
Which of the following is NOT true about changes that can occur to the dental pulp?,Pulp decreases in size due to continued deposits of dentin,Decreases in pulp size occur uniformly,Aging increases the ability of the pulp to respond to injury and repair,Pulp can become more fibrotic after injury,,C,
What zone of the pulp is also known as the Zone of Weil,Odontogenic Zone,Cell-rich zone,Parietal layer of nerves,Cell-free zone,,D,
Which of the following is NOT true of denticles?,They are also known as pulp stones,They can result with trauma and aging,There are true and false denticles,Denticles are made of calcified tissue,They are always found completely embedded in dentin,E,
