title,Intro to Clinical Dentistry Midterm Exam (Spring 2023),icd,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
A patient's face is considered Personal Health Information,True,False,,,,A,
"With irreversible pulpitis, your exam will show:",Periapical radiolucency.,Brief response to endo ice.,No response to endo ice.,Heightened response to endo ice and lingering pain upon stimulus removal.,None of the answer choices,D,
Which of the following is a sign and symptom of reversible pulpitis?,Periapical pulpitis,Gross decay into the pulp,Positive response to palpation,Brief discomfort to cold and air,Lingering or spontaneous pain,D,
Patient presents to the clinic for a screening appointment. He denies any medical problems or taking any medication. He is a social smoker and drinker. His BMI is 35. He is considered:,ASA I,ASA II,ASAIII,ASA IV,ASA V,B,
At TCDM specialty consults can be requested for the following specialties:,Endodontics,Oral Surgery,Periodontics,Orthodontics,All the answer choices,E,
Questions to ask a patient presenting for an emergency include:,Is the pain constant or spontaneous?,Does the pain keep you awake at night?,Is it sensitive to hot or cold?,Is it sensitive to mastication?,All the answer choices,E,
When beginning the Screening visit the Student Doctor always begins with ascertaining the patient's chief concern. This is because:,It is important to determine if the patient needs to be treated/evaluated for comprehensive care or emergency care.,It will determine how much we can bill the patient.,It will determine which armamentarium will be used for the visit.,It will determine which radiographs need to be taken.,,A,
A patient with a blood pressure reading of 134/80 is considered:,Normal,Elevated,Stage I hypertension,Stage II hypertension,Hypertensive crisis,C,
The intra oral examination includes all of the following except:,Examination of the labial mucosa,TMJ evaluation,Examination of the tongue,Evaluation of the floor of the mouth,Evaluation of the clinically visible oropharynx,B,
When examining the floor of the mouth it is most important to examine for all of the following except:,Stenson's duct opening,Wharton's duct opening,Varicosities,Lesions,Frenum,A,
Cases where a medical consult might be needed include the following except:,Patient who recently had a physical examination done whose blood pressure is slightly elevated,Patient with an unknown medical history.,Patient taking blood thinners.,Patient with uncontrolled diabetes.,Patient with a very complex medical history.,A,
"After completing the Comprehensive Exam, the following code must be marked as complete:",D0190,D0801,D0150,D1110,D2750,C,
During the comprehensive exam all dental findings get charted:,On the odontogram,On the radiographic interpretation form,In the assessment note,In the caries risk assessment form,,A,
Clinical attachment loss can only be calculated by Axium:,After entering probing depths and gingival margin location in relation to the CEJ,After entering the location of the gingival margin in relation to the CEJ only,After entering gingival recession only,After entering gingival hyperplasia only,After entering probing depths only,A,
Difficulty opening the mouth is known as:,Dysphagia,Dyspnea,Trismus,Trigeminal neuralgia,Bells palsy,C,
When reviewing the health history of a diabetic patient which information is least important?,Most recent HbA1C value.,What type of diabetes they been diagnosed with,If they took their medication today.,Which family members have diabetes.,If they have eaten today.,D,
When describing an abnormality found on the intraoral exam the following must be included in your note:,Location and size of the lesion only.,"Location, size, color, lesion type, symptomatic or asymptomatic, patient is aware/or not aware of the lesion.",Color and lesion type only.,Size and color of the lesion only.,Location of the lesion only.,B,
"Whenever disinfecting supplies from the clinic kits, either before or after an appointment one must wear gloves. Whenever retrieving or returning the clinic kits one does not wear gloves.",Both statements are true.,Both statements are false.,"First statement is true, the second is false.","First statement is false, second statement is true.",,A,
