title,Prosthodontic Review Final Exam (Summer 2021),prosthrev,
question,option_a,option_b,option_c,option_d,option_e,correct,image
Clicking of dentures together is an indication of which of the following:,increased vertical dimension of occlusion,decreased vertical dimension of occlusion,,,,A,
Angular Cheilitis is seen in patients with,increased VDO,decreased VDO,,,,B,
Resistance to denture movement from its foundation especially to lateral forces as opposed to vertical forces is called?,denture retention,denture stability,,,,B,
The material of choice for post surgical denture relining is:,soft tissue reline (Coe Soft),tissue conditioner (Coe Comfort),hard reline (Coe-rect),all of the above,,B,
An edentulous patient with loss of vertical dimension of occlusion will present with which of the following:,anterior rotation of the mandible,retro-gnathism,loss of upper face height,none of the above,,A,
"During the tooth set-up wax try in visit (visit 4) , it was determined that the centric occlusion of the denture is incorrect. What is the best method of correcting for the error.",make intraoral adjustments,make a new facebow record,make a new centric relation record,None of the above,,C,
The primary stress bearing area of the mandibular denture is?,the retromylohyoid space,the genial tubercle,the buccal shelf,residual ridge,,C,
The anterior occlusal rim for both the maxilla and mandible should protrude at which angle?,10 degrees,15 degrees,20 degrees,25 degrees,,B,
The ala-tragus line is also known as :,Frankfurt horizontal plane,Curve of speed,Compensating curve,Camper’s plane,,D,
The base of a cast should be parallel to the mean foundation plane.,True b False,,,,,A,
What occlusal scheme is indicated in complete dentures?,group function,bilateral balanced occlusion,anterior guidance,mutually protected occlusion,,B,
Which of the following is an example of an anatomic denture tooth?,0 degree,10 degree,20 degree,30 degree,,D,
The facial border of the maxillary anterior teeth is how many mm from the posterior border of the incisive papilla?,1-2 mm,4-5 mm,8-10 mm,12-14 mm,,C,
When setting anterior denture teeth the horizontal overlap should be within which range?,0-1 mm,1-2 mm,2-3 mm,2-4 mm,,B,
A lingualized denture occlusion is characterized by:,lingual cusp of mandibular tooth contacts maxillary occlusal surface,lingual cusp of maxillary tooth contacts mandibular occlusal surface,anterior guidance occlusal scheme,none of the above,,B,
Centric occlusion may or may not coincide with the maximum intercuspal position ?,True,False,,,,A,
The anterior point of reference for the Hanau springbow facebow is the :,orbitale,nasion,glabella,modiolis,,A,
Centric relation is dependent on tooth contact.,True,False,,,,B,
The spherical theory of occlusion was described by:,Monson,Bonwill,Balkwill,Evans,,A,
The purpose of the facebow transfer includes all of the following except:,to orient the maxillary cast to the center of the articulator,articulate the maxillary cast in relation to condylar hinge axis,to evaluate patients esthetics plane relative to horizontal plan,capture a centric relation record,,D,
Which of the following are principles of the Ferrule Effect?,adds some retention,requires 2 mm in height,prevents root fracture during function,all of the above,,D,
Which of the following are critical features of a post canal preparation?,minimal canal enlargement,adequate post length,final restoration ends on sound tooth structure,no undercuts in the canal,all of the above,E,
The apex of a post should be above the crest of the bone.,True,False,,,,B,
What is the minimum crown to root ratio?,1 to 1,1 to 1.5,1 to 2,none of the above,,A,
What is the minimum root wall thickness required when preparing a post space?,1 mm,2 mm,3 mm,4 mm,,A,
Parapost drills can be used to gain length for the post space.,True,False,,,,B,
A post in a molar should not extend more than 7 mm past the opening of the root canal at the base of the chamber.,True,False,,,,A,
The direct technique of fabricating a cast post and core involves:,an impression post,duralay pattern,cementation of a prefabricated post,a fiber post,,B,
A cast post and core is indicated when there is less than what percentage of coronal tooth structure remaining?,10 %,25%,50%,70%,,B,
All anterior and posterior endodontically treated teeth require a full coverage restoration.,True,False,,,,B,
Mastication induces what kind of occlusal forces on dental implant restorations?,transverse,apical,sagital,none of the above,,A,
Torque = Force x Distance,True,False,,,,A,
Implant crowns should have steep cuspal inclinations?,True,False,,,,B,
The minimum interocclusal space required for a cement-retained implant crown is:,4 mm,5 mm,6 mm,8 mm,,C,
Which of the following increase implant load?,cantilevers,excessive restoration height,both a and b,none of the above,,C,
What class of levers is an implant FPD involving posterior cantilevers ?,Class 1,Class 2,Class 3,Class 4,,A,
All of the following are advantages of splinting implant restorations except?,Increase AP spread,Decrease cement retention,Distribution of forces over a greater area,Decrease of screw fracture,,B,
A modified occlusal anatomy for an implant restoration is characterized by:,centered contacts,steep cusps,increased occlusal table,0.5 mm horizontal fossa,,A,
In a platform switch implant design:,the abutment diameter is narrower than the implant connection,the abutment diameter is wider than the implant connection,the abutment diameter and the implant connection are the same size,the abutment and implant are one piece,,A,
Open and closed tray implant impression techniques differ in that?,a verification radiograph is not needed for closed tray,the open tray coping screw is loosened prior to impression retrieval,the closed tray coping screw is loosened prior to impression retrieval,either can be used for a digital protocol,,B,
Which of the following are indications for a cast removable partial denture?,long span edentulous areas,distal extension areas,excessive loss of residual bone,all of the above,none of the above,D,
When fabricating a cast removable partial denture mouth preparations are completed after the final impression.,True,False,,,,B,
"In the removable partial denture treatment sequence, which of the following comes first?",final impression,surveying,mouth preparations,try-in metal framework,,B,
A tooth supported cast removable partial denture receives it’s support from which of the following components?,clasps,rests,major connectors,minor connectors,,B,
What is the most important factor in the selection of a clasp in a cast removable partial denture?,the location of the undercut,the location of the height of contour,the location of the line angles,none of the above,,A,
All of the following major connectors can be used for a Kennedy Class I bilateral distal extension RPD except?,full palatal plate,antero-posterior strap,single palatal strap,lingual bar,,C,
A combination clasp consists of :,a wrought wire retentive arm and cast reciprocal arm,a cast retentive arm and a wrought wire reciprocal arm,a cast retentive arm and cast reciprocal arm,a wrought wire retentive arm and wrought wire reciprocal arm,,A,
Which of the following determines the placement of the indirect retainers?,the major connector design,the location of the undercut,the fulcrum line,the Kennedy class,,C,
An RPI clasp assembly consists of which of the following:,"mesio-occlusal rest seat, proximal plate, I bar","mesio-occlusal rest seat , reciprocal arm, I bar","disto-occlusal rest seat, proximal plate, I bar","disto-occlusal rest seat, reciprocal arm, I bar",,A,
Embrasure clasps are indicated in which situations?,unmodified Kennedy Class II,unmodified Kennedy Class III,all of the above,none of the above,,C,
