title,Pathomedicine Exam 3 (Fall 2022),patho,exam3
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following is an example of a hemolytic anemia?,Folate deficiency,Thalassemia,Iron defiency,Pernicious anemia,Aplastic anemia,B,
Which of the following is a sign of Plummer Vinson syndrome?,Depapillated tongue,Dysphagia,Increased risk for squamous cell carcinoma of the oral cavity,Iron deficiency anemia,All of the options,E,
Which of the following is the DIRECT cause of pernicious anemia?,Destruction of parietal cells that secrete intrinsic factor,Decreased B12 intake through dietary changes,Loss of blood via gastrointestinal ulcer,Third trimester of pregnancy,Lack of erythropoietin from the kidney,A,
What is the etiology of sickle cell anemia?,Lack of B12 cofactor,Lack of iron,Single amino acid substitution,Lack of Beta hemaglobin,None of the options,C,
You perform a lateral cephalometric radiograph for orthodontic treatment planning due to prominently flared maxillary teeth and notice a “hair on end” pattern. Which of the following is suggested:,Iron deficiency anemia,Pernicious anemia,Thalassemia,Aplastic anemia,Microcytic anemia,C,
A child presents with neurological deficits and an MRI of their brain demonstrates a well-circumscribed cystic mass with an enhancing mural nodule. This finding is most consistent with which of the following?,Menigioma,Leiomyoma,Pheochyomocytoma,Pilocytic astrocytoma,Squmaous cell carcinoma,D,
Which of the following has a strong association with gastric MALT lymphoma/MALToma?,Helicobacter pylori,Human papilloma virus,History of radiation,Multiple Endocrine Neoplasia Syndrome,Neurofibromatosis type 1,A,
Which of the following are risk factors for pancreatic carcinoma?,Smoking,Diabetes mellitus,Chronic pancreatitis,All of the options,,D,
Familial adenomatous polyposis (FAP) is a major risk factor for which of the following?,Glioblastoma,Medullary thyroid carcinoma,Colorectal carcinoma,Renal carcinoma,Chondrosarcoma,C,
Which of the following classically presents with a “sunburst” radiographic appearance?,Chondrosarcoma,Osteosarcoma,Mesothelioma,Medulloblastoma,Meningioma,B,
True or False: Aphthous ulcers occur on unattached mucosa,True,False,,,,A,
What is the term used to the describe the quality of bone in the radiographic exam of patients with fibrous dysplasia?,Punched out radiolucencies,Ground glass quality,Moth eaten edges,Hair on end spiculation,Fibrous dysplasia does not exhibit radiographic change,B,
What laboratory value is raised in Paget's disease of bone?,Serum albumin,Serum calcium,Serum alkaline phosphatase,Serum acidic phosphatase,,C,
What is the definition of a compound fracture?,"Fracture occurs, but bone is still in one piece",Fracture separates bone into two or more pieces,Extension of fracture into overlying tissue,Splintering of bone,,C,
Which of the following is not a primary cause of osteoporosis?,Physical activity,Aging,Postmenopausal state,Corticosteroid therapy,,D,
An individual with which of the following conditions is most at risk of developing leukemia?,Down Syndrome,Edwards Syndrome,Patau Syndrome,Klinefelter Syndrome,Turner Syndrome,A,
"An individual presents with a tall and thin stature, arachnodactyly, scoliosis, and mitral valve prolapse. What is the most likely etiology of this presentation?",Trisomy 13,Trisomy 18,Glucocerebrosidase deficiency,FBN1 mutation,HGD mutation,D,
What metabolite accumulates in organs in Niemann-Pick disease?,GM2 gangliosides,Glucocerebroside,Sphingomyelin,Mucopolysaccharides,,C,
Which karyotype is associated with Turner Syndrome?,45X,46XY,46XX,47XXY,47XYY,A,
Which of the following is true of HER2/NEU expressed breast cancers?,Associated with a better prognosis,Amplified in ~30% of patients,Mutated in 1/3 of women with hereditary breast cancer,Codes for a tumor suppressor,None of the options are true,B,
Which of the following is a suspicious feature of a pigmented lesion that would raise concern for melanoma?,Symmetry,"Smooth, regular border","Uniform, brown color",Diameter greater than 6 mm,All of the options,D,
Which of the following neoplasms can be treated with radioactive iodine?,Glioblastoma,Pheochromocytoma,Papillary thyroid carcinoma,Squamous cell carcinoma,Melanoma,C,
Which of the following is the most common soft tissue sarcoma of childhood and adolescence?,Rhabdomyosarcoma,Multiple Myeloma,Squamous cell carcinoma,Glioblastoma,Ewing Sarcoma,A,
Disorganized tissue that is native to the site and does not grow disproportionately to the host is best described using which of the following terms:,Neoplasm,Teratoma,Choristoma,Hamartoma,Melanoma,D,
Which of the following is true of reactive arthritis?,Marked male predilection,Follows a venereal infection,May include conjunctivitis,May include urethritis,All of the above are true,E,
"While reviewing a patient’s CBC (complete blood count) you notice that their hemoglobin is 13 g/dL. Based on this information alone, should you postpone your elective treatment?",Yes,No,,,,B,
"Opalescent teeth, blue sclera, and bones that fracture easily are features of what syndrome?",Dentinogenesis Imperfecta,Osteopetrosis,Osteogenesis Imperfecta,Cherubism,Fibrous dysplasia,C,
Choose the correct answer based on the following statements: Statement 1: Periosteal reaction can be seen in the context of osteomyelitis Statement 2: Periosteal reaction can be seen in the context of malignancy,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,Both statements are true,Both statements are false,,C,
Choose the correct answer based on the following statements: Statement 1: Lingual necrosis can be a feature of temporal arteritis Statement 2: Deafness can be a feature of temporal arteritis,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,Both statements are true,Both statements are false,,A,
What is the etiology of gout?,Increased levels of uric acid,Calcium pyrophosphate crystal deposition,Lack of intrinsic factor,Hypercalcemia,Elevated serum alkaline phosphatase,A,
