title,PCOD I Final Exam (Fall 2016),pcod1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Line angles are composed of the intersection of how many surfaces?,1,2,3,4,5,B,
A coupling agent is used in composite compositions to:,create a stronger bond to the tooth structure,create a chemical bond between the resin and the filler particles,reduce microleakage at the cavosurface margin,act as an antimicrobial agent,all of the above,B,
The rounded (or beveled) axio-pulpal line angle in the Class II amalgam preparation is designed to:,reduce stress at the axio-pulpal internal line angle of the restoration during mastication,increase the retention of the restoration,reduce the incidence of recurrent decay,provide for convenience form,none of the above,A,
The primary factor in determining the clinical outline form of a Class V restoration is:,the restorative material used,the extent of the carious lesion,the height of the crown of the tooth,all of the above,none of the above,B,
Which tooth requires special attention to the pulpal floor during preparation of a Class I or Class II?,Tooth #4,Tooth #14,Tooth # 29,Tooth #21,Tooth #12,D,
An ideal Class I amalgam preparation should include the occlusal grooves and fissures. This is called:,resistance form,retention form,extension form,prevention form,none of the above,D,
The shape of the cavity preparation that allows for access to remove all remaining decay is an example of which step in cavity preparation?,outline form,resistance form,retention form,prevention form,convenience form,E,
The buccal and lingual walls of the proximal box of a Class II amalgam preparation should be:,slightly divergent in a pulpal-occlusal direction,slightly convergent in a pulpal-occlusal direction,parallel to one another and perpendicular to the occlusal plane,parallel to one another at a 100 degree angle to the occlusal plane,none of the above,B,
The reverse curve in a Class II DO amalgam preparation serves to:,preserve the mesio-lingual cusp while creating a 90o angle with the external surface,preserve the mesio-buccal cusp while creating a 90o angle with the external surface,preserve the disto-lingual cusp while creating a 90o angle with the external surface,preserve the disto-buccal cusp while creating a 90o angle with the external surface,none of the above,D,
Which of the following may lead to excess mercury remaining in an amalgam restoration?,Over mixing in the amalgamator,Under mixing in the amalgamator,Taking too long to condense the amalgam,Failure to over fill the preparation,All of the above,E,
Removing an amalgam restoration will lead to greater initial amount of mercury in the urine than placing an amalgam restoration of the same size.,True,False,,,,A,
Amalgam gamma-2 phase refers to:,Ag-Sn,Ag-Hg,Sn-Hg,Cu-Sn,Cu-Hg,C,
Bunched-up rubber dam found between the teeth is usually due to the holes being:,too small for the tooth,too large for the tooth,punched too far apart,punched too close together,,C,
The location of the gingival margin of a Class II preparation is determined by:,the location of the free gingival margin,the location of the proximal gingival contact,the gingival extent of the carious lesion,b and c,all the above,D,
Under trituration (mixing) of the dental amalgam will display all the following characteristics EXCEPT:,dry,crumbly,sets slowly,warm after mixing,none of the above,D,
The enamel hatchet with a formula of 10-7-14 has a blade length of:,1.0 mm,10 mm,0.7 mm,7 mm,14 mm,D,
