title,DAO Final Exam (Summer 2020),dao,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
"Lateral deviation of the mandible, or lateral excursion is evaluated by shifting the lower jaw",Upward,Side to side,Forward,Backward,,B,
Which of the following is the most reproducible mandibular position?,Centric occlusion,Functional occlusion,Postural position,Centric relation,,D,
Which of the following teeth contacts only one other tooth in the opposing arch in an ideal occlusion?,Maxillary central incisor,Maxillary lateral incisor,Mandibular central incisor,Maxillary 3rd molar,Both Mandibular central incisor and Maxillary 3rd molar,E,
The mandibular canine is most likely to occlude with the,Maxillary canine only,Maxillary canine and 1st premolar,Maxillary 1st premolar only,Maxillary lateral incisor only,Maxillary lateral incisor and canine,E,
The primary maxillary 1st molar most closely resembles which permanent tooth?,Mandibular 1st molar,Mandibular 2nd molar,Maxillary 1st premolar,Maxillary 1st molar,Maxillary 2nd molar,C,
Which of the following is correct?,VDR = VDO – FS,VDO = CO – FS,VDR = VDO + FS,VDO = CO + CR,VDR = VDO + CO,C,
Which of the following teeth are succedaneous?,#C,# G,#30,#12,,D,
"Between 6 and 12 years of age, is the period of the _____________ dentition.",Permanent,Primary,Mixed,Secondary,,C,
"When comparing either the maxillary or mandibular arch of the primary vs the permanent dentition, the primary dentition usually contains:",Six fewer total teeth,Four fewer molars,Four more total teeth,Two more incisors,,A,
The primary mandibular 2nd molar most closely resembles which permanent tooth?,Mandibular 1st molar,Mandibular 2nd molar,Maxillary 1st molar,Maxillary 2nd molar,,A,
Which of the following teeth are MOST commonly involved in partial anodontia?,Mandibular central incisors,Mandibular lateral incisors,Maxillary central incisors,Maxillary lateral incisor,,D,
"A patient presents to your office with what appears to be five mandibular incisors.  However, upon radiographic examination, you count four roots.  The most likely explanation for this finding is:",Concrescence,Hypercementosis,Fusion,Gemination,Fibrous dysplasia,D,
Which of the following is the term for a supernumerary tooth in the maxillary anterior region?,Mesiodens,Distodens,Dens-in-dente,Paramolar,Talon cusp,A,
"A radiograph reveals a 2 mm × 2 mm radiopaque mass on the distal surface of tooth No. 2, just apical to the CEJ.  Which of the following is most likely the finding?",Enamel pearl,Taurodont,Distodens,Hypercementosis,,A,
Which of the following teeth is most likely to be congenitally absent?,Maxillary lateral incisor,Maxillary canine,Mandibular canine,Mandibular 1st premolar,Mandibular 2nd premolar,A,
The mesial marginal ridge of the permanent mandibular second premolar is ___ degrees to the long axis of the tooth?,25,90,60,45,,B,
Which of the following teeth have two forms that involve either three-cusp type or a two cusp type?,#21,#28,#13,#20,,D,
Which tooth has a mesial marginal ridge that is more cervically located than the distal marginal ridge?,Maxillary 1st premolar,Maxillary 2nd premolar,Mandibular 1st premolar,Mandibular 2nd premolar,,C,
Which of the following premolars does not have a transverse ridge?,Maxillary 1st premolar,Maxillary 2nd premolar,Mandibular 1st premolar,Mandibular 2nd premolar (2-cusp type),Mandibular 2nd premolar (3-cusp type),E,
Which of the following features distinguish the permanent maxillary right premolar from the maxillary left premolar?,Lingual cusp offset to the distal,Mesial marginal ridge groove,Differing position of the contact areas,Central groove shorter on the mesial,,B,
Which cusp on the permanent maxillary second molar shows the most variability?,Distobuccal cusp,Mesiobuccal cusp,Distolingual cusp,Distobuccal cusp,,C,
Which of the following is a unique feature of most permanent maxillary molars?,Oblique ridge,Transverse ridge,Central groove,Furcations,,A,
Which cusp on permanent maxillary molars generally gets progressively smaller from the 1st to the 3rd molar?,Mesiolingual,Distolingual,Mesiobuccal,Distobuccal,,B,
From which view is only one root visible on a mandibular 1st molar?,Mesial,Distal,Buccal,Lingual,,A,
The primary teeth erupt in which of the following sequences?,ABCDE,BACDE,ABDCE,ACBDE,,C,
The vermillion zone is the red zone of the lips. It is a transitional zone between the skin of the face and the oral mucosa.,Both statement are true,Both statements are false,The first statement is true and the second is false,The first statement is false and the second statement is true,,A,
The mucobuccal folds are the superior and inferior borders of the vestibule.,True,False,,,,A,
The median palatine raphe:,Is a small elevation of tissue posterior to the maxillary central incisors,Is an irregular ridge of tissue extending laterally from the incisive papilla,A midline ridge of tissue extending from the incisive papilla to the uvula,A fold of tissue extending from the attached gingiva to the buccal mucosa,A firm bulge of bone found posterior to the maxillary third molar.,C,
Which of the following is a depression on the inferior aspect of the temporal bone that is part of the TMJ?,Articular fossa,Postglenoid process,Articular eminence,Articulating surface,,A,
"Which of the following is a thick substance that fills the TMJ, lubricates it, and provides nutrition to parts of the joint disc?",Immunoglobulins,Blood,Plasma,Synovial fluid,,D,
