title,Fixed Prosthodontics Quiz 6 (Fall 2018),fixedpros,quiz
question,option_a,option_b,option_c,option_d,correct,image
"To properly prepare the lingual fossa portion of an anteriorTooth, you would IDEALLY use what diamond:",Chamfer,Shoulder,Football,None of the above,C,
A Type I alloy is harder than a Type IV alloy:,True,False,,,B,
A patient presents with a normal Class I occlusal scheme. Tooth # 15 would occlude with:,# 18-19,# 18-20,# 18 only,None of the above,C,
A High Noble Alloy must have a minimum of ________ percent Noble metal:,25%,45%,70%,None of the above,D,
Alloys are softer than pure metals:,True,False,,,B,
A patient presents with a normal Class I occlusal scheme.Tooth # 11 would occlude with:,# 21-22,# 22-23,# 21-20,None of the above,A,
The Cusp-Marginal ridge occlusal scheme is most commonly found in natural teeth.,True,False,,,A,
A patient presents with a normal Class I occlusal scheme. Tooth #10 would occlude with:,# 23-24,# 22-23,#22-21,None of the above,B,
We use the _________ Scale to measure hardness:,Metric,Brinell,Farkas,None of the above,B,
A patient presents with a normal Class I occlusal scheme. Tooth #13 would occlude with:,# 20-19,#20-21,#18-19,None of the above,A,
