title,Intro to Clinical Dentistry Exam 1 (Spring 2020),icd,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
The course objectives of Introduction to Clinical Dentistry are,to become an expert in every aspect of clinical treatment,To give the student a fundamental understanding of the clinic,To introduce a strong foundation in Patient management and treatment planning,b and c,All of the above,D,
Proper Patient interview skills include all except,precise entry into the Patients Health History Record,active Listening,proper body language,open ended questions,,A,
Determination of a patient's treatment type categorization is done,after the Intake procedure,after comprehensive treatment plan has been accomplished,after comprehensive Oral Exam has been completed,at any time the provider wants,,C,
EOE and IOE,are definitive exams for cancer and lymphadenopathy,are screening exams for cancer only,are screening exams for lymphadenopathy only,are screening exams for any abnormality,,D,
"The decision to take additional radiographs on an intake patients who do not have current radiographs,",depends on the number of radiographs this patient has had in their past history,depends on the ability of the patient to tolerate more radiographs,"depends on the existing dental restorations, as well as the patient's treatment goals",depends on caries risk assessment for this patient,c and d,E,
Occlusal equilibration,should be done on every patient,is a quick appointment and easily completed,is only done when the patient complains about pain on biting,is done to stabilize the occlusion depending on the treatment goals for each patient,,D,
in a stable occlusion all are true Except.,Posterior teeth on the non-working side must always be out of occlusion in lateral movement,Posterior teeth must always be out of occlusion in protrusive movements,Anterior teeth must be in occlusion in protrusive movements,There is no occlusal setup that has posterior teeth in contact on the working side in lateral movement,none of the above,D,
Statement 1: This Occlusal contact in this image is an image of ideal occlusion. Statement 2: This result is usually not achieved in the majority of cases,Both Statements are true,Both Statements are false,Statement 1 is true Statement 2 is false,Statement 2 is true Statement 1 is false,,C,images/icd-exam1-spring-2020/fig8.jpg
Proper Infection control procedure,is easy and takes minimal thought,can be achieved with planning and diligence,is only really important when a serious outbreak (such as the Coronavirus) is spreading,infection spread can never be completely stopped so infection control procedure are useless,,B,
OSHA's Main Focus,Is the safety of employees,Is the safety of the employers,is the safety of drugs and medical devices,is the safety of the environment,,A,
"With regard to this course, Introduction to Clinical Dentistry, to successfully be promoted to clinical privileges a passing grade in is the only factor that is considered by the faculty",True,False,,,,B,
According to the World Health Organization all are true except,Promotion of a safety climate is a cornerstone of prevention of transmission of pathogens in health care.,Standard precautions is the only level of precautions used when providing care for all patients.,Risk assessment is critical. Assess all health-care activities to determine the personal protection that is indicated.,Implement source control measures for all persons with respiratory symptoms through promotion of respiratory hygiene and cough etiquette,,B,
