title,Oral Pathology Exam 2 (Spring 2018),oralpath,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following is considered an immune-mediated disease?,Lichen planus,Pemphigus,Pemphigoid,Erythema multiforme,All options represent immune-mediated diseases,,,E,images/oralpath-exam2-spring-2018/fig1.jpeg
Statement 1: Aphthous ulcers are known to occur in association with several systemic diseases. Statement 2: Most aphthous ulcers occur in association with systemic diseases.,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,,C,
Which of the following fungal infections is most likely to be identified in uncontrolled diabetics or in patients taking iron-chelating agents?,Histoplasmosis,Blastomycosis,Coccidioidomycosis,Aspergillosis,Mucormycosis,,,E,
Please refer to the associated photo. The BEST diagnosis is:,Primary VZV infection (chicken pox),Secondary VZV infection (herpes zoster),Primary HSV-I infection (primary herpetic gingivostomatitis),Secondary HSV-I infection (herpes labialis and recurrent intraoral herpes),Impetigo,,,B,images/oralpath-exam2-spring-2018/fig4.jpeg
An immunocompromised patient presents with a lesion on the tongue that is suspicious for squamous cell carcinoma (SCC). A biopsy is performed and the definitive diagnosis is cryptococcosis. This means that the tongue lesion actually represented a deep fungal infection. What is the most likely scenario accounting for how the fungus arrived to the tongue?,Direct contact with the organism through inhaling contaminated air,Spread to the tongue through the vasculature (bloodstream),Direct contact with the organism through a lesion on the finger,Direction contact with the organism through ingestion of contaminated food,,,,B,
Tzanck cells may be seen in:,Pemphigus,Pemphigoid,Herpes simplex virus infection,All of the above,A and B,B and C,A and C,G,
Statement 1: All patients with lichen planus report discomfort. Statement 2: Discomfort in patients with lichen planus is often experienced when consuming acidic and spicy foods.,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,,D,
Which of the following is an example of a type A adverse drug reaction?,A patient on warfarin has excessive bleeding,Erythema multiforme after taking an NSAID,Lichenoid drug reaction in a patient on hydrochlorothiazide,None of the above,All the above,,,A,
Which of the following entities has the FEWEST overlapping features with lichen planus in terms of clinical appearance?,Lichenoid drug reaction,Epithelial dysplasia,Aphthous ulcers,Lupus erythematosus,Contact stomatitis reaction to dental amalgam,,,C,
Statement 1: Stevens-Johnson syndrome and toxic epidermal necrolysis are considered by some to be on a spectrum with erythema multiforme. Statement 2: Toxic epidermal necrolysis shows more extensive involvement and is a life-threatening condition.,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,,A,
Which of the following head and neck/oral conditions is NOT strongly associated with HIV infection?,Kaposi sarcoma,Oral hairy leukoplakia,Candidiasis,Linear gingival erythema,Hairy tongue,,,E,
"The Paul-Bunell Heterophile Antibody test is used in the diagnosis of ___, which is caused by ___.","Oral hairy leukoplakia, EBV","Infectious mononucleosis, EBV","Kaposi sarcoma, HHV-8","Chicken pox, VZV","Shingles, VZV",,,B,
Please refer to the associated photo. Which of the following statements regarding this purple-red lesion of the palate in an HIV+ patient is true?,It is likely caused by HSV-1,It is a neoplasm associated with HHV-8,It occurs with a relatively high frequency in the lung,Both it and oral hairy leukoplakia are associated with EBV infection,It is an inflammatory process rather than a true neoplasm,,,B,images/oralpath-exam2-spring-2018/fig13.jpeg
"Please refer to the associated photo. These white, curd-like, removable plaques are best treated with/by:","An antifungal agent, such as Diflucan (fluconazole)","An antibiotic/anti bacterial agent, such as amoxicillin","An antiviral agent, such as acyclovir","A topical corticosteroid, such as dexamethasone",,,,A,images/oralpath-exam2-spring-2018/fig14.jpeg
Please refer to the associated photo. The best term used to describe the appearance of the tongue is:,Luetic glossitis,Median rhomboid glossitis,Interstitial glossitis,Hairy tongue,Oral hairy leukoplakia,,,B,images/oralpath-exam2-spring-2018/fig15.jpeg
Which of the following fungal infections is most likely responsible for an allergic fungal sinusitis?,Histoplasmosis,Blastomycosis,Coccidioidomycosis,Aspergillosis,Mucormycosis,,,D,
"Please refer to the associated photo. The appearance of the tongue in a patient with a generalized skin rash, recent fever and sore throat is consistent with:",Strawberry tongue of scarlet fever,Atrophic glossitis of candidiasis,Luetic glossitis of tertiary syphilis,Oral hairy leukoplakia caused by EBV,,,,A,images/oralpath-exam2-spring-2018/fig17.jpeg
Please refer to the associated photo. Which of the following should NOT be included in the clinical differential diagnosis for this palatal perforation?,Ulceration secondary to a deep fungal infection,Tertiary syphilis,Oral tuberculosis,NK/T cell lymphoma,Aphthous ulcer,,,E,images/oralpath-exam2-spring-2018/fig18.jpeg
Which of the following is known to have the potential for malignant transformation?,Pemphigus,Pemphigoid,Lichen planus,Geographic tongue,All of the above,None of the above,,C,
Which of the following is an autoimmune disease?,Eythema multiforme,Geographic tongue,Aphthous ulcers,Lichen planus,None of the above,,,E,
"We discussed several immune-mediated diseases in this block. Of these, we mentioned two that could be effectively managed with rituximab. List either of the two in the space below.",pemphigoid|pemphigus|PEMPHIGOID|PEMPHIGUS,,,,,,,FILL,
We discussed several immune-mediated diseases in this block. Which diagnosis REQUIRES a referral to an ophthalmologist? (one word),pemphigoid|PEMPHIGOID,,,,,,,FILL,
"The patient in the clinical image is a 68-year-old female who reports a mild burning sensation on her tongue that has been present for two-months. Her medical history includes asthma and hypercholesterolemia. Her current medications include simvastatin and an inhaler (combination corticosteroid and beta-2-agonist). There are no other intra-oral or extra-oral findings beyond the changes seen on the dorsal surface of her tongue. A cytological sample is taken. Based on the patient history, clinical images and photomicrograph of the cytological sample, what is the diagnosis? (two words)",ERYTHEMATOUS CANDIDIASIS|CANDIDIASIS|erythematous candidiasis|candidiasis,,,,,,,FILL,
The patient in the image is a 10-year-old male that presents with an exquisitely painful lesion of the right anterior buccal mucosa. His mother mentions that he has been getting lesions just like this one for the last few years every four-to-six-months. They always heal without scarring in about a week. He has no medical history and is taking no medications. There are no other intra-oral or extra-oral findings beyond the single lesion seen on his right anterior buccal mucosa. What is the most likely diagnosis? (two words),APHTHOUS ULCER|APHTHOUS ULCERS|aphthous ulcer|aphthous ulcers,,,,,,,FILL,
