title,PCOD I Quiz 1 (Fall 2016),pcod1,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
The difference between carbide burs used for tooth preparations and carbide finishing burs is:,the amount of flutes on the bur,the length of the bur,the length of the flutes on the bur,the shape of the bur,all of the above,A,
Diamond burs are generally used for:,preparing teeth for amalgam restorations,preparing teeth for composite restorations,preparing teeth for crown restorations,preparing teeth for veneer restorations,c and d,E,
Dental hand instruments used for examination include:,condenser,periodontal probe,straight handpiece,spoon excavator,b and c,B,
A hatchet with designation of 10-7-14 has a blade width of:,0.7 millimeters,10 millimeters,14 millimeters,0.14 millimeters,none of the above,E,
The reason for establishing secure finger rests when using handpieces and hand instruments is:,to increase the accuracy of the work,to prevent the operator from slipping off the chair,to increase control of the handpiece or hand instrument,a and c,all of the above,D,
The cutting end of the carbide bur is composed of:,carbon steel,tungsten carbide,boron carbide,titanium carbide,none of the above,B,
Markings on the periodontal probe represent depths in as measured in:,inches,tenths of inches,tenths of millimeters,hundreds of millimeters,none of the above,E,
Carvers are used for:,applying wax when building up a tooth to anatomic form,shaping the wax build-up to correct anatomic form,shaping an amalgam restoration to correct anatomic form,removing carious dentin,b and c,E,
The correct way to hold a handpiece is:,using modified pen grasp,so that the bur is perpendicular to the surface being treated,so the bur rotates counterclockwise (for right handed operators),a and b,all of the above,D,
Which of the following statements is (are) true for the Operative Preclinic I Lecture and Lab courses?,Students are required to be in their seats at least 5 minutes before the lecture session is scheduled to start.,No cell phone use is permitted unless otherwise instructed by the lecturer.,Students are expected to clean their work areas in the sim lab before leaving for the day.,"Lab units are to be turned off, and unit drawers are to be locked before leaving the sim lab.",Definitely ALL of the above.,E,
A restoration that is located in the gingival third of an anterior or posterior tooth on the buccal or lingual surface is a:,Class I restoration,Class II restoration,Class III restoration,Class IV restoration,Class V restoration,E,
The “outline form” of a tooth preparation is defined as:,the shape of the tooth preparation that allows access to the carious lesion.,the shape of the tooth preparation that prevents dislodgement of the restoration during function.,the shape of the tooth preparation that insures that the remaining tooth structure and restoration can resist fracturing during function.,all of the above,none of the above,A,
A line angle is:,the junction of three walls of the tooth preparation,the junction of two walls of the tooth preparation,the junction of the internal wall with the external enamel or cementum surface,the angle that a #330 bur makes with the external surface of the tooth,the angle that the cutting blade of the bur makes with the shaft,B,
Ergonomics in dentistry involves:,the dentist's seating (or standing) position,the patient's seated position,the arrangement of dental instruments and equipment,a and b only,all of the above,E,
"Using loupes, the focal distance should be:",8 to 12 inches,12 to 20 inches,14 to 18 inches,15 to 20 inches,none of the above,C,
