title,PCOD II Final Exam (Spring 2023),pcod2,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
____________ is a result of vertical overlap; _________________ is a result of horizontal overlap,Overjet; Overbite,Overarch; Overjet,Overbite; Overjet,Over; Overarch,,C,
Which of the following statements is true?,The maxillary palatal cusp and the mandibular buccal cusp are functional cusps,The maxillary palatal cusp and the mandibular buccal cusp are nonfunctional cusps,The maxillary buccal cusp and mandibular lingual cusp are functional cusps,The maxillary buccal cusp and mandibular lingual cusp are supporting cusps,,A,
How do we prevent the cusps of our teeth from crashing into each other?,Mutually protected occlusion,Canine guidance,Group function,All of the above,,D,
Your patient Timmy has Class II malocclusion. How would you explain this to him?,The upper teeth are positioned too far forward in relation to the lower teeth.,"The upper and lower teeth do not meet in the center of the mouth, causing a shift in the midline.","The upper and lower teeth are in proper alignment, but the back molars do not fit together correctly.",The upper teeth are positioned too far back in relation to the lower teeth.,,A,
When moving your jaw to the right:,"The right side is the nonworking, laterotrusive side","The left side is the nonworking, mediotrusive side.","The left side is the nonworking, laterotrusive side.","The right side is the working, laterotrusive side.",,B,
What is the name of the side to which the mandible is moving?,Working side,Non working side,Translating side,Rotating side,,A,
What is a possible consequence of a malocclusion?,Speech problems,Difficulty chewing,Gum disease,All of the above,,D,
"A patient comes in with a carious lesion on a mandibular 1st molar that requires a class II preparation. After preparing an ideal class II preparation, you realize there is still decay on the axial wall. Which is true?",You must remove all the decay (infected and affected dentin) before you restore the tooth,"If it's infected dentin, you may leave it and restore the tooth","If it's affected dentin, you may leave it and restore the tooth",You may leave infected and affected dentin as long as your margins are sealed,,C,
Which is true regarding pulp?,"If the pulp is exposed during a preparation, the tooth is unsalvageable",Placing material on a layer of affected dentin with a pinkish hue would be an indirect pulp cap,Placing material on a spot that had a pinpoint of blood would be considered an indirect pulp cap,We practice direct pulp capping at TCDM,,B,
What is the advantage of a liner?,Protects against Chemical irritants,Thermal insulation,Adds bulk,All of the above,,A,
"While drilling a class 1 lesion, you break through the outer enamel and reach a mushy space that has little resistance. What would be the best course of action to proceed with the preparation?",Continue with the highspeed handpiece,Use a combination of highspeed handpiece and a spoon excavator to remove the caries,Use a combination of a slow speed handpiece holding a round bur and a spoon excavator,None of the above,,C,
When using a limelight liner:,You do not need to light cure it,You need to acid etch before applying limelight,You can also use this liner to act as a base for both amalgam and composite,None of the above,,C,
Which material can be used as both base and liners?,Composite,Varnish,Dycal,IRM,,A,
What is Gluma?,An acid etch,A varnish which acts as a desensitizer,Universal Prime &Bond,Resin Modified Glass Ionomer,,B,
"All varnishes are liners, but not all liners are varnishes. Liners protect from chemical insult, and if a varnish protects from chemical insult, it is a liner.",The statement is true and the reasoning is true,The statement is false and the reasoning is true,The statement is true and the reasoning is false,The statement is false and the reasoning is false,,A,
What is a direct pulp cap?,placing material on an enamel surface,placing material on a dentin surface,placing material directly on the exposed pulp,placing a material around the tooth's root,,C,
"True or False: If you decide to total-etch, you need to etch after Gluma so that you prevent tooth sensitivity from the acid.",True,False,,,,A,
Why is it important that liner is radiopaque?,Calcium hydroxide (Dycal) is always radiolucent,Limelight is always radiolucent,Radiolucent liner would be hard to differentiate from recurrent decay,Radiolucent liner would be hard to differentiate from healthy enamel,,C,
how wide should the mesio-distal width of the gingival floor of a premolar be,1.00 mm,1.20mm,1.25 mm,1.50 mm,,C,
What is the purpose of secondary retention and resistance ?,To provide additional support for the restoration,To create a smooth surface on the walls of the preparation,To remove carious or decayed tooth structure,To preserve a thin wall of enamel on the proximal surface,,A,
A slot prep for a class 2 composite should be used when decay is,Present on the proximal surface and occlusal surface,Present only on the occlusal surface,Present only on the proximal surface,None of the above,,C,
What does the acronym LASER stand for?,Light Absorption through Spectrally Emitted Radiation,Light Amplification by Stimulated Emission of Radiation,Light Amplification through Simultaneous Electronic Reduction,Light Activated by Spontaneous Energy Radiation,,B,
"Depending on the wavelength, laser energy is emitted in very specific portions of the electromagnetic spectrum. Where in the spectrum do most DENTAL lasers operate?",In both the visible and ultraviolet (UV) portions,In the visible portion,In the infrared (IR) portion,In the ultraviolet (UV) portion,,C,
Lasers work by being,Absorbed by substances,Refracted in substances,Reflected by substances,Transmitted through substances,,A,
Which of the following is a benefit of Glass ionomer use?,Leeches fluoride into the tooth to form a stronger fluorapatite,Removes the smear layer during restoration,Good for pulp capping,Can be used as a liner,,A,
Which of the following is the correct reason for why INFECTED dentin can be left behind?,Infected dentin can re-mineralize and become viable again,Infected dentin will be revitalized using “Snoop”,"If a proper seal is prepared on the tooth, the infected decay/bacteria will be starved of resources and die off on its own.",The infected dentin contains tubules that we don't want to agitate or remove.,,C,
"A patient comes into clinic complaining of tooth pain. Upon taking radiographs, it is found that they have decay present on the distal proximal surface of tooth #19. There is no decay present on the occlusal surface. What type of preparation should you do?",OL,DO slot prep,O,MO,,B,
What is the number one key to preventing bacterial infiltration in your restoration?,Properly packed restorative material,Proper outline form,A clean periphery and proper seal,Use of a liner and base,,C,
